WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,VALORACION,UTMX,UTMY,HUSO,NOM_DEMARC,unidades
"POINT (865238.395637916 4566379.69973792)","1","060007000",NH4,0.20909090909,< Valor frontera,"361851","4558544","31",CIC,mg NH4/l
"POINT (918732.982827563 4587845.19598297)","2","095001000",NH4,0.20000000000,< Valor frontera,"416605","4576233","31",CIC,mg NH4/l
"POINT (102763.272485176 4793247.33564188)","3",NO00460002,NH4,0.00500000000,< LQ,"590355","4782236","29",CHMS,mg NH4/l
"POINT (119515.677134887 4804530.04238573)","4",NO00470002,NH4,0.04377777778,< LQ,"606227","4794670","29",CHMS,mg NH4/l
"POINT (117841.762319348 4805299.32842972)","5",NO00470003,NH4,0.01611111111,< LQ,"604505","4795316","29",CHMS,mg NH4/l
"POINT (126303.357550612 4792082.89134404)","6",NO00470008,NH4,0.00500000000,< LQ,"613878","4782761","29",CHMS,mg NH4/l
"POINT (131218.897655375 4789768.70025169)","7",NO00470009,NH4,0.55388888889,< Valor frontera,"618939","4780808","29",CHMS,mg NH4/l
"POINT (108522.706994869 4793194.98872623)","8",NO00470010,NH4,0.01166666667,< LQ,"596093","4782596","29",CHMS,mg NH4/l
"POINT (130976.782796084 4805192.87031883)","9",NO00470012,NH4,0.00500000000,< LQ,"617593","4796152","29",CHMS,mg NH4/l
"POINT (115786.103491011 4797723.46979905)","10",NO00470020 ,NH4,0.01000000000,< LQ,"603001","4787625","29",CHMS,mg NH4/l
"POINT (136122.007753742 4790709.68455352)","11",NO00480001,NH4,0.01423076923,< LQ,"623755","4782096","29",CHMS,mg NH4/l
"POINT (134802.97653405 4803166.25213572)","12",NO00480003,NH4,0.00833333333,< LQ,"621549","4794408","29",CHMS,mg NH4/l
"POINT (138414.229258455 4796870.18919782)","13",NO00480004,NH4,0.03222222222,< LQ,"625597","4788396","29",CHMS,mg NH4/l
"POINT (140277.699947086 4794525.41109254)","14",NO00480012,NH4,0.00833333333,< LQ,"627621","4786194","29",CHMS,mg NH4/l
"POINT (132921.622886493 4791555.10916945)","15",NO00480021,NH4,0.00500000000,< LQ,"620507","4782709","29",CHMS,mg NH4/l
"POINT (131103.020876336 4765658.28982406)","16",NO00720007,NH4,0.12888888889,< Valor frontera,"620545","4756787","29",CHMS,mg NH4/l
"POINT (125335.90234497 4771247.17297679)","17",NO00720022,NH4,0.01166666667,< LQ,"614403","4761942","29",CHMS,mg NH4/l
"POINT (124865.828025343 4780297.02278203)","18",NO00720025,NH4,0.00833333333,< LQ,"613289","4770921","29",CHMS,mg NH4/l
"POINT (117697.623225632 4776763.0677763)","19",NO00720026,NH4,0.00500000000,< LQ,"606403","4766890","29",CHMS,mg NH4/l
"POINT (111644.573520716 4776239.82215298)","20",NO00720027,NH4,0.01166666667,< LQ,"600413","4765937","29",CHMS,mg NH4/l
"POINT (129955.316719503 4771619.24550629)","21",NO00720028,NH4,0.07288888889,< Valor frontera,"618977","4762642","29",CHMS,mg NH4/l
"POINT (106137.758952593 4787622.33293689)","22",NO00720034,NH4,0.00500000000,< LQ,"594117","4776877","29",CHMS,mg NH4/l
"POINT (119628.629132891 4756818.92440569)","23",NO00970001,NH4,0.00500000000,< LQ,"609747","4747167","29",CHMS,mg NH4/l
"POINT (120842.229622614 4757346.78658242)","24",NO00970005,NH4,0.10000000000,< Valor frontera,"610918","4747779","29",CHMS,mg NH4/l
"POINT (130051.926615809 4763765.51501966)","25",NO00970006,NH4,0.00500000000,< LQ,"619633","4754827","29",CHMS,mg NH4/l
"POINT (111659.73733399 4761410.34086088)","26",NO00970020,NH4,0.01500000000,< LQ,"601485","4751172","29",CHMS,mg NH4/l
"POINT (114947.788593226 4758151.51305507)","27",NO00970021,NH4,0.00500000000,< LQ,"604991","4748161","29",CHMS,mg NH4/l
"POINT (116414.991841348 4759711.69170179)","28",NO00970022,NH4,0.03250000000,< LQ,"606341","4749819","29",CHMS,mg NH4/l
"POINT (136198.134020844 4757775.9087428)","29",NO00980003,NH4,0.01166666667,< LQ,"626181","4749299","29",CHMS,mg NH4/l
"POINT (132711.074775605 4755553.14044619)","30",NO00980004,NH4,0.00500000000,< LQ,"622866","4746837","29",CHMS,mg NH4/l
"POINT (131835.925511758 4763902.99471631)","31",NO00980006,NH4,0.00500000000,< LQ,"621400","4755091","29",CHMS,mg NH4/l
"POINT (141146.974399051 4761208.14578253)","32",NO00980007,NH4,0.00833333333,< LQ,"630866","4753070","29",CHMS,mg NH4/l
"POINT (140393.071571473 4752341.08406194)","33",NO00980009,NH4,0.04000000000,< LQ,"630746","4744184","29",CHMS,mg NH4/l
"POINT (136718.609505517 4756165.48767877)","34",NO00980030,NH4,0.00500000000,< LQ,"626814","4747732","29",CHMS,mg NH4/l
"POINT (137155.194524933 4756964.58884131)","35",NO00980031,NH4,0.00500000000,< LQ,"627192","4748559","29",CHMS,mg NH4/l
"POINT (144158.698112562 4753507.84254976)","36",NO00980032 ,NH4,0.00500000000,< LQ,"634414","4745614","29",CHMS,mg NH4/l
"POINT (205523.221191476 4748724.41491506)","37",NO01000010 ,NH4,0.00900000000,< LQ,"695904","4745212","29",CHMS,mg NH4/l
"POINT (233454.740003107 4759278.6177885)","38",NO01010014,NH4,0.01550000000,< LQ,"723001","4757724","29",CHMS,mg NH4/l
"POINT (218126.789252236 4752224.20497671)","39",NO01010015,NH4,0.01714285714,< LQ,"708220","4749598","29",CHMS,mg NH4/l
"POINT (223156.877747474 4748377.86036978)","40",NO01010030,NH4,0.00900000000,< LQ,"713509","4746121","29",CHMS,mg NH4/l
"POINT (240028.15640052 4765225.19064855)","41",NO01010031,NH4,0.00500000000,< LQ,"729132","4764123","29",CHMS,mg NH4/l
"POINT (231625.494286634 4758491.80535998)","42",NO01010032,NH4,0.00900000000,< LQ,"721233","4756809","29",CHMS,mg NH4/l
"POINT (108387.97847863 4738850.32487022)","43",NO01230001,NH4,0.05000000000,< LQ,"599830","4728476","29",CHMS,mg NH4/l
"POINT (141640.256873299 4735388.46306383)","44",NO01240004,NH4,0.01166666667,< LQ,"633192","4727386","29",CHMS,mg NH4/l
"POINT (142421.272025548 4749728.71283019)","45",NO01240006,NH4,0.02714285714,< LQ,"632952","4741726","29",CHMS,mg NH4/l
"POINT (138073.235792235 4745759.10846717)","46",NO01240007,NH4,0.01166666667,< LQ,"628903","4737463","29",CHMS,mg NH4/l
"POINT (148539.768033156 4740843.98774341)","47",NO01240008,NH4,0.00500000000,< LQ,"639678","4733310","29",CHMS,mg NH4/l
"POINT (129770.000357156 4741474.50778859)","48",NO01240012,NH4,0.00500000000,< LQ,"620937","4732606","29",CHMS,mg NH4/l
"POINT (194648.739065917 4730745.47962074)","49",NO01260005,NH4,0.00500000000,< LQ,"686341","4726518","29",CHMS,mg NH4/l
"POINT (211437.204667337 4732927.54709889)","50",NO01260008,NH4,0.41450000000,< Valor frontera,"702922","4729884","29",CHMS,mg NH4/l
"POINT (194497.706614592 4730822.43797848)","51",NO01260009,NH4,0.00900000000,< LQ,"686185","4726584","29",CHMS,mg NH4/l
"POINT (201316.524634836 4737925.37705745)","52",NO01260011,NH4,0.01312500000,< LQ,"692478","4734148","29",CHMS,mg NH4/l
"POINT (201190.159417858 4739981.8669483)","53",NO01260012,NH4,0.01550000000,< LQ,"692206","4736189","29",CHMS,mg NH4/l
"POINT (211913.203471975 4736035.20687463)","54",NO01260014,NH4,0.01714285714,< LQ,"703176","4733016","29",CHMS,mg NH4/l
"POINT (197094.55069808 4746096.45424343)","55",NO01260015,NH4,0.00833333333,< LQ,"687689","4741993","29",CHMS,mg NH4/l
"POINT (201343.761139684 4738631.68000607)","56",NO01260030,NH4,0.05412500000,< Valor frontera,"692455","4734854","29",CHMS,mg NH4/l
"POINT (195879.991133986 4737219.06874123)","57",NO01260031,NH4,0.00500000000,< LQ,"687109","4733058","29",CHMS,mg NH4/l
"POINT (196845.917181608 4738286.94098638)","58",NO01260032,NH4,0.00900000000,< LQ,"687996","4734191","29",CHMS,mg NH4/l
"POINT (215327.404361025 4739624.58936923)","59",NO01270001,NH4,0.00833333333,< LQ,"706325","4736837","29",CHMS,mg NH4/l
"POINT (232495.773891539 4742151.88839043)","60",NO01270005,NH4,0.00900000000,< LQ,"723264","4740577","29",CHMS,mg NH4/l
"POINT (217037.389315274 4747570.83454452)","61",NO01270008,NH4,0.01916666667,< LQ,"707465","4744881","29",CHMS,mg NH4/l
"POINT (213209.338771334 4730457.35812868)","62",NO01270009,NH4,0.01583333333,< LQ,"704864","4727547","29",CHMS,mg NH4/l
"POINT (213092.669200615 4746954.55836204)","63",NO01270011,NH4,0.01714285714,< LQ,"703576","4743986","29",CHMS,mg NH4/l
"POINT (222635.91950373 4745967.88488316)","64",NO01270030,NH4,0.00900000000,< LQ,"713161","4743681","29",CHMS,mg NH4/l
"POINT (230120.572682134 4730936.11422243)","65",NO01270031,NH4,0.00900000000,< LQ,"721692","4729224","29",CHMS,mg NH4/l
"POINT (107450.273283681 4728140.87797356)","66",NO01550002,NH4,0.00500000000,< LQ,"599655","4717746","29",CHMS,mg NH4/l
"POINT (119369.774114487 4731986.09468414)","67",NO01550003,NH4,0.00500000000,< LQ,"611252","4722419","29",CHMS,mg NH4/l
"POINT (126726.288771975 4722271.60237649)","68",NO01550007,NH4,0.00500000000,< LQ,"619266","4713265","29",CHMS,mg NH4/l
"POINT (125410.193079945 4716333.58598435)","69",NO01550009,NH4,0.01388888889,< LQ,"618375","4707258","29",CHMS,mg NH4/l
"POINT (110065.992221865 4732922.08254353)","70",NO01550011,NH4,0.00500000000,< LQ,"601921","4722692","29",CHMS,mg NH4/l
"POINT (109188.156773223 4733810.05666822)","71",NO01550013,NH4,0.00500000000,< LQ,"600984","4723514","29",CHMS,mg NH4/l
"POINT (112067.579711336 4719172.1816529)","72",NO01550015,NH4,0.00500000000,< LQ,"604887","4709142","29",CHMS,mg NH4/l
"POINT (132602.527241802 4729020.82554423)","73",NO01560005,NH4,0.01500000000,< LQ,"624641","4720403","29",CHMS,mg NH4/l
"POINT (132532.89633585 4719249.88834036)","74",NO01560009,NH4,0.02314285714,< LQ,"625263","4710666","29",CHMS,mg NH4/l
"POINT (146638.016942817 4720682.03447131)","75",NO01560011,NH4,0.01388888889,< LQ,"639212","4713090","29",CHMS,mg NH4/l
"POINT (134376.069188874 4725058.54443281)","76",NO01560013,NH4,0.01500000000,< LQ,"626688","4716582","29",CHMS,mg NH4/l
"POINT (161728.49655866 4716898.86451578)","77",NO01570006,NH4,0.00500000000,< LQ,"654514","4710388","29",CHMS,mg NH4/l
"POINT (181763.465702819 4717335.62022367)","78",NO01570008,NH4,0.01166666667,< LQ,"674448","4712240","29",CHMS,mg NH4/l
"POINT (178963.427129121 4728134.56660238)","79",NO01570010,NH4,0.00900000000,< LQ,"670893","4722804","29",CHMS,mg NH4/l
"POINT (167203.58054305 4721711.86540816)","80",NO01570020,NH4,0.00500000000,< LQ,"659629","4715571","29",CHMS,mg NH4/l
"POINT (170590.188473632 4717366.93384329)","81",NO01570021,NH4,0.00900000000,< LQ,"663311","4711481","29",CHMS,mg NH4/l
"POINT (177779.988264156 4731162.83590985)","82",NO01570022,NH4,0.00900000000,< LQ,"669499","4725738","29",CHMS,mg NH4/l
"POINT (176744.723932462 4726100.75636074)","83",NO01570023 ,NH4,0.01800000000,< LQ,"668826","4720620","29",CHMS,mg NH4/l
"POINT (204685.792147813 4716318.8850783)","84",NO01580003,NH4,0.02275000000,< LQ,"697368","4712848","29",CHMS,mg NH4/l
"POINT (186987.398253701 4713919.80474745)","85",NO01580007,NH4,0.02150000000,< LQ,"679896","4709205","29",CHMS,mg NH4/l
"POINT (187133.49092209 4724669.11395589)","86",NO01580011,NH4,0.00500000000,< LQ,"679281","4719929","29",CHMS,mg NH4/l
"POINT (190849.385410644 4717671.02997505)","87",NO01580024,NH4,0.01750000000,< LQ,"683480","4713217","29",CHMS,mg NH4/l
"POINT (207118.426934967 4716645.79170647)","88",NO01580025,NH4,0.02562500000,< LQ,"699770","4713346","29",CHMS,mg NH4/l
"POINT (196555.416141345 4724544.36733768)","89",NO01580027,NH4,0.04550000000,< LQ,"688681","4720472","29",CHMS,mg NH4/l
"POINT (202036.844521775 4714089.29672454)","90",NO01580028,NH4,0.01714285714,< LQ,"694885","4710438","29",CHMS,mg NH4/l
"POINT (189905.216001003 4716256.18384136)","91",NO01580030,NH4,0.01550000000,< LQ,"682639","4711740","29",CHMS,mg NH4/l
"POINT (190374.550123149 4715899.82362498)","92",NO01580031,NH4,0.01750000000,< LQ,"683132","4711418","29",CHMS,mg NH4/l
"POINT (193821.289660897 4719850.83109238)","93",NO01580032,NH4,0.01750000000,< LQ,"686288","4715600","29",CHMS,mg NH4/l
"POINT (221379.413277996 4722301.11307384)","94",NO01580040,NH4,0.01550000000,< LQ,"713588","4719994","29",CHMS,mg NH4/l
"POINT (228093.304704327 4720898.53740292)","95",NO01590001,NH4,0.01750000000,< LQ,"720382","4719071","29",CHMS,mg NH4/l
"POINT (223055.559436668 4716698.22619507)","96",NO01590003,NH4,0.02233333333,< LQ,"715656","4714526","29",CHMS,mg NH4/l
"POINT (219460.493571143 4723510.58398593)","97",NO01590005,NH4,0.02300000000,< LQ,"711589","4721064","29",CHMS,mg NH4/l
"POINT (211485.608055554 4721969.88935079)","98",NO01590012,NH4,0.02785714286,< LQ,"703747","4718963","29",CHMS,mg NH4/l
"POINT (220419.092397547 4724283.92666206)","99",NO01590013,NH4,0.02222222222,< LQ,"712490","4721903","29",CHMS,mg NH4/l
"POINT (219401.269217111 4726529.63732436)","100",NO01590017,NH4,0.00900000000,< LQ,"711316","4724070","29",CHMS,mg NH4/l
"POINT (212296.243962572 4718837.03830666)","101",NO01590018,NH4,0.00900000000,< LQ,"704777","4715897","29",CHMS,mg NH4/l
"POINT (68663.5276514604 4704179.82107817)","102",NO01860002,NH4,0.00500000000,< LQ,"562735","4691154","29",CHMS,mg NH4/l
"POINT (68307.1964156472 4714183.30806866)","103",NO01860003,NH4,0.00500000000,< LQ,"561675","4701085","29",CHMS,mg NH4/l
"POINT (84931.961360925 4713384.31759451)","104",NO01870001,NH4,0.04875000000,< LQ,"578279","4701463","29",CHMS,mg NH4/l
"POINT (98542.6493301513 4699556.19723309)","105",NO01870003,NH4,0.03844444444,< LQ,"592804","4688656","29",CHMS,mg NH4/l
"POINT (89745.3369972195 4706234.56794547)","106",NO01870006,NH4,0.01000000000,< LQ,"583575","4694685","29",CHMS,mg NH4/l
"POINT (74131.0222114504 4711142.09584819)","107",NO01870014,NH4,0.00500000000,< LQ,"567686","4698469","29",CHMS,mg NH4/l
"POINT (78575.4290608172 4705168.02629831)","108",NO01870015,NH4,0.02187500000,< LQ,"572531","4692836","29",CHMS,mg NH4/l
"POINT (76661.5288863447 4706515.14223271)","109",NO01870018,NH4,0.00833333333,< LQ,"570531","4694042","29",CHMS,mg NH4/l
"POINT (87861.8942761061 4701097.24807413)","110",NO01870030,NH4,0.01000000000,< LQ,"582062","4689438","29",CHMS,mg NH4/l
"POINT (75536.6045099644 4715238.00468657)","111",NO01870031,NH4,0.01000000000,< LQ,"568796","4702645","29",CHMS,mg NH4/l
"POINT (79213.8350999213 4709756.15719161)","112",NO01870032,NH4,0.01000000000,< LQ,"572843","4697448","29",CHMS,mg NH4/l
"POINT (76249.8471605422 4706731.16217395)","113",NO01870033,NH4,0.02300000000,< LQ,"570106","4694228","29",CHMS,mg NH4/l
"POINT (122412.433300816 4713692.58470193)","114",NO01880001,NH4,0.12125000000,< Valor frontera,"615576","4704416","29",CHMS,mg NH4/l
"POINT (104415.883758194 4698517.10231867)","115",NO01880006,NH4,0.02688888889,< LQ,"598725","4688035","29",CHMS,mg NH4/l
"POINT (103758.836615599 4709296.7612957)","116",NO01880010,NH4,0.01000000000,< LQ,"597311","4698722","29",CHMS,mg NH4/l
"POINT (126068.48041989 4712236.50075329)","117",NO01880011,NH4,0.00833333333,< LQ,"619320","4703224","29",CHMS,mg NH4/l
"POINT (121295.92986312 4714231.64255925)","118",NO01880015,NH4,0.01166666667,< LQ,"614426","4704874","29",CHMS,mg NH4/l
"POINT (123454.663140786 4715348.73443583)","119",NO01880022,NH4,0.01542857143,< LQ,"616497","4706139","29",CHMS,mg NH4/l
"POINT (109952.428852981 4712146.87331179)","120",NO01880023,NH4,0.00500000000,< LQ,"603277","4701997","29",CHMS,mg NH4/l
"POINT (119466.451262378 4711725.5135493)","121",NO01880030 ,NH4,0.04857142857,< LQ,"612781","4702249","29",CHMS,mg NH4/l
"POINT (142389.044280433 4710256.41607501)","122",NO01890001,NH4,0.00500000000,< LQ,"635716","4702404","29",CHMS,mg NH4/l
"POINT (148902.523118087 4694737.23612511)","123",NO01890005,NH4,0.01000000000,< LQ,"643299","4687403","29",CHMS,mg NH4/l
"POINT (137374.889003063 4699569.73297773)","124",NO01890006,NH4,0.00500000000,< LQ,"631475","4691405","29",CHMS,mg NH4/l
"POINT (150950.217669678 4711526.71395193)","125",NO01890012,NH4,0.00500000000,< LQ,"644155","4704274","29",CHMS,mg NH4/l
"POINT (146678.53447755 4697426.00065518)","126",NO01890016,NH4,0.00500000000,< LQ,"640894","4689925","29",CHMS,mg NH4/l
"POINT (129609.920776718 4700870.04554174)","127",NO01890017,NH4,0.00500000000,< LQ,"623649","4692153","29",CHMS,mg NH4/l
"POINT (132931.233681885 4702389.98052959)","128",NO01890031,NH4,0.01000000000,< LQ,"626850","4693901","29",CHMS,mg NH4/l
