WKT,OBJECTID,COD_ESTACI,ID_METRICA,PromedioDe,VALORACION,UTMX,UTMY,HUSO,NOM_DEMARC
"POINT (865238.395637916 4566379.69973792)","1","060007000","22",18.60000000000,>Valor frontera M/B,"361851","4558544","31",CIC
"POINT (951686.254665365 4619465.29377743)","2","120001000","22",5.59234043000,<Valor frontera M/B,"451593","4605424","31",CIC
"POINT (117841.762319348 4805299.32842972)","3",NO00470003,"22",17.80000000000,>Valor frontera M/B,"604505","4795316","29",CHMS
"POINT (131218.897655375 4789768.70025169)","4",NO00470009,"22",9.50000000000,<Valor frontera M/B,"618939","4780808","29",CHMS
"POINT (134802.97653405 4803166.25213572)","5",NO00480003,"22",14.80000000000,>Valor frontera M/B,"621549","4794408","29",CHMS
"POINT (138414.229258455 4796870.18919782)","6",NO00480004,"22",17.80000000000,>Valor frontera M/B,"625597","4788396","29",CHMS
"POINT (140277.699947086 4794525.41109254)","7",NO00480012,"22",14.50000000000,>Valor frontera M/B,"627621","4786194","29",CHMS
"POINT (131103.020876336 4765658.28982406)","8",NO00720007,"22",15.00000000000,>Valor frontera M/B,"620545","4756787","29",CHMS
"POINT (124865.828025343 4780297.02278203)","9",NO00720025,"22",19.20000000000,>Valor frontera M/B,"613289","4770921","29",CHMS
"POINT (129955.316719503 4771619.24550629)","10",NO00720028,"22",10.60000000000,<Valor frontera M/B,"618977","4762642","29",CHMS
"POINT (120842.229622614 4757346.78658242)","11",NO00970005,"22",16.50000000000,>Valor frontera M/B,"610918","4747779","29",CHMS
"POINT (136198.134020844 4757775.9087428)","12",NO00980003,"22",14.70000000000,>Valor frontera M/B,"626181","4749299","29",CHMS
"POINT (141146.974399051 4761208.14578253)","13",NO00980007,"22",17.40000000000,>Valor frontera M/B,"630866","4753070","29",CHMS
"POINT (144158.698112562 4753507.84254976)","14",NO00980032 ,"22",16.90000000000,>Valor frontera M/B,"634414","4745614","29",CHMS
"POINT (205523.221191476 4748724.41491506)","15",NO01000010 ,"22",14.50000000000,>Valor frontera M/B,"695904","4745212","29",CHMS
"POINT (233454.740003107 4759278.6177885)","16",NO01010014,"22",17.63407643310,>Valor frontera M/B,"723001","4757724","29",CHMS
"POINT (218126.789252236 4752224.20497671)","17",NO01010015,"22",19.22494172490,>Valor frontera M/B,"708220","4749598","29",CHMS
"POINT (223156.877747474 4748377.86036978)","18",NO01010030,"22",19.23523965140,>Valor frontera M/B,"713509","4746121","29",CHMS
"POINT (231625.494286634 4758491.80535998)","19",NO01010032,"22",19.38605442180,>Valor frontera M/B,"721233","4756809","29",CHMS
"POINT (142421.272025548 4749728.71283019)","20",NO01240006,"22",8.60000000000,<Valor frontera M/B,"632952","4741726","29",CHMS
