WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,DEMARCACIO,unidades
"POINT (865238.395637916 4566379.69973792)","1","060007000",PO4,0.08636363636,< LQ,"361851","4558544","31",CIC,mg PO4/l
"POINT (918732.982827563 4587845.19598297)","2","095001000",PO4,3.70000000000,> Valor frontera,"416605","4576233","31",CIC,mg PO4/l
"POINT (51981.4892741833 4710331.29024915)","3",14.RW.01.040,PO4,0.02000000000,> LQ y < Valor frontera,"545700","4696100","29",GC,mg PO4/l
"POINT (51285.812808766 4703345.83436926)","4",14.RW.01.080,PO4,0.00875000000,> LQ y < Valor frontera,"545500","4689100","29",GC,mg PO4/l
"POINT (42250.359924795 4703482.80360952)","5",14.RW.01.100,PO4,0.02284615385,< LQ,"536500","4688600","29",GC,mg PO4/l
"POINT (42393.7529278272 4702668.59948504)","6",14.RW.01.110,PO4,0.01200000000,> LQ y < Valor frontera,"536700","4687800","29",GC,mg PO4/l
"POINT (24107.1324998122 4688482.38054056)","7",14.RW.01.140,PO4,0.10700000000,> LQ y < Valor frontera,"519505","4672401","29",GC,mg PO4/l
"POINT (45239.9841889066 4722970.07822986)","8",14.RW.03.070,PO4,0.02200000000,< LQ,"538100","4708200","29",GC,mg PO4/l
"POINT (40643.7057046733 4714853.59447034)","9",14.RW.03.080,PO4,0.02175000000,> LQ y < Valor frontera,"534100","4699800","29",GC,mg PO4/l
"POINT (37043.599329732 4732095.98696171)","10",14.RW.04.050,PO4,0.02400000000,< LQ,"529300","4716700","29",GC,mg PO4/l
"POINT (26366.6225024003 4723305.18349347)","11",14.RW.04.090,PO4,0.08900000000,> LQ y < Valor frontera,"519300","4707200","29",GC,mg PO4/l
"POINT (93006.8986602901 4764583.15582441)","12",14.RW.05.060,PO4,0.02500000000,< LQ,"582688","4753003","29",GC,mg PO4/l
"POINT (104189.969250532 4748011.73578308)","13",14.RW.05.080,PO4,0.02500000000,< LQ,"595000","4737300","29",GC,mg PO4/l
"POINT (89898.6824040214 4757469.24850881)","14",14.RW.05.090,PO4,0.37930769231,> LQ y < Valor frontera,"580100","4745700","29",GC,mg PO4/l
"POINT (89413.2364722867 4756298.46666101)","15",14.RW.05.110,PO4,0.25575000000,> LQ y < Valor frontera,"579700","4744500","29",GC,mg PO4/l
"POINT (46011.8244208379 4749348.23716154)","16",14.RW.05.200,PO4,0.05400000000,> LQ y < Valor frontera,"537000","4734500","29",GC,mg PO4/l
"POINT (63687.8273866039 4752006.41375914)","17",14.RW.05.250,PO4,0.02750000000,> LQ y < Valor frontera,"554400","4738400","29",GC,mg PO4/l
"POINT (39290.6459652747 4746345.86254427)","18",14.RW.05.310,PO4,0.04045454545,< LQ,"530526","4731036","29",GC,mg PO4/l
"POINT (38568.5190997567 4760533.94666124)","19",14.RW.05.330,PO4,0.88875000000,> Valor frontera,"528800","4745100","29",GC,mg PO4/l
"POINT (36640.3042492128 4747604.33564699)","20",14.RW.05.380,PO4,0.52825000000,> Valor frontera,"527800","4732100","29",GC,mg PO4/l
"POINT (38417.8026654404 4757186.44912331)","21",14.RW.05.SCH,PO4,0.76275000000,> Valor frontera,"528888","4741759","29",GC,mg PO4/l
"POINT (53552.9135994671 4790812.1243822)","22",14.RW.06.100,PO4,0.01500000000,< LQ,"541550","4776293","29",GC,mg PO4/l
"POINT (55483.439354305 4772188.786699)","23",14.RW.06.120,PO4,0.02071428571,< LQ,"544800","4757900","29",GC,mg PO4/l
"POINT (49247.8940713605 4769318.66776911)","24",14.RW.06.140,PO4,0.02421428571,< LQ,"538800","4754600","29",GC,mg PO4/l
"POINT (44975.4589182659 4776071.20015529)","25",14.RW.06.150,PO4,0.02500000000,< LQ,"534068","4761014","29",GC,mg PO4/l
"POINT (40391.2784897051 4771962.92217777)","26",14.RW.06.180,PO4,0.02200000000,< LQ,"529800","4756600","29",GC,mg PO4/l
"POINT (17374.3917208776 4779040.66685693)","27",14.RW.07.020,PO4,0.03875000000,> LQ y < Valor frontera,"506400","4762000","29",GC,mg PO4/l
"POINT (9442.26493770775 4776391.64220039)","28",14.RW.07.040,PO4,0.02500000000,< LQ,"498700","4758800","29",GC,mg PO4/l
"POINT (4092.61205679004 4785925.99965557)","29",14.RW.08.010,PO4,0.01714285714,< LQ,"492700","4767900","29",GC,mg PO4/l
"POINT (347.299168411118 4784183.51927732)","30",14.RW.08.020,PO4,0.01976923077,< LQ,"489100","4765900","29",GC,mg PO4/l
"POINT (-7819.53398388432 4780053.5934828)","31",14.RW.08.030,PO4,0.00600000000,> LQ y < Valor frontera,"481274","4761211","29",GC,mg PO4/l
"POINT (13629.0373818612 4795497.62986961)","32",14.RW.09.010,PO4,0.02050000000,> LQ y < Valor frontera,"501500","4778100","29",GC,mg PO4/l
