WKT,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,NOM_DEMARC,unidades
"POINT (196456.008327566 4201666.71314142)",GV09189001,CLOROFILA A,2.15500000000,No eutrófico,"723933","4199103","29",CHGv,µg/l
"POINT (210935.130525408 4188715.48908267)",GV09399001,CLOROFILA A,4.07000000000,No eutrófico,"739208","4187114","29",CHGv,µg/l
"POINT (47921.4901678944 4702797.02792663)",14.RW.01.090,CLOROFILA A,3.97750000000,No eutrófico,"542191","4688317","29",GC,µg/l
"POINT (29137.2826606389 4683309.31111768)",14.RW.01.125P,CLOROFILA A,7.56000000000,No eutrófico,"524872","4667608","29",GC,µg/l
"POINT (30589.7733626626 4733488.88791773)",14.RW.04.100P,CLOROFILA A,10.64000000000,No eutrófico,"522781","4717629","29",GC,µg/l
"POINT (52518.3735839594 4787238.19492379)",14.RW.06.110,CLOROFILA A,8.48400000000,No eutrófico,"540776","4772663","29",GC,µg/l
"POINT (29495.2395329708 4764145.99589068)",14.RW.06.210,CLOROFILA A,7.58000000000,No eutrófico,"519517","4748048","29",GC,µg/l
"POINT (11711.4209016208 4778589.97175574)",14.RW.07.030,CLOROFILA A,7.51800000000,No eutrófico,"500800","4761148","29",GC,µg/l
"POINT (6604.95371174254 4774684.38534947)",14.RW.07.060P,CLOROFILA A,4.26500000000,No eutrófico,"496000","4756900","29",GC,µg/l
"POINT (2121.53838643897 4770394.8117617)",14.RW.07.070,CLOROFILA A,6.03200000000,No eutrófico,"491847","4752315","29",GC,µg/l
"POINT (71200.9616177613 4804222.75596624)",14.RW.11.020,CLOROFILA A,13.45000000000,No eutrófico,"558152","4790901","29",GC,µg/l
"POINT (110568.268869492 4825079.65881361)",14.RW.13.020,CLOROFILA A,3.12000000000,No eutrófico,"595842","4814489","29",GC,µg/l
"POINT (96071.3360330947 4815371.63449126)",14.RW.13.040,CLOROFILA A,1.39200000000,No eutrófico,"582107","4803782","29",GC,µg/l
"POINT (90059.4625750426 4840921.65324629)",14.RW.14.050,CLOROFILA A,37.14600000000,Eutrófico,"574284","4828783","29",GC,µg/l
"POINT (142057.759694084 4845352.57907516)",14.RW.17.095P,CLOROFILA A,7.94500000000,No eutrófico,"625739","4836947","29",GC,µg/l
"POINT (73415.1979292715 4756818.22138604)",D_1105P,CLOROFILA A,4.45400000000,No eutrófico,"563739","4743880","29",GC,µg/l
"POINT (38428.897242466 4720654.46777537)",NP25P,CLOROFILA A,4.38500000000,No eutrófico,"531487","4705415","29",GC,µg/l
"POINT (54360.2832830017 4812546.89257883)",ROEP,CLOROFILA A,39.09000000000,Eutrófico,"540797","4797977","29",GC,µg/l
"POINT (99893.8391824802 4797456.34628212)",NO00460001,CLOROFILA A,5.66666666667,No eutrófico,"587197","4786221","29",CHMS,µg/l
"POINT (226497.128081293 4755941.98994359)",NO01010012,CLOROFILA A,9.55000000000,No eutrófico,"716301","4753901","29",CHMS,µg/l
"POINT (217748.848554912 4748222.16709814)",NO01010016,CLOROFILA A,0.00000000000,No eutrófico,"708128","4745581","29",CHMS,µg/l
"POINT (113492.365762725 4730378.63798206)",NO01550001,CLOROFILA A,1.40000000000,No eutrófico,"605513","4720402","29",CHMS,µg/l
"POINT (137337.001108797 4732800.3858193)",NO01560001,CLOROFILA A,9.34761904762,No eutrófico,"629089","4724503","29",CHMS,µg/l
"POINT (208491.27066569 4724070.37609126)",NO01580001,CLOROFILA A,1.60000000000,No eutrófico,"700613","4720845","29",CHMS,µg/l
"POINT (190241.692047954 4712060.65920754)",NO01580041,CLOROFILA A,1.50000000000,No eutrófico,"683271","4707582","29",CHMS,µg/l
"POINT (72475.1713828221 4707226.54862536)",NO01860007,CLOROFILA A,1.65000000000,No eutrófico,"566314","4694455","29",CHMS,µg/l
"POINT (111605.725452657 4712278.72507972)",NO01880002,CLOROFILA A,4.31250000000,No eutrófico,"604914","4702245","29",CHMS,µg/l
"POINT (117710.624122644 4706133.30655798)",NO01880024,CLOROFILA A,1.45000000000,No eutrófico,"611427","4696556","29",CHMS,µg/l
"POINT (112354.615736777 4710815.70362374)",NO01880027,CLOROFILA A,0.00000000000,No eutrófico,"605763","4700841","29",CHMS,µg/l
"POINT (100482.244273205 4700935.5863262)",NO01880028,CLOROFILA A,0.00000000000,No eutrófico,"594638","4690166","29",CHMS,µg/l
"POINT (152772.052264971 4701791.88103068)",NO01890018,CLOROFILA A,3.80000000000,No eutrófico,"646657","4694704","29",CHMS,µg/l
"POINT (150392.079701749 4708452.61189712)",NO01890020,CLOROFILA A,7.55000000000,No eutrófico,"643816","4701172","29",CHMS,µg/l
"POINT (145664.512877388 4697025.92080919)",NO01890030,CLOROFILA A,4.00000000000,No eutrófico,"639912","4689455","29",CHMS,µg/l
"POINT (164391.010543519 4702708.84020874)",NO01900005,CLOROFILA A,1.65000000000,No eutrófico,"658169","4696437","29",CHMS,µg/l
"POINT (182363.722338964 4701737.73338593)",NO01900020,CLOROFILA A,19.30000000000,Eutrófico,"676148","4696737","29",CHMS,µg/l
"POINT (165294.119354721 4696479.99098511)",NO01900030,CLOROFILA A,7.75000000000,No eutrófico,"659508","4690294","29",CHMS,µg/l
"POINT (156453.785460609 4701595.55928192)",NO01900032,CLOROFILA A,6.50000000000,No eutrófico,"650339","4694768","29",CHMS,µg/l
"POINT (167022.147322766 4692105.79755048)",NO01910010,CLOROFILA A,19.87500000000,Eutrófico,"661538","4686057","29",CHMS,µg/l
"POINT (189695.110392393 4711073.05409665)",NO01910012,CLOROFILA A,6.80000000000,No eutrófico,"682796","4706559","29",CHMS,µg/l
"POINT (79638.0629355935 4695166.21963316)",NO02250019,CLOROFILA A,4.98750000000,No eutrófico,"574293","4682955","29",CHMS,µg/l
"POINT (127181.480923586 4695805.84817848)",NO02260010,CLOROFILA A,3.10000000000,No eutrófico,"621587","4686938","29",CHMS,µg/l
"POINT (148831.538727047 4680665.58240562)",NO02270013,CLOROFILA A,5.70000000000,No eutrófico,"644218","4673379","29",CHMS,µg/l
"POINT (185989.089311285 4707480.0044491)",NO02280008,CLOROFILA A,3.85000000000,No eutrófico,"679356","4702716","29",CHMS,µg/l
"POINT (156182.614761736 4685544.9449351)",NO02280016,CLOROFILA A,1.30000000000,No eutrófico,"651199","4678757","29",CHMS,µg/l
"POINT (70986.97180638 4680135.41111698)",NO02620003,CLOROFILA A,3.50000000000,No eutrófico,"566738","4667386","29",CHMS,µg/l
"POINT (173857.309896918 4673448.46496318)",NO02660011,CLOROFILA A,5.50000000000,No eutrófico,"669661","4667945","29",CHMS,µg/l
"POINT (170031.738984388 4668838.99385944)",NO02660012,CLOROFILA A,5.25000000000,No eutrófico,"666172","4663083","29",CHMS,µg/l
"POINT (68469.2051245691 4648908.54836206)",NO03010022,CLOROFILA A,2.90000000000,No eutrófico,"566417","4636129","29",CHMS,µg/l
"POINT (82645.1414373098 4655980.12267491)",NO03360001,CLOROFILA A,8.96666666667,No eutrófico,"580034","4644158","29",CHMS,µg/l
"POINT (90253.6254135128 4653339.74597745)",NO03360002,CLOROFILA A,6.00000000000,No eutrófico,"587793","4642061","29",CHMS,µg/l
"POINT (494550.999988776 4566710.00001416)",TA43304002,CLOROFILA A,5.38500000000,No eutrófico,"494551","4566710","30",CHT,µg/l
"POINT (474731.000052778 4539196.00004602)",TA45905001,CLOROFILA A,7.86500000000,No eutrófico,"474731","4539196","30",CHT,µg/l
"POINT (420202.999948118 4523757.99996322)",TA48205002,CLOROFILA A,0.00000000000,No eutrófico,"420203","4523758","30",CHT,µg/l
