WKT,OBJECTID,COD_ESTACI,PromedioDe,VALORACION,UTMX,UTMY,HUSO,NOM_DEMARC
"POINT (196456.008327564 4201666.71314142)","1",GV09189001,2.26250000000,≤ 5 mg/L NO3,723933.00000000000,4199103.00000000000,"29",CHGq
"POINT (210935.130525408 4188715.48908267)","2",GV09399001,1.66000000000,≤ 5 mg/L NO3,739208.00000000000,4187114.00000000000,"29",CHGq
"POINT (51981.4893046907 4710331.29027053)","3",14.RW.01.040,1.09250000000,≤ 5 mg/L NO3,545700.00000000000,4696100.00000000000,"29",GC
"POINT (50388.8314971809 4710490.37438911)","4",14.RW.01.060,1.66366666667,≤ 5 mg/L NO3,544104.00000000000,4696146.00000000000,"29",GC
"POINT (51285.8127627238 4703345.83440372)","5",14.RW.01.080,1.25000000000,≤ 5 mg/L NO3,545500.00000000000,4689100.00000000000,"29",GC
"POINT (47921.4901678954 4702797.02792662)","6",14.RW.01.090,0.77938461539,≤ 5 mg/L NO3,542191.00000000000,4688317.00000000000,"29",GC
"POINT (42250.3599541701 4703482.80360514)","7",14.RW.01.100,1.40776923077,≤ 5 mg/L NO3,536500.00000000000,4688600.00000000000,"29",GC
"POINT (42393.7529155986 4702668.59952862)","8",14.RW.01.110,1.30000000000,≤ 5 mg/L NO3,536700.00000000000,4687800.00000000000,"29",GC
"POINT (26300.6071165651 4677303.32687184)","9",14.RW.01.135,5.12166666667,> 5 - 25 mg/L NO3,522471.24219999998,4661434.33220000006,"29",GC
"POINT (24107.1325302225 4688482.38053622)","10",14.RW.01.140,11.25000000000,> 5 - 25 mg/L NO3,519505.00000000000,4672401.00000000000,"29",GC
"POINT (23725.7684089817 4700697.43301596)","11",14.RW.02.010,2.10214285714,≤ 5 mg/L NO3,518267.00000000000,4684525.00000000000,"29",GC
"POINT (38422.1301300606 4715487.56694751)","12",14.RW.03.050,2.13800000000,≤ 5 mg/L NO3,531845.00000000000,4700274.00000000000,"29",GC
"POINT (45239.9841636139 4722970.07826857)","13",14.RW.03.070,2.00276923077,≤ 5 mg/L NO3,538100.00000000000,4708200.00000000000,"29",GC
"POINT (40643.705705577 4714853.59444109)","14",14.RW.03.080,2.00000000000,≤ 5 mg/L NO3,534100.00000000000,4699800.00000000000,"29",GC
"POINT (50221.7183283813 4733671.29318819)","15",14.RW.04.020,3.42166666667,≤ 5 mg/L NO3,542300.00000000000,4719200.00000000000,"29",GC
"POINT (38765.0942873998 4732275.09237998)","16",14.RW.04.040,2.54833333333,≤ 5 mg/L NO3,531000.00000000000,4717000.00000000000,"29",GC
"POINT (37043.5993624325 4732095.98700042)","17",14.RW.04.050,2.46625000000,≤ 5 mg/L NO3,529300.00000000000,4716700.00000000000,"29",GC
