OBJECTID,cod_mar,PFAFRIO,COD_UNI,nom_rio,Shape_Leng,color
1,M,20011112,621873,BARRANCO HONDO,1861.84823165,4
2,M,200111132,621559,BARRANCO DE LAS ANIMAS,771.473754116,5
3,M,20011114,621677,BARRANCO DE OLIVEROS,1040.4681732,4
4,M,200111152,621719,BARRANCO DEL CABALLO,991.838412607,5
5,M,20011116,621382,ARROYO VIÑAS,3026.14765025,4
6,M,200111162,624578,SIN NOMBRE,1045.67216102,5
7,M,200111164,624576,SIN NOMBRE,1546.00444744,5
8,M,20011118,620597,ARROYO DE LOS ALHELIES,3243.57034108,4
9,M,2001112,622126,RIO GUADALMESI,8771.26456563,3
10,M,20011122,624572,SIN NOMBRE,1499.55750895,4
11,M,20011124,620925,ARROYO DEL BUJEO,603.17239539,4
12,M,20011126,622078,GARGANTA SECA,1239.90827736,4
13,M,20011132,620520,ARROYO DE LAS ESTANCIAS,979.60064428,4
14,M,20011134,620009,ARROYO ARENILLAS,1407.95837317,4
15,M,2001114,600837,ARROYO DE MARABER,1852.32258642,3
16,M,20011142,600501,ARROYO DE LA VENTILLA,2717.31099143,4
17,M,20011152,601145,ARROYO DEL CULANTRILLO,2047.60549968,4
18,M,200111522,603195,BARRANCO DEL SORDO,1809.03826482,5
19,M,2001115222,601214,ARROYO DEL LAUREL,1773.80382403,6
20,M,200111532,601165,ARROYO DEL FRAILE,1075.95532618,5
21,M,20011154,600110,ARROYO DE CALAFATES,1042.80922856,4
22,M,200111552,600424,ARROYO DE LA MORISCA,1664.24255521,5
23,M,20011156,600264,ARROYO DE LA ALCARRACILLA DEL PERAL,1767.68673853,4
24,M,200111572,600315,ARROYO DE LA CONTADERA,788.127551071,5
25,M,200111574,600261,ARROYO DE LA AGUADILLA,1324.11223997,5
26,M,200111576,601519,ARROYO URALES,784.428063676,5
27,M,20011158,601220,ARROYO DEL LOBO,3952.02490212,4
28,M,2001116,604493,RIO PICARO,2991.00597695,3
29,M,20011162,601482,ARROYO O GARGANTA DE MARCHENILLA,8204.90965738,4
30,M,200111622,601462,ARROYO MARIN,1194.75952302,5
31,M,200111624,600841,ARROYO DE MARIN,1228.46743975,5
32,M,200111626,604520,SIN NOMBRE,2060.20360825,5
33,M,2001116262,605437,SIN NOMBRE,1030.67114419,6
34,M,200111628,601074,ARROYO DEL CAÑUELO,882.76966993,5
35,M,20011164,630001,SIN NOMBRE,1640.09987198,4
36,M,20011166,601177,ARROYO DEL GUIJO,4915.773878,4
37,M,20011172,601352,ARROYO DEL SALADILLO,2883.61732718,4
38,M,2001118,604406,RIO DE LA MIEL,10185.9399779,3
39,M,20011182,606775,SIN NOMBRE,1164.56554096,4
40,M,20011184,606773,SIN NOMBRE,1099.76498653,4
41,M,20011186,606772,SIN NOMBRE,1035.51145217,4
42,M,200112,604413,RIO DE LAS CAÑAS O PALMONES,38341.2871012,2
43,M,20011212,606786,SIN NOMBRE,1847.36567303,4
44,M,2001122,604452,RIO GUADACORTES,11692.0216417,3
45,M,20011222,601643,BARRANCO DE CAÑADA TOSCA,3095.36106392,4
46,M,20011224,601232,ARROYO DEL MAJOLETO,1462.15720823,4
47,M,200112242,602731,BARRANCO DEL BOCHORNO,2457.95301358,5
48,M,200112252,601317,ARROYO DEL POZO DEL ACEBUCHE,1473.83470797,5
49,M,200112254,601125,ARROYO DEL CONEJO,1131.3226707,5
50,M,2001122552,606801,SIN NOMBRE,1202.02475595,6
51,M,200112256,601115,ARROYO DEL CHORRERON,2293.26519168,5
52,M,200112258,606808,SIN NOMBRE,1012.76987803,5
53,M,20011226,603582,GARGANTA DE LAS CUEVAS DEL HOSPITAL,6489.59218195,4
54,M,200112262,601263,ARROYO DEL NEGRITO,1138.93241894,5
55,M,20011228,603602,GARGANTA DEL CABRERO,2534.6274653,4
56,M,2001124,603604,GARGANTA DEL CAPITAN O BOTAFUEGOS,9022.48734723,3
57,M,20011242,600308,ARROYO DE LA CAVA,4581.19812365,4
58,M,200112422,606783,SIN NOMBRE,1129.58069732,5
59,M,20011244,601321,ARROYO DEL PRIOR,6676.2282534,4
60,M,20011246,603565,GARGANTA DE LA FUENTE SANTA,3517.54438314,4
61,M,200112462,606776,SIN NOMBRE,1258.90342993,5
62,M,20011248,606781,SIN NOMBRE,1861.83147068,4
63,M,200112492,606777,SIN NOMBRE,1275.03748667,5
64,M,200112494,600317,ARROYO DE LA CORZA,1106.95185298,5
65,M,200112496,606774,SIN NOMBRE,1113.37351796,5
66,M,20011252,600847,ARROYO DE MATAVACAS,2712.38990295,4
67,M,20011254,601479,ARROYO O GARGANTA DE BENHARAS,6358.13350751,4
68,M,200112542,600934,ARROYO DE SADRES O VADRES,3327.75911387,5
69,M,200112544,603577,GARGANTA DE LA SEPULTURA,2780.17000422,5
70,M,200112552,601141,ARROYO DEL CUCO,1225.85046938,5
71,M,20011256,601251,ARROYO DEL MORAL,2552.07059702,4
72,M,200112562,600121,ARROYO DE CANUTO HONDO,1301.027171,5
73,M,200112572,600057,ARROYO DE AGUIRRE,1518.85240328,5
74,M,200112574,601253,ARROYO DEL MORENITO,1074.05844339,5
75,M,20011258,600419,ARROYO DE LA MISERICORDIA,3542.25110211,4
76,M,200112582,600679,ARROYO DE LOS BACALAOS,2466.92229117,5
77,M,2001125822,606794,SIN NOMBRE,1504.7722883,6
78,M,200112584,606804,SIN NOMBRE,2273.00993341,5
79,M,200112586,600892,ARROYO DE PAPARRATAS,3417.18571619,5
80,M,2001125862,600407,ARROYO DE LA MAJADA DE BUSTOS,1997.04717215,6
81,M,20011258622,606799,SIN NOMBRE,1067.04123372,7
82,M,200112592,606796,SIN NOMBRE,1104.19077632,5
