"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"1.0","0.5007253269284929","1.0","0.0","1","2","1","false","(807702.0344, 4738426.8291)","17.5","1","0","false","0","(807702.0344, 4738426.8291)","193078"
"0.0","0.0","0.0","0.0","0","1","1","false","(823091.6071, 4736100.5283)","2.0","0","0","false","0","(823091.6071, 4736100.5283)","0"
"1.5","0.9989585049231897","0.6666666666666666","0.0","2","34","33","false","(805142.39, 4751389.2164)","2.735294117647059","1","0","false","0","(805142.39, 4751389.2164)","385218"
"2.6666666666666665","0.03395220812897535","0.375","0.0","4","2","1","false","(804388.9885, 4750402.1017)","4.5","1","0","false","0","(804388.9885, 4750402.1017)","12779"
"2.111111111111111","0.07907391958170157","0.47368421052631576","0.0","4","6","3","false","(803804.7411, 4750624.8265)","7.333333333333333","3","0","false","0","(803804.7411, 4750624.8265)","33582"
"3.2222222222222223","0.033503196220860725","0.3103448275862069","0.0","5","3","2","false","(804904.6802, 4750049.8105)","2.0","1","0","false","0","(804904.6802, 4750049.8105)","14758"
"2.0","0.1324877385209707","0.5","0.0","3","2","1","false","(813379.2677, 4748862.4455)","18.0","1","0","false","0","(813379.2677, 4748862.4455)","51516"
"2.111111111111111","0.4961926978442115","0.47368421052631576","0.0","4","4","1","false","(803679.9783, 4731975.0755)","10.0","3","0","false","0","(803679.9783, 4731975.0755)","187052"
"2.0","0.13022408085402595","0.5","0.0","3","2","1","false","(816691.6703, 4743625.1442)","18.0","1","0","false","0","(816691.6703, 4743625.1442)","49014"
"2.111111111111111","0.07707860630954722","0.47368421052631576","0.0","4","8","5","false","(817229.4116, 4730100.442)","6.0","3","0","false","0","(817229.4116, 4730100.442)","33116"
"2.111111111111111","0.3809454224697249","0.47368421052631576","0.0","4","8","5","false","(825554.2142, 4728975.819)","6.0","3","0","false","0","(825554.2142, 4728975.819)","155118"
"2.5384615384615383","0.30739514642039206","0.393939393939394","0.0","4","7","4","false","(802104.8435, 4749124.8348)","6.571428571428571","3","0","false","0","(802104.8435, 4749124.8348)","150678"
"2.111111111111111","0.03651343581786589","0.47368421052631576","0.0","4","4","1","false","(801429.8989, 4747174.8525)","10.0","3","0","false","0","(801429.8989, 4747174.8525)","13888"
"2.0","0.034488896918556146","0.5","0.0","3","2","1","false","(807779.5576, 4743312.284)","18.5","1","0","false","0","(807779.5576, 4743312.284)","12981"
"2.0","0.013900771025181863","0.5","0.0","3","2","1","false","(800117.5106, 4744187.3991)","18.0","1","0","false","0","(800117.5106, 4744187.3991)","5232"
"2.0","0.09707424903422587","0.5","0.0","3","2","1","false","(815691.7844, 4739725.2068)","18.0","1","0","false","0","(815691.7844, 4739725.2068)","36537"
"2.0","0.028128337699464906","0.5","0.0","3","2","1","false","(808742.1587, 4735187.5429)","18.0","1","0","false","0","(808742.1587, 4735187.5429)","10587"
"2.0","0.10304424759951326","0.5","0.0","3","2","1","false","(804317.5478, 4728250.1839)","18.0","1","0","false","0","(804317.5478, 4728250.1839)","38784"
"2.0","0.01433118480692488","0.5","0.0","3","2","1","false","(813579.6856, 4728762.7313)","18.0","1","0","false","0","(813579.6856, 4728762.7313)","5394"
"2.0","0.00977198697068404","0.5","0.0","3","2","1","false","(818891.7785, 4733262.9728)","18.0","1","0","false","0","(818891.7785, 4733262.9728)","3678"
"2.0","0.011868261500284286","0.5","0.0","3","2","1","false","(817254.2263, 4739337.7888)","18.0","1","0","false","0","(817254.2263, 4739337.7888)","4467"
"2.0","0.08827467838525753","0.5","0.0","3","2","1","false","(815629.2006, 4745412.5732)","18.0","1","0","false","0","(815629.2006, 4745412.5732)","33225"
"2.0","0.0464926590538336","0.5","0.0","3","2","1","false","(822716.6525, 4723225.9735)","18.0","1","0","false","0","(822716.6525, 4723225.9735)","17499"
"2.0","0.008289450611346982","0.5","0.0","3","2","1","false","(804817.2045, 4745199.7885)","18.0","1","0","false","0","(804817.2045, 4745199.7885)","3120"
"2.0","0.008209744355468646","0.5","0.0","3","2","1","false","(800917.4433, 4745737.3699)","18.0","1","0","false","0","(800917.4433, 4745737.3699)","3090"
"2.0","0.007922801834306636","0.5","0.0","3","2","1","false","(800342.4897, 4744849.8907)","18.0","1","0","false","0","(800342.4897, 4744849.8907)","2982"
"2.0","0.007763389322549962","0.5","0.0","3","2","1","false","(805217.2084, 4741699.8073)","18.0","1","0","false","0","(805217.2084, 4741699.8073)","2922"
"2.0","0.007699624317847294","0.5","0.0","3","2","1","false","(799267.606, 4741112.4575)","18.0","1","0","false","0","(799267.606, 4741112.4575)","2898"
"2.0","0.007619918061968958","0.5","0.0","3","2","1","false","(803754.7837, 4741762.3041)","18.0","1","0","false","0","(803754.7837, 4741762.3041)","2868"
"2.0","0.021154040310110474","0.5","0.0","3","2","1","false","(801042.5059, 4738837.433)","18.0","1","0","false","0","(801042.5059, 4738837.433)","7962"
"2.0","0.01682599061591681","0.5","0.0","3","2","1","false","(810254.5081, 4739837.4589)","18.0","1","0","false","0","(810254.5081, 4739837.4589)","6333"
"2.0","0.004630933466531343","0.5","0.0","3","2","1","false","(811466.9768, 4739012.5229)","18.0","1","0","false","0","(811466.9768, 4739012.5229)","1743"
"2.0","0.012051585888804459","0.5","0.0","3","2","1","false","(812617.1288, 4732162.6761)","18.0","1","0","false","0","(812617.1288, 4732162.6761)","4536"
"2.0","0.011676966486176278","0.5","0.0","3","2","1","false","(813154.5987, 4732187.7037)","18.0","1","0","false","0","(813154.5987, 4732187.7037)","4395"
"2.0","0.0026303064439851","0.5","0.0","3","2","1","false","(814754.3805, 4736937.7337)","18.0","1","0","false","0","(814754.3805, 4736937.7337)","990"
"2.0","0.019336737676084403","0.5","0.0","3","2","1","false","(816329.2923, 4737887.7936)","18.0","1","0","false","0","(816329.2923, 4737887.7936)","7278"
"2.0","0.001514418861688391","0.5","0.0","3","2","1","false","(816854.2967, 4736537.8513)","18.0","1","0","false","0","(816854.2967, 4736537.8513)","570"
