Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711984678.675072 [] 0.0000 1516 1.0 0
2 1711984679.675072 [] 0.0000 1516 1.0 0
3 1711984680.675072 [] 0.0000 1516 1.0 0
4 1711984681.675072 [] 0.0000 1516 1.0 0
5 1711984682.675072 [] 0.0000 1516 1.0 0
6 1711984683.675072 [] 0.0000 1516 1.0 0
7 1711984684.675072 [] 0.0000 1516 1.0 0
8 1711984685.675072 [] 0.0000 1516 1.0 0
9 1711984686.675072 [] 0.0000 1516 1.0 0
10 1711984687.675072 [] 0.0000 1516 1.0 0
11 1711984688.675072 [] 0.0000 1516 1.0 0
12 1711984689.675072 [] 0.0000 1516 1.0 0
13 1711984690.675072 [] 0.0000 1516 1.0 0
14 1711984691.675072 [] 0.0000 1516 1.0 0
15 1711984692.675072 [] 0.0000 1516 1.0 0
16 1711984693.675072 [] 0.0000 1516 1.0 0
17 1711984694.675072 [] 0.0000 1516 1.0 0
18 1711984695.675072 [] 0.0000 1516 1.0 0
19 1711984696.675072 [] 0.0000 1516 1.0 0
20 1711984697.675072 [] 0.0000 1516 1.0 0
21 1711984698.675072 [] 0.0000 1516 1.0 0
22 1711984699.675072 [] 0.0000 1516 1.0 0
23 1711984700.675072 [] 0.0000 1516 1.0 0
24 1711984701.675072 [] 0.0000 1516 1.0 0
25 1711984702.675072 [] 0.0000 1516 1.0 0
26 1711984703.675072 [] 0.0000 1516 1.0 0
27 1711984704.675072 [] 0.0000 1516 1.0 0
28 1711984705.675072 [] 0.0000 1516 1.0 0
29 1711984706.675072 [] 0.0000 1516 1.0 0
30 1711984707.675072 [] 0.0000 1516 1.0 0
31 1711984708.675072 [] 0.0000 1516 1.0 0
32 1711984709.675072 [] 0.0000 1516 1.0 0
33 1711984710.675072 [] 0.0000 1516 1.0 0
34 1711984711.675072 [] 0.0000 1516 1.0 0
35 1711984712.675072 [] 0.0000 1516 1.0 0
36 1711984713.675072 [] 0.0000 1516 1.0 0
37 1711984714.675072 [] 0.0000 1516 1.0 0
38 1711984715.675072 [] 0.0000 1516 1.0 0
39 1711984716.675072 [] 0.0000 1516 1.0 0
40 1711984717.675072 [] 0.0000 1516 1.0 0
41 1711984718.675072 [] 0.0000 1516 1.0 0
42 1711984719.675072 [] 0.0000 1516 1.0 0
43 1711984720.675072 [] 0.0000 1516 1.0 0
44 1711984721.675072 [] 0.0000 1516 1.0 0
45 1711984722.675072 [] 0.0000 1516 1.0 0
46 1711984723.675072 [] 0.0000 1516 1.0 0
47 1711984724.675072 [] 0.0000 1516 1.0 0
48 1711984725.675072 [] 0.0000 1516 1.0 0
49 1711984726.675072 [] 0.0000 1516 1.0 0
50 1711984727.675072 [] 0.0000 1516 1.0 0
51 1711984728.675072 [] 0.0000 1516 1.0 0
52 1711984729.675072 [] 0.0000 1516 1.0 0
53 1711984730.675072 [] 0.0000 1516 1.0 0
54 1711984731.675072 [] 0.0000 1516 1.0 0
55 1711984732.675072 [] 0.0000 1516 1.0 0
56 1711984733.675072 [] 0.0000 1516 1.0 0
57 1711984734.675072 [] 0.0000 1516 1.0 0
58 1711984735.675072 [] 0.0000 1516 1.0 0
59 1711984736.675072 [] 0.0000 1516 1.0 0
60 1711984737.675072 [] 0.0000 1516 1.0 0
61 1711984738.675072 [] 0.0000 1516 1.0 0
62 1711984739.675072 [] 0.0000 1516 1.0 0
63 1711984740.675072 [] 0.0000 1516 1.0 0
64 1711984741.675072 [] 0.0000 1516 1.0 0
65 1711984742.675072 [] 0.0000 1516 1.0 0
66 1711984743.675072 [] 0.0000 1516 1.0 0
67 1711984744.675072 [] 0.0000 1516 1.0 0
68 1711984745.675072 [] 0.0000 1516 1.0 0
69 1711984746.675072 [] 0.0000 1516 1.0 0
70 1711984747.675072 [] 0.0000 1516 1.0 0
71 1711984748.675072 [] 0.0000 1516 1.0 0
72 1711984749.675072 [] 0.0000 1516 1.0 0
73 1711984750.675072 [] 0.0000 1516 1.0 0
74 1711984751.675072 [] 0.0000 1516 1.0 0
75 1711984752.675072 [] 0.0000 1516 1.0 0
76 1711984753.675072 [] 0.0000 1516 1.0 0
77 1711984754.675072 [] 0.0000 1516 1.0 0
78 1711984755.675072 [] 0.0000 1516 1.0 0
79 1711984756.675072 [] 0.0000 1516 1.0 0
80 1711984757.675072 [] 0.0000 1516 1.0 0
81 1711984758.675072 [] 0.0000 1516 1.0 0
82 1711984759.675072 [] 0.0000 1516 1.0 0
83 1711984760.675072 [] 0.0000 1516 1.0 0
84 1711984761.675072 [] 0.0000 1516 1.0 0
85 1711984762.675072 [] 0.0000 1516 1.0 0
86 1711984763.675072 [] 0.0000 1516 1.0 0
87 1711984764.675072 [] 0.0000 1516 1.0 0
88 1711984765.675072 [] 0.0000 1516 1.0 0
89 1711984766.675072 [] 0.0000 1516 1.0 0
90 1711984767.675072 [] 0.0000 1516 1.0 0
91 1711984768.675072 [] 0.0000 1516 1.0 0
92 1711984769.675072 [] 0.0000 1516 1.0 0
93 1711984770.675072 [] 0.0000 1516 1.0 0
94 1711984771.675072 [] 0.0000 1516 1.0 0
95 1711984772.675072 [] 0.0000 1516 1.0 0
96 1711984773.675072 [] 0.0000 1516 1.0 0
97 1711984774.675072 [] 0.0000 1516 1.0 0
98 1711984775.675072 [] 0.0000 1516 1.0 0
99 1711984776.675072 [] 0.0000 1516 1.0 0
100 1711984777.675072 [] 0.0000 1516 1.0 0
101 1711984778.675072 [] 0.0000 1516 1.0 0
102 1711984779.675072 [] 0.0000 1516 1.0 0
103 1711984780.675072 [] 0.0000 1516 1.0 0
104 1711984781.675072 [] 0.0000 1516 1.0 0
105 1711984782.675072 [] 0.0000 1516 1.0 0
106 1711984783.675072 [] 0.0000 1516 1.0 0
107 1711984784.675072 [] 0.0000 1516 1.0 0
108 1711984785.675072 [] 0.0000 1516 1.0 0
109 1711984786.675072 [] 0.0000 1516 1.0 0
110 1711984787.675072 [] 0.0000 1516 1.0 0
111 1711984788.675072 [] 0.0000 1516 1.0 0
112 1711984789.675072 [] 0.0000 1516 1.0 0
113 1711984790.675072 [] 0.0000 1516 1.0 0
114 1711984791.675072 [] 0.0000 1516 1.0 0
115 1711984792.675072 [] 0.0000 1516 1.0 0
116 1711984793.675072 [] 0.0000 1516 1.0 0
117 1711984794.675072 [] 0.0000 1516 1.0 0
118 1711984795.675072 [] 0.0000 1516 1.0 0
119 1711984796.675072 [] 0.0000 1516 1.0 0
120 1711984797.675072 [] 0.0000 1516 1.0 0
121 1711984798.675072 [] 0.0000 1516 1.0 0
122 1711984799.675072 [] 0.0000 1516 1.0 0
123 1711984800.675072 [] 0.0000 1516 1.0 0
124 1711984801.675072 [] 0.0000 1516 1.0 0
125 1711984802.675072 [] 0.0000 1516 1.0 0
