Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711972211.23582 "[1004926586, 10049265862]" 0.0030 66735 1.0 0
2 1711972212.23582 "[1004926586, 1004926586, 10049265862]" 0.0045 66735 1.0 0
3 1711972213.23582 "[1004926586, 1004926586, 1004926586, 10049265862]" 0.0060 66735 1.0 0
4 1711972214.23582 "[100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0075 66735 1.0 0
5 1711972215.23582 "[100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0090 66735 1.0 0
6 1711972216.23582 "[100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0105 66735 1.0 0
7 1711972217.23582 "[1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0120 66735 1.0 0
8 1711972218.23582 "[1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0135 66735 1.0 0
9 1711972219.23582 "[1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0150 66735 1.0 0
10 1711972220.23582 "[100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0165 66735 1.0 0
11 1711972221.23582 "[100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0180 66735 1.0 0
12 1711972222.23582 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0195 66735 1.0 0
13 1711972223.23582 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926586, 1004926586, 1004926586, 10049265862]" 0.0195 66735 1.0 0
1 1711972288.957319 "[10049265846, 10049265846]" 0.0030 66735 0.9 0
2 1711972289.957319 "[10049265846, 10049265846]" 0.0030 66735 0.9 0
3 1711972290.957319 "[10049265846, 10049265846, 10049265846]" 0.0045 66735 0.9 0
4 1711972291.957319 "[1004926584, 10049265846, 10049265846, 10049265846]" 0.0060 66735 0.9 0
5 1711972292.957319 "[1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0075 66735 0.9 0
6 1711972293.957319 "[1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0090 66735 0.9 0
7 1711972294.957319 "[1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0090 66735 0.9 0
8 1711972295.957319 "[1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0090 66735 0.9 0
9 1711972296.957319 "[100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0105 66735 0.9 0
10 1711972297.957319 "[100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0120 66735 0.9 0
11 1711972298.957319 "[100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0135 66735 0.9 0
12 1711972299.957319 "[1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0150 66735 0.9 0
13 1711972300.957319 "[1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0165 66735 0.9 0
14 1711972301.957319 "[1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0180 66735 0.9 0
15 1711972302.957319 "[100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0195 66735 0.9 0
16 1711972303.957319 "[100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0210 66735 0.9 0
17 1711972304.957319 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0225 66735 0.9 0
18 1711972305.957319 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584, 1004926584, 10049265846, 10049265846, 10049265846]" 0.0225 66735 0.9 0
1 1711972404.2979321 "[10049265624, 10049265624]" 0.0030 66735 0.8 0
2 1711972405.2979321 "[10049265624, 10049265624, 10049265624]" 0.0045 66735 0.8 0
3 1711972406.2979321 "[1004926562, 10049265624, 10049265624, 10049265624]" 0.0060 66735 0.8 0
4 1711972407.2979321 "[1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0075 66735 0.8 0
5 1711972408.2979321 "[1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0075 66735 0.8 0
6 1711972409.2979321 "[1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0090 66735 0.8 0
7 1711972410.2979321 "[100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0105 66735 0.8 0
8 1711972411.2979321 "[100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0120 66735 0.8 0
9 1711972412.2979321 "[100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0135 66735 0.8 0
10 1711972413.2979321 "[1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0150 66735 0.8 0
11 1711972414.2979321 "[1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0165 66735 0.8 0
12 1711972415.2979321 "[1004926, 1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0180 66735 0.8 0
13 1711972416.2979321 "[100492, 1004926, 1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0195 66735 0.8 0
14 1711972417.2979321 "[100492, 100492, 1004926, 1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0210 66735 0.8 0
15 1711972418.2979321 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0225 66735 0.8 0
16 1711972419.2979321 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492656, 100492656, 100492656, 1004926562, 1004926562, 1004926562, 10049265624, 10049265624, 10049265624]" 0.0225 66735 0.8 0
1 1711972511.199876 "[1004926652, 1004926652]" 0.0030 66735 0.7 0
2 1711972512.199876 "[10049266, 1004926652, 1004926652]" 0.0045 66735 0.7 0
3 1711972513.199876 "[10049266, 1004926652, 1004926652]" 0.0045 66735 0.7 0
4 1711972514.199876 "[10049266, 10049266, 1004926652, 1004926652]" 0.0060 66735 0.7 0
5 1711972515.199876 "[10049266, 10049266, 1004926652, 1004926652]" 0.0060 66735 0.7 0
6 1711972516.199876 "[10049266, 10049266, 10049266, 1004926652, 1004926652]" 0.0075 66735 0.7 0
