Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712525972.350951 [20042244646] 0.0012 82307 1.0 0
1 1.9395549297332764 "[20042244646, 20042244646]" 0.0024 82307 1.0 0
2 3.815551996231079 "[20042244646, 20042244646, 20042244646]" 0.0036 82307 1.0 0
3 6.325049161911011 "[2004224464, 20042244646, 20042244646, 20042244646]" 0.0049 82307 1.0 0
4 10.211690902709961 "[2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0073 82307 1.0 0
5 16.337446212768555 "[2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0097 82307 1.0 0
6 23.877082109451294 "[200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0109 82307 1.0 0
7 31.587111234664917 "[200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0121 82307 1.0 0
8 40.09427309036255 "[200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0134 82307 1.0 0
9 49.16128993034363 "[20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0146 82307 1.0 0
10 60.15120816230774 "[20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0158 82307 1.0 0
11 72.26628494262695 "[20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0170 82307 1.0 0
12 85.14694023132324 "[2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0182 82307 1.0 0
13 97.12116003036499 "[2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0194 82307 1.0 0
14 110.74907684326172 "[2004224, 2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0207 82307 1.0 0
15 124.65586495399475 "[200422, 2004224, 2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0219 82307 1.0 0
16 139.56383991241455 "[200422, 200422, 2004224, 2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0231 82307 1.0 0
17 154.9094431400299 "[200422, 200422, 200422, 2004224, 2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 20042244646, 20042244646, 20042244646]" 0.0243 82307 1.0 0
18 171.94830703735352 "[20042, 200422, 200422, 200422, 2004224, 2004224, 2004224, 20042244, 20042244, 20042244, 200422446, 200422446, 200422446, 200422998, 2004224464, 2004224466, 2004224464, 2004224464, 2004224466, 2004229976, 20042244646, 20042244646, 20042244646]" 0.0279 82307 1.0 0
