Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712505537.691833 [1003499942] 0.1626 615 1.0 0
1 1.6155250072479248 "[1003499942, 1003499942]" 0.3252 615 1.0 0
2 3.488542079925537 "[100349994, 1003499942, 1003499942]" 0.4878 615 1.0 0
3 6.070059061050415 "[100349994, 100349994, 1003499942, 1003499942]" 0.6504 615 1.0 0
0 1712505545.0136828 [100349995266] 0.1626 615 0.9 0
1 1.383451223373413 "[100349995266, 100349995266]" 0.3252 615 0.9 0
2 2.9396560192108154 "[10034999526, 100349995266, 100349995266]" 0.4878 615 0.9 0
3 5.287927150726318 "[10034999526, 100349995266, 100349995266]" 0.4878 615 0.9 0
4 7.55584716796875 "[10034999526, 10034999526, 100349995266, 100349995266]" 0.6504 615 0.9 0
0 1712505553.545773 [100349995424] 0.1626 615 0.8 0
1 1.2269477844238281 "[10034999542, 100349995424]" 0.3252 615 0.8 0
2 2.7273499965667725 "[10034999542, 10034999542, 100349995424]" 0.4878 615 0.8 0
3 4.998924970626831 "[10034999542, 10034999542, 10034999542, 100349995424]" 0.6504 615 0.8 0
0 1712505559.53677 [10034999526] 0.1626 615 0.7 0
1 1.1622419357299805 "[10034999526, 10034999526]" 0.3252 615 0.7 0
2 2.680137872695923 "[10034999526, 10034999526, 10034999526]" 0.4878 615 0.7 0
3 5.047734022140503 "[1003499952, 10034999526, 10034999526, 10034999526]" 0.6504 615 0.7 0
0 1712505565.5673149 [1003499942] 0.1626 615 0.6 0
1 1.1747310161590576 [1003499942] 0.1626 615 0.6 0
2 1.969306230545044 "[100349994, 1003499942]" 0.3252 615 0.6 0
3 3.48258113861084 "[100349994, 100349994, 1003499942]" 0.4878 615 0.6 0
4 5.73214316368103 "[100349994, 100349994, 1003499942]" 0.4878 615 0.6 0
5 8.024402141571045 "[100349994, 100349994, 1003499942]" 0.4878 615 0.6 0
6 10.276491165161133 "[100349994, 100349994, 100349994, 1003499942]" 0.6504 615 0.6 0
0 1712505576.833636 [100349995422] 0.1626 615 0.5 0
1 1.3161821365356445 [100349995422] 0.1626 615 0.5 0
2 2.125372886657715 "[10034999542, 100349995422]" 0.3252 615 0.5 0
3 3.644943952560425 "[10034999542, 100349995422]" 0.3252 615 0.5 0
4 5.257791996002197 "[10034999542, 100349995422]" 0.3252 615 0.5 0
5 6.853440999984741 "[10034999542, 10034999542, 100349995422]" 0.4878 615 0.5 0
6 9.171556949615479 "[10034999542, 10034999542, 100349995422]" 0.4878 615 0.5 0
7 11.48051381111145 "[10034999542, 10034999542, 10034999542, 100349995422]" 0.6504 615 0.5 0
0 1712505589.3056629 [10034999432] 0.1626 615 0.4 0
1 1.2063350677490234 [10034999432] 0.1626 615 0.4 0
2 1.9593820571899414 "[100349994, 10034999432]" 0.3252 615 0.4 0
3 3.45776104927063 "[100349994, 10034999432]" 0.3252 615 0.4 0
4 5.005970001220703 "[100349994, 10034999432]" 0.3252 615 0.4 0
5 6.530078172683716 "[100349994, 100349994, 10034999432]" 0.4878 615 0.4 0
6 8.846821308135986 "[100349994, 100349994, 100349994, 10034999432]" 0.6504 615 0.4 0
0 1712505599.133118 [10034999212] 0.1626 615 0.3 0
1 1.1831049919128418 "[10034999212, 10034999212]" 0.3252 615 0.3 0
2 2.815897226333618 "[10034999212, 10034999212, 10034999212]" 0.4878 615 0.3 0
3 5.078257083892822 "[100349992, 10034999212, 10034999212, 10034999212]" 0.6504 615 0.3 0
0 1712505605.184164 [100349995614] 0.1626 615 0.2 0
1 1.174231767654419 "[100349995614, 100349995614]" 0.3252 615 0.2 0
2 2.659421920776367 "[100349995614, 100349995614]" 0.3252 615 0.2 0
3 4.1953489780426025 "[100349995614, 100349995614]" 0.3252 615 0.2 0
4 5.711201190948486 "[100349995614, 100349995614]" 0.3252 615 0.2 0
5 7.193594932556152 "[100349995614, 100349995614]" 0.3252 615 0.2 0
6 8.95764684677124 "[100349995614, 100349995614]" 0.3252 615 0.2 0
7 10.551372051239014 "[100349995614, 100349995614]" 0.3252 615 0.2 0
8 12.211213827133179 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
9 14.497967004776001 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
10 16.796717882156372 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
11 19.099665880203247 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
12 21.400330066680908 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
13 23.674001932144165 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
14 25.983855962753296 "[100349995614, 100349995614, 100349995614]" 0.4878 615 0.2 0
15 28.26872992515564 "[1003499956, 100349995614, 100349995614, 100349995614]" 0.6504 615 0.2 0
0 1712505634.441834 [100349992394] 0.1626 615 0.1 0
1 1.1873888969421387 [100349992394] 0.1626 615 0.1 0
2 1.9756169319152832 [100349992394] 0.1626 615 0.1 0
3 2.742295026779175 [100349992394] 0.1626 615 0.1 0
4 3.5223591327667236 [100349992394] 0.1626 615 0.1 0
5 4.291465997695923 [100349992394] 0.1626 615 0.1 0
6 5.077593088150024 [100349992394] 0.1626 615 0.1 0
7 5.878130912780762 "[100349992394, 100349992394]" 0.3252 615 0.1 0
8 7.383121967315674 "[100349992394, 100349992394]" 0.3252 615 0.1 0
9 8.917744874954224 "[100349992394, 100349992394]" 0.3252 615 0.1 0
10 10.540102243423462 "[100349992, 100349992394, 100349992394]" 0.4878 615 0.1 0
11 12.891649007797241 "[100349992, 100349992394, 100349992394]" 0.4878 615 0.1 0
12 15.204260110855103 "[100349992, 100349992394, 100349992394]" 0.4878 615 0.1 0
13 17.538007020950317 "[100349992, 100349992, 100349992394, 100349992394]" 0.6504 615 0.1 0
0 1712505653.042699 [10034999414] 0.1626 615 1.0 0.1
1 1.2472240924835205 "[10034999414, 10034999414]" 0.3252 615 1.0 0.1
2 2.8410558700561523 "[10034999414, 10034999414]" 0.3252 615 1.0 0.1
3 4.432023048400879 [10034999414] 0.1626 615 1.0 0.1
4 5.255472898483276 [10034999414] 0.1626 615 1.0 0.1
5 6.056753873825073 [100349994] 0.1626 615 1.0 0.1
6 6.944265842437744 "[100349994, 100349994]" 0.3252 615 1.0 0.1
7 8.836734771728516 "[100349994, 100349994, 100349994]" 0.4878 615 1.0 0.1
8 11.311823844909668 "[10034, 100349994, 100349994]" 0.4878 615 1.0 0.1
9 13.72118592262268 "[10034, 10034, 100349994]" 0.4878 615 1.0 0.1
10 15.034098863601685 "[10034, 10034, 10034, 100349994]" 0.4878 615 1.0 0.1
0 1712505669.170801 [1003499922] 0.1626 615 0.9 0.1
1 1.5401692390441895 "[1003499922, 1003499922]" 0.3252 615 0.9 0.1
2 3.265397071838379 "[100349992, 1003499922]" 0.3252 615 0.9 0.1
