Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711969448.179594 "[10094139824, 10094139824]" 0.0031 63815 1.0 0
2 1711969449.179594 "[100941398, 10094139824, 10094139824, 100941398242, 100941398244]" 0.0078 63815 1.0 0
3 1711969450.179594 "[10094, 100941398, 10094139824, 10094139824, 100941398242, 100941398244]" 0.0078 63815 1.0 0
1 1711969456.568892 "[10094, 100941398]" 0.0016 63815 0.9 0
1 1711969458.697505 [100941398252] 0.0016 63815 0.8 0
2 1711969459.697505 "[100941398252, 100941398252]" 0.0031 63815 0.8 0
3 1711969460.697505 "[100941398252, 100941398252]" 0.0031 63815 0.8 0
4 1711969461.697505 "[100941398, 100941398252, 100941398252]" 0.0047 63815 0.8 0
5 1711969462.697505 "[10094, 100941398, 100941398252, 100941398252]" 0.0047 63815 0.8 0
1 1711969467.9276931 [100941398254] 0.0016 63815 0.7 0
2 1711969468.9276931 "[100941398254, 100941398254]" 0.0031 63815 0.7 0
3 1711969469.9276931 "[100941398, 100941398254, 100941398254]" 0.0047 63815 0.7 0
4 1711969470.9276931 "[10094, 100941398, 100941398254, 100941398254]" 0.0047 63815 0.7 0
1 1711969475.754112 "[100941412, 100941412]" 0.0031 63815 0.6 0
2 1711969476.754112 "[100941412, 100941412]" 0.0031 63815 0.6 0
3 1711969477.754112 "[1009414, 100941412, 100941412]" 0.0047 63815 0.6 0
4 1711969478.754112 "[1009414, 100941412, 100941412]" 0.0047 63815 0.6 0
5 1711969479.754112 "[1009414, 100941412, 100941412]" 0.0047 63815 0.6 0
6 1711969480.754112 "[1009414, 1009414, 100941412, 100941412]" 0.0063 63815 0.6 0
7 1711969481.754112 "[1009414, 1009414, 1009414, 100941412, 100941412]" 0.0078 63815 0.6 0
8 1711969482.754112 "[1009414, 1009414, 1009414, 100941412, 100941412]" 0.0078 63815 0.6 0
9 1711969483.754112 "[10094, 1009414, 1009414, 1009414, 100941412, 100941412]" 0.0078 63815 0.6 0
1 1711969503.431158 [10094139824] 0.0016 63815 0.5 0
2 1711969504.431158 "[10094139824, 10094139824]" 0.0031 63815 0.5 0
3 1711969505.431158 "[100941398, 10094139824, 10094139824]" 0.0047 63815 0.5 0
4 1711969506.431158 "[100941398, 10094139824, 1009413982, 1009413984, 10094139824, 100941398242, 100941398244]" 0.0110 63815 0.5 0
5 1711969507.431158 "[100941398, 10094139824, 1009413982, 1009413984, 1009413984, 10094139824, 100941398242, 100941398242, 100941398244]" 0.0141 63815 0.5 0
6 1711969508.431158 "[100941398, 10094139824, 1009413982, 1009413984, 1009413984, 10094139824, 10094139824, 100941398242, 100941398242, 100941398244]" 0.0157 63815 0.5 0
7 1711969509.431158 "[10094, 100941398, 10094139824, 1009413982, 1009413984, 1009413984, 10094139824, 10094139824, 100941398242, 100941398242, 100941398244]" 0.0157 63815 0.5 0
1 1711969540.988488 [100941398252] 0.0016 63815 0.4 0
2 1711969541.988488 [100941398252] 0.0016 63815 0.4 0
3 1711969542.988488 [100941398252] 0.0016 63815 0.4 0
4 1711969543.988488 "[100941398252, 100941398252]" 0.0031 63815 0.4 0
5 1711969544.988488 "[100941398, 100941398252, 100941398252]" 0.0047 63815 0.4 0
6 1711969545.988488 "[100941398, 100941398252, 100941398252]" 0.0047 63815 0.4 0
