Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712513317.571755 [20028418264] 0.0056 17804 1.0 0
1 1.5622432231903076 "[2002841826, 20028418264]" 0.0112 17804 1.0 0
2 3.159414052963257 "[2002841826, 2002841826, 20028418264]" 0.0169 17804 1.0 0
3 6.0496909618377686 "[2002841826, 2002841826, 2002841826, 20028418264]" 0.0225 17804 1.0 0
4 9.347632884979248 "[200284182, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0281 17804 1.0 0
5 14.486593008041382 "[200284182, 200284182, 200284184, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0393 17804 1.0 0
6 20.719642877578735 "[200284182, 200284182, 200284182, 200284184, 200284184, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0506 17804 1.0 0
7 28.23316216468811 "[20028418, 200284182, 200284182, 200284182, 200284184, 200284184, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0562 17804 1.0 0
8 39.80748796463013 "[20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284184, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0618 17804 1.0 0
9 48.924506187438965 "[20028418, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284184, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0674 17804 1.0 0
10 59.3950879573822 "[200284, 20028418, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284184, 200284186, 200284188, 2002841826, 2002841826, 2002841826, 20028418264]" 0.0843 17804 1.0 0
11 72.43901228904724 "[200284, 200284, 20028418, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284186, 200284188, 200284184, 200284186, 200284188, 2002841826, 2002841826, 2002841826, 20028418264]" 0.1011 17804 1.0 0
12 89.00109124183655 "[200284, 200284, 200284, 20028418, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284186, 200284188, 200284184, 200284186, 200284188, 2002841826, 2002841826, 2002841826, 20028418264]" 0.1067 17804 1.0 0
13 106.3470470905304 "[20028, 200284, 200284, 200284, 20028418, 2002846, 2002848, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284186, 200284188, 200284184, 200284186, 200284188, 2002841826, 2002841826, 2002841826, 20028418264]" 0.1236 17804 1.0 0
14 127.94764614105225 "[20028, 20028, 200284, 200284, 200284, 2002846, 2002848, 20028418, 2002846, 2002848, 20028418, 20028418, 200284182, 200284182, 200284182, 200284184, 200284186, 200284188, 200284184, 200284186, 200284188, 2002841826, 2002841826, 2002841826, 20028418264]" 0.1404 17804 1.0 0
