Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711964044.803497 "[20052, 200521912]" 0.0153 6537 1.0 0
1 1711964046.8355541 "[20052184, 20052184]" 0.0306 6537 0.9 0
2 1711964047.8355541 "[2005218, 20052184, 20052184, 200521842, 200521844]" 0.0765 6537 0.9 0
3 1711964048.8355541 "[2005218, 2005218, 20052184, 20052184, 200521842, 200521842, 200521844, 200521844]" 0.1224 6537 0.9 0
4 1711964049.8355541 "[2005218, 2005218, 2005218, 20052184, 20052184, 20052184, 200521842, 200521842, 200521844, 200521844]" 0.1530 6537 0.9 0
5 1711964050.8355541 "[20052, 2005218, 2005218, 2005218, 20052184, 20052184, 20052184, 200521842, 200521842, 200521844, 200521844]" 0.1530 6537 0.9 0
1 1711964071.609565 "[20052174, 20052174]" 0.0306 6537 0.8 0
2 1711964072.609565 "[20052174, 20052174]" 0.0306 6537 0.8 0
3 1711964073.609565 "[20052174, 20052174, 20052174]" 0.0459 6537 0.8 0
4 1711964074.609565 "[20052, 20052174, 20052174, 20052174]" 0.0459 6537 0.8 0
1 1711964079.7110379 "[200521932, 200521932]" 0.0306 6537 0.7 0
2 1711964080.7110379 "[20052, 200521932, 200521932]" 0.0306 6537 0.7 0
1 1711964083.29408 "[200521812, 200521812]" 0.0306 6537 0.6 0
2 1711964084.29408 "[200521812, 200521812, 200521812]" 0.0459 6537 0.6 0
3 1711964085.29408 "[200521812, 200521812, 200521812]" 0.0459 6537 0.6 0
4 1711964086.29408 "[200521812, 200521812, 200521812]" 0.0459 6537 0.6 0
5 1711964087.29408 "[2005218, 200521812, 200521812, 200521812]" 0.0612 6537 0.6 0
6 1711964088.29408 "[2005218, 2005218, 200521812, 200521812, 200521812]" 0.0765 6537 0.6 0
7 1711964089.29408 "[2005218, 2005218, 200521812, 200521812, 200521812]" 0.0765 6537 0.6 0
8 1711964090.29408 "[2005218, 2005218, 2005218, 200521812, 200521812, 200521812]" 0.0918 6537 0.6 0
9 1711964091.29408 "[2005218, 2005218, 2005218, 200521812, 20052186, 200521812, 200521812]" 0.1071 6537 0.6 0
10 1711964092.29408 "[2005218, 2005218, 2005218, 20052186, 200521812, 20052186, 20052188, 200521812, 200521812]" 0.1377 6537 0.6 0
11 1711964093.29408 "[20052, 2005218, 2005218, 2005218, 20052186, 200521812, 20052186, 20052188, 200521812, 200521812]" 0.1377 6537 0.6 0
1 1711964127.75591 "[20052174, 20052174]" 0.0306 6537 0.5 0
2 1711964128.75591 "[20052174, 20052174, 20052174]" 0.0459 6537 0.5 0
3 1711964129.75591 "[20052, 20052174, 20052174, 20052174]" 0.0459 6537 0.5 0
1 1711964134.025614 "[2005218424, 2005218424]" 0.0306 6537 0.4 0
2 1711964135.025614 "[2005218424, 2005218424]" 0.0306 6537 0.4 0
3 1711964136.025614 "[2005218424, 2005218424, 2005218424]" 0.0459 6537 0.4 0
4 1711964137.025614 "[2005218424, 2005218424, 2005218424]" 0.0459 6537 0.4 0
5 1711964138.025614 "[2005218424, 2005218424, 2005218424]" 0.0459 6537 0.4 0
6 1711964139.025614 "[2005218424, 2005218424, 2005218424]" 0.0459 6537 0.4 0
7 1711964140.025614 "[2005218424, 2005218424, 2005218424]" 0.0459 6537 0.4 0
