Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712559847.1575308 [10038942] 0.0057 17464 1.0 0
1 1.095501184463501 "[10038942, 10038942]" 0.0115 17464 1.0 0
2 2.467059373855591 "[10038942, 10038942, 10038942]" 0.0172 17464 1.0 0
3 4.62558126449585 "[1003894, 10038942, 10038942, 10038942]" 0.0229 17464 1.0 0
4 7.457500219345093 "[1003894, 1003894, 10038942, 10038942, 10038942]" 0.0286 17464 1.0 0
5 11.015762329101562 "[1003894, 1003894, 1003894, 10038942, 10038942, 10038942]" 0.0344 17464 1.0 0
6 15.306912183761597 "[10038, 1003894, 1003894, 1003894, 10038942, 10038942, 10038942]" 0.0401 17464 1.0 0
7 20.251493215560913 "[10038, 10038, 1003894, 1003894, 1003894, 10038942, 10038942, 10038942]" 0.0458 17464 1.0 0
8 22.608525037765503 "[10038, 10038, 10038, 1003894, 1003894, 1003894, 10038942, 10038942, 10038942]" 0.0458 17464 1.0 0
0 1712559871.820086 [100389522] 0.0057 17464 0.9 0
1 1.0209589004516602 "[100389522, 100389522]" 0.0115 17464 0.9 0
2 2.386798143386841 "[100389522, 100389522, 100389522]" 0.0172 17464 0.9 0
3 4.429476022720337 "[10038952, 100389522, 100389522, 100389522]" 0.0229 17464 0.9 0
4 7.1096861362457275 "[10038952, 10038952, 100389522, 100389522, 100389522]" 0.0286 17464 0.9 0
5 10.51114296913147 "[10038952, 10038952, 10038952, 100389522, 100389522, 100389522]" 0.0344 17464 0.9 0
6 14.609374046325684 "[10038, 10038952, 10038952, 10038952, 100389522, 100389522, 100389522]" 0.0401 17464 0.9 0
7 19.346619844436646 "[10038, 10038, 10038952, 10038952, 10038952, 100389522, 100389522, 100389522]" 0.0458 17464 0.9 0
8 21.650548934936523 "[10038, 10038, 10038, 10038952, 10038952, 10038952, 100389522, 100389522, 100389522]" 0.0458 17464 0.9 0
0 1712559895.5257258 [1003894422] 0.0057 17464 0.8 0
1 1.021517276763916 [1003894422] 0.0057 17464 0.8 0
2 1.6915111541748047 "[1003894422, 1003894422]" 0.0115 17464 0.8 0
3 3.0266971588134766 "[1003894422, 1003894422, 1003894422]" 0.0172 17464 0.8 0
4 5.053579092025757 "[1003894422, 1003894422, 1003894422]" 0.0172 17464 0.8 0
5 7.217132091522217 "[100389442, 1003894422, 1003894422, 1003894422]" 0.0229 17464 0.8 0
6 9.943767070770264 "[100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0286 17464 0.8 0
7 13.413474082946777 "[100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0286 17464 0.8 0
8 16.866015195846558 "[100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0344 17464 0.8 0
9 20.953588008880615 "[10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0401 17464 0.8 0
10 25.83575415611267 "[10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0401 17464 0.8 0
11 30.793549060821533 "[10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0458 17464 0.8 0
12 36.34340310096741 "[10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0515 17464 0.8 0
13 42.58603119850159 "[10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0515 17464 0.8 0
14 48.9434871673584 "[1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0573 17464 0.8 0
15 55.89256024360657 "[1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0573 17464 0.8 0
16 62.81653308868408 "[1003894, 1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0630 17464 0.8 0
17 70.33377718925476 "[1003894, 1003894, 1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0687 17464 0.8 0
18 78.5287721157074 "[10038, 1003894, 1003894, 1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0744 17464 0.8 0
19 87.38255310058594 "[10038, 10038, 1003894, 1003894, 1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0802 17464 0.8 0
20 90.9691481590271 "[10038, 10038, 10038, 1003894, 1003894, 1003894, 10038944, 10038944, 10038944, 100389442, 100389442, 100389442, 1003894422, 1003894422, 1003894422]" 0.0802 17464 0.8 0
0 1712559989.8740108 [10038944222] 0.0057 17464 0.7 0
1 1.0198051929473877 "[10038944222, 10038944222]" 0.0115 17464 0.7 0
2 2.364882230758667 "[10038944222, 10038944222]" 0.0115 17464 0.7 0
3 3.720208168029785 "[10038944222, 10038944222, 10038944222]" 0.0172 17464 0.7 0
4 5.734426259994507 "[1003894422, 10038944222, 10038944222, 10038944222]" 0.0229 17464 0.7 0
5 8.42048716545105 "[1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0286 17464 0.7 0
6 11.812175273895264 "[1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0286 17464 0.7 0
7 15.225380182266235 "[1003894422, 1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0344 17464 0.7 0
8 19.315381050109863 "[100389442, 1003894422, 1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0401 17464 0.7 0
9 24.106654405593872 "[100389442, 100389442, 1003894422, 1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0458 17464 0.7 0
10 29.572867155075073 "[100389442, 100389442, 1003894422, 1003894422, 1003894422, 10038944222, 10038944222, 10038944222]" 0.0458 17464 0.7 0
