Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711970963.1065989 "[2003634, 2003634]" 0.1878 1065 1.0 0
2 1711970964.1065989 "[2003634, 2003634, 2003634]" 0.2817 1065 1.0 0
3 1711970965.1065989 "[20036, 2003634, 2003634, 2003634]" 0.2817 1065 1.0 0
1 1711970969.0178912 [200363222] 0.0939 1065 0.9 0
2 1711970970.0178912 "[20036322, 200363222]" 0.1878 1065 0.9 0
3 1711970971.0178912 "[20036322, 20036322, 200363222]" 0.2817 1065 0.9 0
4 1711970972.0178912 "[20036322, 20036322, 20036322, 200363222]" 0.3756 1065 0.9 0
5 1711970973.0178912 "[2003632, 20036322, 20036322, 20036322, 200363222]" 0.4695 1065 0.9 0
6 1711970974.0178912 "[2003632, 2003632, 20036322, 20036322, 20036322, 200363222]" 0.5634 1065 0.9 0
7 1711970975.0178912 "[2003632, 2003632, 2003632, 20036322, 20036322, 20036322, 200363222]" 0.6573 1065 0.9 0
1 1711970990.698472 "[200363272, 200363272]" 0.1878 1065 0.8 0
2 1711970991.698472 "[2003632, 200363272, 200363272]" 0.2817 1065 0.8 0
3 1711970992.698472 "[2003632, 2003632, 200363272, 200363272]" 0.3756 1065 0.8 0
4 1711970993.698472 "[2003632, 2003632, 2003632, 200363272, 200363272]" 0.4695 1065 0.8 0
5 1711970994.698472 "[20036, 2003632, 2003632, 2003632, 200363272, 200363272]" 0.4695 1065 0.8 0
1 1711971003.596309 "[20036324, 20036324]" 0.1878 1065 0.7 0
2 1711971004.596309 "[20036324, 20036324, 20036324]" 0.2817 1065 0.7 0
3 1711971005.596309 "[2003632, 20036324, 20036324, 20036324]" 0.3756 1065 0.7 0
4 1711971006.596309 "[2003632, 2003632, 20036324, 20036324, 20036324]" 0.4695 1065 0.7 0
5 1711971007.596309 "[2003632, 2003632, 2003632, 20036324, 20036324, 20036324]" 0.5634 1065 0.7 0
6 1711971008.596309 "[20036, 2003632, 2003632, 2003632, 20036324, 20036324, 20036324]" 0.5634 1065 0.7 0
1 1711971023.079645 [2003632652] 0.0939 1065 0.6 0
2 1711971024.079645 "[2003632652, 2003632652]" 0.1878 1065 0.6 0
3 1711971025.079645 "[2003632652, 2003632652]" 0.1878 1065 0.6 0
4 1711971026.079645 "[2003632652, 2003632652]" 0.1878 1065 0.6 0
5 1711971027.079645 "[20036326, 2003632652, 2003632652]" 0.2817 1065 0.6 0
6 1711971028.079645 "[20036326, 20036326, 2003632652, 2003632652]" 0.3756 1065 0.6 0
7 1711971029.079645 "[20036326, 20036326, 2003632652, 2003632652]" 0.3756 1065 0.6 0
8 1711971030.079645 "[20036326, 20036326, 2003632652, 2003632652]" 0.3756 1065 0.6 0
9 1711971031.079645 "[20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.4695 1065 0.6 0
10 1711971032.079645 "[20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.4695 1065 0.6 0
11 1711971033.079645 "[20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.4695 1065 0.6 0
12 1711971034.079645 "[20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.4695 1065 0.6 0
13 1711971035.079645 "[2003632, 20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.5634 1065 0.6 0
14 1711971036.079645 "[2003632, 2003632, 20036326, 20036326, 20036326, 2003632652, 2003632652]" 0.6573 1065 0.6 0
1 1711971077.00053 [20036436] 0.0939 1065 0.5 0
2 1711971078.00053 [20036436] 0.0939 1065 0.5 0
3 1711971079.00053 "[20036436, 20036436]" 0.1878 1065 0.5 0
4 1711971080.00053 "[200364, 20036436, 20036436]" 0.2817 1065 0.5 0
5 1711971081.00053 "[200364, 20036436, 20036436]" 0.2817 1065 0.5 0
6 1711971082.00053 "[200364, 20036436, 20036436]" 0.2817 1065 0.5 0
7 1711971083.00053 "[200364, 200364, 20036436, 20036436]" 0.3756 1065 0.5 0
8 1711971084.00053 "[200364, 200364, 20036436, 20036436]" 0.3756 1065 0.5 0
9 1711971085.00053 "[200364, 200364, 200364, 20036436, 20036436]" 0.4695 1065 0.5 0
10 1711971086.00053 "[200364, 200364, 200364, 20036436, 2003648, 20036436]" 0.5634 1065 0.5 0
11 1711971087.00053 "[20036, 200364, 200364, 200364, 20036436, 2003648, 20036436]" 0.5634 1065 0.5 0
1 1711971111.916628 "[2003632, 20036328]" 0.1878 1065 0.4 0
2 1711971112.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
3 1711971113.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
4 1711971114.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
5 1711971115.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
6 1711971116.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
7 1711971117.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
8 1711971118.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
9 1711971119.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
10 1711971120.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
11 1711971121.916628 "[2003632, 2003632, 20036328]" 0.2817 1065 0.4 0
12 1711971122.916628 "[2003632, 2003632, 2003632, 20036328]" 0.3756 1065 0.4 0
13 1711971123.916628 "[2003632, 2003632, 2003632, 20036328]" 0.3756 1065 0.4 0
14 1711971124.916628 "[2003632, 2003632, 2003632, 20036328]" 0.3756 1065 0.4 0
15 1711971125.916628 "[20036, 2003632, 2003632, 2003632, 20036328]" 0.3756 1065 0.4 0
1 1711971161.332742 [2003617866] 0.0939 1065 0.3 0
2 1711971162.332742 [2003617866] 0.0939 1065 0.3 0
3 1711971163.332742 "[2003617866, 2003617866]" 0.1878 1065 0.3 0
4 1711971164.332742 "[2003617866, 2003617866]" 0.1878 1065 0.3 0
5 1711971165.332742 "[2003617866, 2003617866]" 0.1878 1065 0.3 0
6 1711971166.332742 "[2003617866, 2003617866]" 0.1878 1065 0.3 0
7 1711971167.332742 "[2003617866, 2003617866, 2003617866]" 0.2817 1065 0.3 0
8 1711971168.332742 "[2003617866, 2003617866, 2003617866]" 0.2817 1065 0.3 0
9 1711971169.332742 "[2003617866, 2003617866, 2003617866]" 0.2817 1065 0.3 0
10 1711971170.332742 "[2003617866, 2003617866, 2003617866]" 0.2817 1065 0.3 0
11 1711971171.332742 "[200361786, 2003617866, 2003617866, 2003617866]" 0.3756 1065 0.3 0
12 1711971172.332742 "[200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.4695 1065 0.3 0
13 1711971173.332742 "[200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.4695 1065 0.3 0
14 1711971174.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
15 1711971175.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
16 1711971176.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
17 1711971177.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
18 1711971178.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
19 1711971179.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
20 1711971180.332742 "[200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.5634 1065 0.3 0
21 1711971181.332742 "[20036178, 200361786, 200361786, 200361786, 2003617866, 2003617866, 2003617866]" 0.6573 1065 0.3 0
1 1711971250.2178218 [200361786] 0.0939 1065 0.2 0
2 1711971251.2178218 [200361786] 0.0939 1065 0.2 0
3 1711971252.2178218 "[200361786, 200361786]" 0.1878 1065 0.2 0
4 1711971253.2178218 "[200361786, 200361786]" 0.1878 1065 0.2 0
5 1711971254.2178218 "[200361786, 200361786]" 0.1878 1065 0.2 0
6 1711971255.2178218 "[20036178, 200361786, 200361786]" 0.2817 1065 0.2 0
7 1711971256.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
8 1711971257.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
9 1711971258.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
10 1711971259.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
11 1711971260.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
12 1711971261.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
13 1711971262.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
14 1711971263.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
15 1711971264.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
16 1711971265.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
17 1711971266.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
18 1711971267.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
19 1711971268.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
20 1711971269.2178218 "[20036178, 20036178, 200361786, 200361786]" 0.3756 1065 0.2 0
21 1711971270.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
22 1711971271.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
23 1711971272.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
24 1711971273.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
25 1711971274.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
26 1711971275.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
27 1711971276.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
28 1711971277.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
29 1711971278.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
30 1711971279.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
31 1711971280.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
32 1711971281.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
33 1711971282.2178218 "[20036178, 20036178, 20036178, 200361786, 200361786]" 0.4695 1065 0.2 0
