Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712568860.664709 [20054266664] 0.0183 5454 1.0 0
1 1.3850231170654297 "[200542666, 20054266664]" 0.0367 5454 1.0 0
2 3.4519739151000977 "[20054266, 200542666, 20054266664, 2005426664, 2005426666]" 0.0917 5454 1.0 0
3 8.176736831665039 "[20054266, 20054266, 200542666, 20054266664, 2005426664, 2005426666, 2005426664, 2005426666]" 0.1467 5454 1.0 0
4 14.747879028320312 "[20054266, 20054266, 20054266, 200542666, 200542666, 20054266664, 2005426664, 2005426666, 2005426664, 2005426666]" 0.1834 5454 1.0 0
5 23.063434839248657 "[2005426, 20054266, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 2005426664, 2005426666, 2005426664, 2005426666]" 0.2200 5454 1.0 0
6 32.029216051101685 "[2005426, 2005426, 20054266, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 2005426664, 2005426666, 2005426664, 2005426666]" 0.2384 5454 1.0 0
7 41.74118900299072 "[2005426, 2005426, 2005426, 20054266, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 2005426664, 2005426666, 2005426664, 2005426666]" 0.2567 5454 1.0 0
8 52.72685503959656 "[200542, 2005426, 2005426, 2005426, 20054266, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.3117 5454 1.0 0
9 67.37849402427673 "[200542, 200542, 2005426, 2005426, 2005426, 20054266, 200542696, 200542698, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.3667 5454 1.0 0
10 84.15643286705017 "[200542, 200542, 200542, 2005426, 2005426, 2005426, 20054266, 200542696, 200542698, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.3850 5454 1.0 0
11 101.7406599521637 "[20054, 200542, 200542, 200542, 2005426, 2005426, 2005426, 20054266, 200542696, 200542698, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.4034 5454 1.0 0
12 128.19188785552979 "[20054, 20054, 200542, 200542, 200542, 2005426, 2005426, 2005426, 20054266, 200542696, 200542698, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.4217 5454 1.0 0
13 138.3243567943573 "[20054, 20054, 20054, 200542, 200542, 200542, 2005426, 2005426, 2005426, 20054266, 200542696, 200542698, 20054266, 20054266, 200542666, 200542666, 200542666, 20054266664, 200542696, 200542698, 2005426664, 2005426666, 2005426664, 2005426666]" 0.4217 5454 1.0 0
0 1712569007.300818 [200542646] 0.0183 5454 0.9 0
1 1.2734792232513428 "[20054264, 200542646]" 0.0367 5454 0.9 0
2 2.8010449409484863 "[20054264, 20054264, 200542646]" 0.0550 5454 0.9 0
3 5.14055609703064 "[20054264, 20054264, 20054264, 200542646]" 0.0733 5454 0.9 0
4 8.654266119003296 "[2005426, 20054264, 20054264, 20054264, 200542646]" 0.0917 5454 0.9 0
5 13.081009149551392 "[2005426, 2005426, 20054264, 20054264, 20054264, 200542646]" 0.1100 5454 0.9 0
6 17.55200982093811 "[2005426, 2005426, 2005426, 20054264, 20054264, 20054264, 200542646]" 0.1283 5454 0.9 0
7 23.825196027755737 "[200542, 2005426, 2005426, 2005426, 20054264, 20054264, 20054264, 200542646, 200542696, 200542698]" 0.1834 5454 0.9 0
8 31.667213916778564 "[200542, 200542, 2005426, 2005426, 2005426, 20054264, 200542696, 200542698, 20054264, 20054264, 200542646, 200542696, 200542698]" 0.2384 5454 0.9 0
9 43.027971029281616 "[200542, 200542, 200542, 2005426, 2005426, 2005426, 20054264, 200542696, 200542698, 20054264, 20054264, 200542646, 200542696, 200542698]" 0.2567 5454 0.9 0
10 54.40248703956604 "[200542, 200542, 200542, 2005426, 2005426, 2005426, 20054264, 200542696, 200542698, 20054264, 20054264, 200542646, 200542696, 200542698]" 0.2567 5454 0.9 0
11 66.37051105499268 "[20054, 200542, 200542, 200542, 2005426, 2005426, 2005426, 20054264, 200542696, 200542698, 20054264, 20054264, 200542646, 200542696, 200542698]" 0.2750 5454 0.9 0
