Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 0.905674934387207 "[10044456, 1004445616]" 0.0030 66735 1.0 0
2 2.1994469165802 "[10044456, 10044456, 1004445616]" 0.0045 66735 1.0 0
3 4.47945499420166 "[10044456, 10044456, 10044456, 1004445616]" 0.0060 66735 1.0 0
4 8.765851020812988 "[100444, 10044456, 10044456, 10044456, 1004445616, 100444564, 100444566, 100444568]" 0.0120 66735 1.0 0
5 20.474119901657104 "[100444, 100444, 10044456, 10044456, 10044456, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 100444568]" 0.0180 66735 1.0 0
6 30.577120065689087 "[100444, 100444, 100444, 10044456, 10044456, 10044456, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 100444568, 1004445666, 1004445668]" 0.0225 66735 1.0 0
7 51.618180990219116 "[10044, 100444, 100444, 100444, 10044456, 1004446, 1004448, 10044456, 10044456, 1004445666, 1004445668, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 100444568, 1004445666, 1004445668]" 0.0300 66735 1.0 0
8 67.56665301322937 "[10044, 10044, 100444, 100444, 100444, 1004446, 1004448, 10044456, 1004446, 1004448, 10044456, 10044456, 1004445666, 1004445668, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 100444568, 1004445666, 1004445668, 10044456682, 10044456684]" 0.0375 66735 1.0 0
9 107.35611319541931 "[10044, 10044, 10044, 100444, 100444, 100444, 1004446, 1004448, 10044456, 1004446, 1004448, 10044456, 10044456, 1004445666, 1004445668, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 10044456682, 10044456684, 100444568, 100444698, 100444898, 1004445666, 1004445668, 1004448978, 10044456682, 10044456684, 10044469752]" 0.0480 66735 1.0 0
10 116.43427205085754 "[1004, 10044, 10044, 10044, 100444, 100444, 100444, 1004446, 1004448, 10044456, 1004446, 1004448, 10044456, 10044456, 1004445666, 1004445668, 100444564, 100444566, 100444568, 1004445616, 100444564, 100444566, 10044456682, 10044456684, 100444568, 100444698, 100444898, 1004445666, 1004445668, 1004448978, 10044456682, 10044456684, 10044469752]" 0.0480 66735 1.0 0
1 1.8714041709899902 "[10044454, 100444544, 1004445444]" 0.0045 66735 0.9 0
2 6.181324005126953 "[10044454, 10044454, 100444544, 1004445442, 1004445444, 1004445444]" 0.0090 66735 0.9 0
3 12.811635971069336 "[10044454, 10044454, 10044454, 100444544, 100444544, 1004445442, 1004445442, 1004445444, 1004445444]" 0.0135 66735 0.9 0
4 21.73671817779541 "[100444, 10044454, 10044454, 10044454, 100444544, 100444544, 100444544, 100444548, 1004445442, 1004445442, 1004445444, 1004445444]" 0.0180 66735 0.9 0
