Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712685125.1977751 [20044934328] 0.0012 82307 1.0 0
1 1.3848168849945068 "[20044934328, 20044934328]" 0.0024 82307 1.0 0
2 2.9356298446655273 "[2004493432, 20044934328, 20044934328]" 0.0036 82307 1.0 0
3 5.119124889373779 "[2004493432, 2004493432, 20044934328, 20044934328]" 0.0049 82307 1.0 0
4 7.929929971694946 "[2004493432, 2004493432, 2004493432, 20044934328, 20044934328]" 0.0061 82307 1.0 0
5 11.860798835754395 "[20044934, 2004493432, 2004493432, 2004493432, 20044934328, 20044934326, 20044934328]" 0.0085 82307 1.0 0
6 17.23716688156128 "[20044934, 20044934, 2004493432, 2004493432, 2004493432, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0109 82307 1.0 0
7 24.10330080986023 "[20044934, 20044934, 20044934, 2004493432, 2004493432, 2004493432, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0121 82307 1.0 0
8 32.77284002304077 "[20044, 20044934, 20044934, 20044934, 2004493432, 200449348, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0158 82307 1.0 0
9 44.459415674209595 "[20044, 20044, 20044934, 20044934, 20044934, 200449348, 2004493432, 2004493472, 200449348, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0194 82307 1.0 0
10 57.37812876701355 "[20044, 20044, 20044, 20044934, 20044934, 20044934, 200449348, 2004493432, 2004493472, 200449348, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0207 82307 1.0 0
11 72.06493067741394 "[2004, 20044, 20044, 20044, 20044934, 20044934, 20044934, 200449348, 2004493432, 2004493472, 200449348, 200449992, 200449994, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0243 82307 1.0 0
12 88.64923691749573 "[2004, 2004, 20044, 20044, 20044, 20044934, 200449992, 200449994, 20044934, 20044934, 200449348, 2004493432, 2004493472, 200449348, 200449992, 200449994, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0279 82307 1.0 0
13 94.57717084884644 "[2004, 2004, 2004, 20044, 20044, 20044, 20044934, 200449992, 200449994, 20044934, 20044934, 200449348, 2004493432, 2004493472, 200449348, 200449992, 200449994, 2004493432, 2004493432, 2004493472, 20044934326, 20044934328, 20044934326, 20044934328]" 0.0279 82307 1.0 0
0 1712685225.049727 [200449474] 0.0012 82307 0.9 0
1 1.1552131175994873 "[200449474, 200449474]" 0.0024 82307 0.9 0
2 2.536294937133789 "[2004494, 200449474, 200449474]" 0.0036 82307 0.9 0
3 4.559541940689087 "[2004494, 2004494, 200449474, 200449474]" 0.0049 82307 0.9 0
4 7.246645927429199 "[2004494, 2004494, 2004494, 200449474, 200449474]" 0.0061 82307 0.9 0
5 10.641133069992065 "[20044, 2004494, 2004494, 2004494, 200449474, 200449474]" 0.0073 82307 0.9 0
6 14.863094091415405 "[20044, 20044, 2004494, 2004494, 2004494, 200449474, 200449474]" 0.0085 82307 0.9 0
7 19.83968210220337 "[20044, 20044, 20044, 2004494, 2004494, 2004494, 200449474, 200449474]" 0.0097 82307 0.9 0
8 25.961723804473877 "[2004, 20044, 20044, 20044, 2004494, 2004494, 2004494, 200449474, 200449474, 200449992, 200449994]" 0.0134 82307 0.9 0
9 34.14219903945923 "[2004, 2004, 20044, 20044, 20044, 2004494, 200449992, 200449994, 2004494, 2004494, 200449474, 200449474, 200449992, 200449994]" 0.0170 82307 0.9 0
10 37.51579213142395 "[2004, 2004, 2004, 20044, 20044, 20044, 2004494, 200449992, 200449994, 2004494, 2004494, 200449474, 200449474, 200449992, 200449994]" 0.0170 82307 0.9 0
0 1712685265.781853 [2004494774] 0.0012 82307 0.8 0
1 1.0047211647033691 "[2004494774, 2004494774]" 0.0024 82307 0.8 0
2 2.3080828189849854 "[2004494774, 2004494774, 2004494774]" 0.0036 82307 0.8 0
3 4.252657175064087 "[2004494, 2004494774, 2004494774, 2004494774]" 0.0049 82307 0.8 0
4 6.903165102005005 "[2004494, 2004494, 2004494774, 2004494774, 2004494774]" 0.0061 82307 0.8 0
