Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712658127.8601012 [1003499976172] 0.1626 615 1.0 0
1 1.3053996562957764 "[1003499976172, 1003499976172]" 0.3252 615 1.0 0
2 2.633739709854126 "[1003499976172, 1003499976172, 1003499976172]" 0.4878 615 1.0 0
3 4.894008636474609 "[1003499976, 1003499976172, 1003499976172, 1003499976172]" 0.6504 615 1.0 0
0 1712658133.588366 [10034999884] 0.1626 615 0.9 0
1 0.9711229801177979 "[10034999884, 10034999884]" 0.3252 615 0.9 0
2 2.310532808303833 "[100349998, 10034999884, 10034999884]" 0.4878 615 0.9 0
3 4.625395059585571 "[10034, 100349998, 10034999884, 1003499988, 10034999874, 10034999884]" 0.9756 615 0.9 0
0 1712658139.456437 [1003499972] 0.1626 615 0.8 0
1 1.0170669555664062 "[10034, 1003499972]" 0.3252 615 0.8 0
2 2.282576084136963 "[10034, 10034, 1003499972]" 0.4878 615 0.8 0
3 3.3224549293518066 "[10034, 10034, 10034, 1003499972]" 0.4878 615 0.8 0
0 1712658143.602765 [10034999766] 0.1626 615 0.7 0
1 0.9473888874053955 "[10034999766, 10034999766]" 0.3252 615 0.7 0
2 2.188835859298706 "[1003499976, 10034999766, 10034999766]" 0.4878 615 0.7 0
3 4.068036794662476 "[1003499976, 1003499976, 10034999766, 10034999766]" 0.6504 615 0.7 0
0 1712658148.505397 [100349997872] 0.1626 615 0.6 0
1 0.9589579105377197 "[100349997872, 100349997872]" 0.3252 615 0.6 0
2 2.2252509593963623 "[1003499978, 100349997872, 100349997872]" 0.4878 615 0.6 0
3 4.107111930847168 "[1003499978, 1003499978, 100349997872, 100349997872]" 0.6504 615 0.6 0
0 1712658153.454993 [10034999784] 0.1626 615 0.5 0
1 0.9671478271484375 [10034999784] 0.1626 615 0.5 0
2 1.5980870723724365 [10034999784] 0.1626 615 0.5 0
3 2.240591049194336 "[10034999784, 10034999784]" 0.3252 615 0.5 0
4 3.4864370822906494 "[10034999784, 10034999784]" 0.3252 615 0.5 0
5 4.73661208152771 "[10034999784, 10034999784]" 0.3252 615 0.5 0
6 6.020507097244263 "[10034999784, 10034999784]" 0.3252 615 0.5 0
7 7.332798957824707 "[10034999784, 10034999784]" 0.3252 615 0.5 0
8 8.744050025939941 "[10034999784, 10034999784, 10034999784]" 0.4878 615 0.5 0
9 10.714908123016357 "[10034999784, 10034999784, 10034999784]" 0.4878 615 0.5 0
10 12.707430124282837 "[1003499978, 10034999784, 10034999784, 10034999784]" 0.6504 615 0.5 0
0 1712658167.073937 [100349997612] 0.1626 615 0.4 0
1 0.9956240653991699 [100349997612] 0.1626 615 0.4 0
2 1.6494131088256836 [100349997612] 0.1626 615 0.4 0
3 2.3562259674072266 [100349997612] 0.1626 615 0.4 0
4 3.02683424949646 [100349997612] 0.1626 615 0.4 0
5 3.7130112648010254 [100349997612] 0.1626 615 0.4 0
6 4.400418996810913 [100349997612] 0.1626 615 0.4 0
7 5.069633960723877 "[100349997612, 100349997612]" 0.3252 615 0.4 0
8 6.373767137527466 "[100349997612, 100349997612]" 0.3252 615 0.4 0
9 7.621697902679443 "[100349997612, 100349997612]" 0.3252 615 0.4 0
10 8.87585186958313 "[100349997612, 100349997612, 100349997612]" 0.4878 615 0.4 0
11 10.803888082504272 "[1003499976, 100349997612, 100349997612, 100349997612]" 0.6504 615 0.4 0
0 1712658178.826366 [1003499976182] 0.1626 615 0.3 0
1 1.0586450099945068 "[1003499976182, 1003499976182]" 0.3252 615 0.3 0
2 2.4243431091308594 "[1003499976182, 1003499976182, 1003499976182]" 0.4878 615 0.3 0
3 4.387156963348389 "[100349997618, 1003499976182, 1003499976182, 1003499976182]" 0.6504 615 0.3 0
0 1712658184.111108 [100349996] 0.1626 615 0.2 0
1 1.0695059299468994 [100349996] 0.1626 615 0.2 0
2 1.779670000076294 [100349996] 0.1626 615 0.2 0
3 2.4845969676971436 [100349996] 0.1626 615 0.2 0
4 3.267967939376831 [100349996] 0.1626 615 0.2 0
5 3.931182861328125 [100349996] 0.1626 615 0.2 0
6 4.63039493560791 [100349996] 0.1626 615 0.2 0
7 5.262742042541504 "[100349996, 100349996]" 0.3252 615 0.2 0
8 7.226131916046143 "[100349996, 100349996, 1003499966]" 0.4878 615 0.2 0
9 9.641692876815796 "[10034, 100349996, 100349996, 1003499966, 1003499966]" 0.8130 615 0.2 0
0 1712658194.832323 [10034999786] 0.1626 615 0.1 0
1 0.9704298973083496 [10034999786] 0.1626 615 0.1 0
2 1.595850944519043 "[10034999786, 10034999786]" 0.3252 615 0.1 0
3 2.8458569049835205 "[10034999786, 10034999786]" 0.3252 615 0.1 0
4 4.103238821029663 "[10034999786, 10034999786]" 0.3252 615 0.1 0
5 5.357744932174683 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
6 7.264237880706787 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
7 9.133332014083862 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
8 11.00444483757019 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
9 12.879163980484009 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
10 14.747458696365356 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
11 16.67131805419922 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
12 18.613966941833496 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
13 20.554776906967163 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
14 22.518794059753418 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
15 24.412195920944214 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
16 26.305516004562378 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
17 28.25306797027588 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
18 30.18446397781372 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
19 32.076606035232544 "[1003499978, 10034999786, 10034999786]" 0.4878 615 0.1 0
20 33.948647022247314 "[1003499978, 1003499978, 10034999786, 10034999786]" 0.6504 615 0.1 0
0 1712658229.618165 [1003499982] 0.1626 615 1.0 0.1
1 0.9558939933776855 [1003499982] 0.1626 615 1.0 0.1
2 1.5804059505462646 "[1003499982, 1003499982]" 0.3252 615 1.0 0.1
3 2.840878963470459 [100349998] 0.1626 615 1.0 0.1
4 3.4651577472686768 "[100349998, 100349998]" 0.3252 615 1.0 0.1
5 4.711749792098999 "[100349998, 100349998]" 0.3252 615 1.0 0.1
6 6.400235891342163 "[10034, 100349998, 100349998, 1003499988, 10034999874]" 0.8130 615 1.0 0.1
0 1712658237.049976 [100349997616] 0.1626 615 0.9 0.1
1 0.9630956649780273 "[1003499976, 100349997616]" 0.3252 615 0.9 0.1
2 2.2805638313293457 [1003499976] 0.1626 615 0.9 0.1
3 2.908129930496216 "[1003499976, 1003499976]" 0.3252 615 0.9 0.1
4 4.195287704467773 "[10034, 1003499976, 1003499976]" 0.4878 615 0.9 0.1
5 6.064039945602417 [1003499976] 0.1626 615 0.9 0.1
6 6.69355583190918 "[10034, 1003499976]" 0.3252 615 0.9 0.1
7 7.9488067626953125 "[10034, 10034, 1003499976]" 0.4878 615 0.9 0.1
8 8.993093729019165 "[10034, 10034, 10034, 1003499976]" 0.4878 615 0.9 0.1
0 1712658246.875673 [1003499984] 0.1626 615 0.8 0.1
1 1.1465179920196533 "[1003499984, 1003499984]" 0.3252 615 0.8 0.1
2 2.4147679805755615 "[1003499984, 1003499984, 1003499984]" 0.4878 615 0.8 0.1
3 4.292635917663574 "[100349998, 1003499984, 1003499984]" 0.4878 615 0.8 0.1
4 6.164759874343872 "[100349998, 100349998, 1003499984]" 0.4878 615 0.8 0.1
5 8.071191787719727 "[100349998, 100349998, 100349998, 1003499984]" 0.6504 615 0.8 0.1
0 1712658255.783206 [100349998] 0.1626 615 0.7 0.1
1 1.387199878692627 [] 0.1626 615 0.7 0.1
0 1712658257.174046 [10034999884] 0.1626 615 0.6 0.1
1 0.9545168876647949 [10034999884] 0.1626 615 0.6 0.1
2 1.581521987915039 "[100349998, 10034999884]" 0.3252 615 0.6 0.1
3 3.2405617237091064 [10034] 0.1626 615 0.6 0.1
4 3.8656020164489746 [10034] 0.1626 615 0.6 0.1
5 4.491902828216553 [10034] 0.1626 615 0.6 0.1
6 5.111495733261108 [10034] 0.1626 615 0.6 0.1
7 5.729274034500122 "[10034, 10034]" 0.3252 615 0.6 0.1
8 6.976532936096191 "[10034, 10034]" 0.3252 615 0.6 0.1
9 7.806492805480957 "[10034, 10034, 10034]" 0.3252 615 0.6 0.1
0 1712658265.601486 [100349997814] 0.1626 615 0.5 0.1
1 0.9515321254730225 [100349997814] 0.1626 615 0.5 0.1
2 1.5715899467468262 "[1003499978, 100349997814]" 0.3252 615 0.5 0.1
3 2.8776001930236816 "[1003499978, 1003499978, 100349997814]" 0.4878 615 0.5 0.1
4 4.889662027359009 "[1003499978, 1003499978, 100349997814]" 0.4878 615 0.5 0.1
5 6.821598052978516 "[1003499978, 1003499978, 1003499978]" 0.4878 615 0.5 0.1
6 8.732215166091919 "[10034, 1003499978]" 0.3252 615 0.5 0.1
7 10.03339409828186 "[10034, 10034]" 0.3252 615 0.5 0.1
8 10.874563932418823 "[10034, 10034, 10034]" 0.3252 615 0.5 0.1
0 1712658277.098923 [10034999762] 0.1626 615 0.4 0.1
1 0.9741840362548828 [10034999762] 0.1626 615 0.4 0.1
