Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712660319.473411 [200299612] 0.0056 17804 1.0 0
1 1.190767765045166 "[200299612, 200299612]" 0.0112 17804 1.0 0
2 2.5556070804595947 "[2002996, 200299612, 200299612]" 0.0169 17804 1.0 0
3 4.544468879699707 "[2002996, 2002996, 200299612, 200299612]" 0.0225 17804 1.0 0
4 7.1454548835754395 "[2002996, 2002996, 2002996, 200299612, 200299612]" 0.0281 17804 1.0 0
5 10.759017944335938 "[2002, 2002996, 2002996, 2002996, 200299612, 200299612]" 0.0337 17804 1.0 0
6 14.855153799057007 "[2002, 2002, 2002996, 2002996, 2002996, 200299612, 200299612]" 0.0393 17804 1.0 0
7 17.01162600517273 "[2002, 2002, 2002, 2002996, 2002996, 2002996, 200299612, 200299612]" 0.0393 17804 1.0 0
0 1712660338.184184 [20029941342] 0.0056 17804 0.9 0
1 0.9976949691772461 "[20029941342, 20029941342]" 0.0112 17804 0.9 0
2 2.262125015258789 "[2002994134, 20029941342, 20029941342]" 0.0169 17804 0.9 0
3 4.156179904937744 "[2002994134, 20029941342, 20029941342]" 0.0169 17804 0.9 0
4 6.16131591796875 "[2002994134, 20029941342, 20029941342]" 0.0169 17804 0.9 0
5 8.091989040374756 "[2002994134, 2002994134, 20029941342, 20029941342]" 0.0225 17804 0.9 0
6 10.739245891571045 "[2002994134, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0281 17804 0.9 0
7 14.155066967010498 "[2002994, 2002994134, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0337 17804 0.9 0
8 17.987300872802734 "[2002994, 2002994, 2002994134, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0393 17804 0.9 0
9 22.965793132781982 "[2002994, 2002994, 2002994, 2002994134, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0449 17804 0.9 0
10 29.03451895713806 "[2002, 2002994, 2002994, 2002994, 2002994134, 20029948, 200299478, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0618 17804 0.9 0
11 36.58377814292908 "[2002, 2002, 2002994, 2002994, 2002994, 20029948, 200299478, 2002994134, 20029948, 200299478, 2002994134, 2002994134, 20029941342, 20029941342]" 0.0786 17804 0.9 0
