Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712741291.996772 [10038329442] 0.0057 17464 1.0 0
1 1.2635109424591064 "[10038329442, 10038329442]" 0.0115 17464 1.0 0
2 2.728909969329834 "[1003832944, 10038329442, 10038329442]" 0.0172 17464 1.0 0
3 4.675067901611328 "[1003832944, 1003832944, 10038329442, 10038329442]" 0.0229 17464 1.0 0
4 7.225978851318359 "[1003832944, 1003832944, 1003832944, 10038329442, 10038329442]" 0.0286 17464 1.0 0
5 10.518123149871826 "[100383294, 1003832944, 1003832944, 1003832944, 10038329442, 10038329442]" 0.0344 17464 1.0 0
6 14.493206024169922 "[100383294, 100383294, 1003832944, 1003832944, 1003832944, 10038329442, 10038329442]" 0.0401 17464 1.0 0
7 19.36264204978943 "[100383294, 100383294, 100383294, 1003832944, 1003832944, 1003832944, 10038329442, 10038329442]" 0.0458 17464 1.0 0
8 25.23147988319397 "[1003832, 100383294, 100383294, 100383294, 1003832944, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0630 17464 1.0 0
9 32.67485284805298 "[1003832, 1003832, 100383294, 100383294, 100383294, 1003832944, 1003832946, 1003832948, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0802 17464 1.0 0
10 42.083396911621094 "[1003832, 1003832, 1003832, 100383294, 100383294, 100383294, 1003832944, 1003832946, 1003832948, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0859 17464 1.0 0
11 52.10996413230896 "[10038, 1003832, 1003832, 1003832, 100383294, 100383294, 100383294, 1003832944, 1003832946, 1003832948, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0916 17464 1.0 0
12 62.78042197227478 "[10038, 10038, 1003832, 1003832, 1003832, 100383294, 100383294, 100383294, 1003832944, 1003832946, 1003832948, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0973 17464 1.0 0
13 66.8352210521698 "[10038, 10038, 10038, 1003832, 1003832, 1003832, 100383294, 100383294, 100383294, 1003832944, 1003832946, 1003832948, 1003832944, 1003832944, 1003832946, 1003832948, 10038329442, 10038329442]" 0.0973 17464 1.0 0
0 1712741362.720557 [10038324422] 0.0057 17464 0.9 0
1 0.9607369899749756 "[10038324422, 10038324422]" 0.0115 17464 0.9 0
2 2.2133190631866455 "[10038324422, 10038324422, 10038324422]" 0.0172 17464 0.9 0
3 4.1118879318237305 "[1003832442, 10038324422, 10038324422, 10038324422]" 0.0229 17464 0.9 0
4 6.643403053283691 "[1003832442, 10038324422, 10038324422, 10038324422]" 0.0229 17464 0.9 0
5 9.181423902511597 "[1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0286 17464 0.9 0
6 12.590895891189575 "[1003832442, 1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0344 17464 0.9 0
7 16.461502075195312 "[100383244, 1003832442, 1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0401 17464 0.9 0
8 20.882216930389404 "[100383244, 1003832442, 1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0401 17464 0.9 0
9 25.339107990264893 "[100383244, 100383244, 1003832442, 1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0458 17464 0.9 0
10 30.53196907043457 "[100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 10038324422, 10038324422, 10038324422]" 0.0515 17464 0.9 0
11 36.77614402770996 "[10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.0687 17464 0.9 0
12 44.825462102890015 "[10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.0859 17464 0.9 0
13 54.771320104599 "[10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.0859 17464 0.9 0
14 64.76050686836243 "[10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.0916 17464 0.9 0
15 75.36908006668091 "[1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.0973 17464 0.9 0
16 86.72363615036011 "[1003832, 1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.1031 17464 0.9 0
17 98.70775008201599 "[1003832, 1003832, 1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.1088 17464 0.9 0
18 111.41991901397705 "[10038, 1003832, 1003832, 1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.1145 17464 0.9 0
19 124.72696709632874 "[10038, 10038, 1003832, 1003832, 1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.1202 17464 0.9 0
20 129.5636260509491 "[10038, 10038, 10038, 1003832, 1003832, 1003832, 10038324, 10038324, 10038324, 100383244, 100383244, 100383244, 1003832442, 1003832442, 1003832442, 1003832446, 1003832448, 1003832446, 1003832448, 10038324422, 10038324422, 10038324422]" 0.1202 17464 0.9 0
0 1712741496.867698 [1003832882] 0.0057 17464 0.8 0
1 0.9581379890441895 "[100383288, 1003832882]" 0.0115 17464 0.8 0
2 2.208958148956299 "[100383288, 100383288, 1003832882]" 0.0172 17464 0.8 0
3 4.093608140945435 "[100383288, 100383288, 1003832882]" 0.0172 17464 0.8 0
4 5.958899259567261 "[100383288, 100383288, 100383288, 1003832882]" 0.0229 17464 0.8 0
5 8.466323852539062 "[10038328, 100383288, 100383288, 100383288, 1003832882]" 0.0286 17464 0.8 0
6 11.646143913269043 "[10038328, 100383288, 100383288, 100383288, 1003832882]" 0.0286 17464 0.8 0
7 14.822112083435059 "[10038328, 10038328, 100383288, 100383288, 100383288, 1003832882]" 0.0344 17464 0.8 0
8 18.672919988632202 "[10038328, 10038328, 100383288, 100383288, 100383288, 1003832882]" 0.0344 17464 0.8 0
