Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712650338.938245 [2003696264] 0.0939 1065 1.0 0
1 1.0317299365997314 "[2003696264, 2003696264]" 0.1878 1065 1.0 0
2 2.312145948410034 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 1.0 0
3 4.273854970932007 "[200369626, 2003696264, 2003696264, 2003696264]" 0.3756 1065 1.0 0
4 7.199228048324585 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 1.0 0
5 10.466367959976196 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 1.0 0
6 14.149440050125122 "[20036962, 200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.6573 1065 1.0 0
0 1712650354.542433 [2003696264] 0.0939 1065 0.9 0
1 0.9588279724121094 "[2003696264, 2003696264]" 0.1878 1065 0.9 0
2 2.200500965118408 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.9 0
3 4.0615198612213135 "[200369626, 2003696264, 2003696264, 2003696264]" 0.3756 1065 0.9 0
4 6.556172132492065 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 0.9 0
5 9.659074068069458 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.9 0
6 13.54532790184021 "[20036962, 200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.6573 1065 0.9 0
0 1712650369.5593548 [20036882] 0.0939 1065 0.8 0
1 0.9831280708312988 "[20036882, 20036882]" 0.1878 1065 0.8 0
2 2.240443229675293 "[20036882, 20036882, 20036882]" 0.2817 1065 0.8 0
3 4.101107358932495 "[20036882, 20036882, 20036882]" 0.2817 1065 0.8 0
4 5.9590840339660645 "[2003688, 20036882, 20036882, 20036882]" 0.3756 1065 0.8 0
5 8.554462194442749 "[2003688, 2003688, 20036882, 20036882, 20036882]" 0.4695 1065 0.8 0
6 11.839738130569458 "[2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.5634 1065 0.8 0
7 15.587741374969482 "[200368, 2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.6573 1065 0.8 0
0 1712650386.705753 [2003696264] 0.0939 1065 0.7 0
1 1.045964002609253 [2003696264] 0.0939 1065 0.7 0
2 1.7322239875793457 "[2003696264, 2003696264]" 0.1878 1065 0.7 0
3 3.0015628337860107 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.7 0
4 4.884876728057861 "[200369626, 2003696264, 2003696264, 2003696264]" 0.3756 1065 0.7 0
5 7.383076906204224 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 0.7 0
6 10.552435874938965 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.7 0
7 14.439225912094116 "[20036962, 200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.6573 1065 0.7 0
0 1712650402.603776 [2003696264] 0.0939 1065 0.6 0
1 0.9627339839935303 "[200369626, 2003696264]" 0.1878 1065 0.6 0
2 2.213773012161255 "[200369626, 200369626, 2003696264]" 0.2817 1065 0.6 0
3 4.112347841262817 "[200369626, 200369626, 2003696264]" 0.2817 1065 0.6 0
4 5.9838972091674805 "[200369626, 200369626, 200369626, 2003696264]" 0.3756 1065 0.6 0
5 8.476211071014404 "[200369626, 200369626, 200369626, 2003696264]" 0.3756 1065 0.6 0
6 10.973039150238037 "[20036962, 200369626, 200369626, 200369626, 2003696264]" 0.4695 1065 0.6 0
7 14.401968240737915 "[20036962, 200369626, 200369626, 200369626, 2003696264]" 0.4695 1065 0.6 0
8 17.569061994552612 "[20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.5634 1065 0.6 0
9 21.350404024124146 "[20036962, 20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.6573 1065 0.6 0
0 1712650425.412085 [2003688] 0.0939 1065 0.5 0
