Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712744173.451036 [200544496] 0.0183 5454 1.0 0
1 1.015596866607666 "[2005444, 200544496]" 0.0367 5454 1.0 0
2 2.332211971282959 "[2005444, 2005444, 200544496]" 0.0550 5454 1.0 0
3 4.302469968795776 "[2005444, 2005444, 2005444, 200544496]" 0.0733 5454 1.0 0
4 7.012290954589844 "[200544, 2005444, 2005444, 2005444, 200544496]" 0.0917 5454 1.0 0
5 10.343415021896362 "[200544, 200544, 2005444, 2005444, 2005444, 200544496]" 0.1100 5454 1.0 0
6 14.3347749710083 "[200544, 200544, 200544, 2005444, 2005444, 2005444, 200544496]" 0.1283 5454 1.0 0
7 19.19964623451233 "[20054, 200544, 200544, 200544, 2005444, 2005444, 2005444, 200544496]" 0.1467 5454 1.0 0
8 24.46456217765808 "[20054, 20054, 200544, 200544, 200544, 2005444, 2005444, 2005444, 200544496]" 0.1650 5454 1.0 0
9 26.83855700492859 "[20054, 20054, 20054, 200544, 200544, 200544, 2005444, 2005444, 2005444, 200544496]" 0.1650 5454 1.0 0
0 1712744202.464133 [200544952] 0.0183 5454 0.9 0
1 0.9773590564727783 "[200544952, 200544952]" 0.0367 5454 0.9 0
2 2.3801119327545166 "[200544952, 200544952, 200544952]" 0.0550 5454 0.9 0
3 4.421875 "[200544952, 200544952, 200544952]" 0.0550 5454 0.9 0
4 6.333477973937988 "[200544, 200544952, 200544952, 200544952]" 0.0733 5454 0.9 0
5 8.933663129806519 "[200544, 200544, 200544952, 200544952, 200544952]" 0.0917 5454 0.9 0
6 12.168338060379028 "[200544, 200544, 200544, 200544952, 200544952, 200544952]" 0.1100 5454 0.9 0
7 16.03118085861206 "[20054, 200544, 200544, 200544, 200544952, 200544952, 200544952]" 0.1283 5454 0.9 0
8 20.526530981063843 "[20054, 20054, 200544, 200544, 200544, 200544952, 200544952, 200544952]" 0.1467 5454 0.9 0
9 22.676910877227783 "[20054, 20054, 20054, 200544, 200544, 200544, 200544952, 200544952, 200544952]" 0.1467 5454 0.9 0
0 1712744227.115516 [2005444] 0.0183 5454 0.8 0
1 0.9750630855560303 "[200544, 2005444]" 0.0367 5454 0.8 0
2 2.2462382316589355 "[200544, 200544, 2005444]" 0.0550 5454 0.8 0
3 4.1518471240997314 "[200544, 200544, 200544, 2005444]" 0.0733 5454 0.8 0
4 6.703961133956909 "[20054, 200544, 200544, 200544, 2005444]" 0.0917 5454 0.8 0
5 9.915966272354126 "[20054, 20054, 200544, 200544, 200544, 2005444]" 0.1100 5454 0.8 0
6 11.691502094268799 "[20054, 20054, 20054, 200544, 200544, 200544, 2005444]" 0.1100 5454 0.8 0
0 1712744240.318889 [200544954] 0.0183 5454 0.7 0
1 0.9857242107391357 "[200544954, 200544954]" 0.0367 5454 0.7 0
2 2.2718610763549805 "[200544, 200544954, 200544954]" 0.0550 5454 0.7 0
3 4.1978371143341064 "[200544, 200544, 200544954, 200544954]" 0.0733 5454 0.7 0
4 6.754549026489258 "[200544, 200544, 200544, 200544954, 200544954]" 0.0917 5454 0.7 0
5 10.001055002212524 "[200544, 200544, 200544, 200544954, 200544954]" 0.0917 5454 0.7 0
6 13.286401987075806 "[20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1100 5454 0.7 0
7 17.141969919204712 "[20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1100 5454 0.7 0
8 21.053081035614014 "[20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.7 0
9 22.972347259521484 "[20054, 20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.7 0
0 1712744265.0544949 [20054496] 0.0183 5454 0.6 0
1 0.9761631488800049 "[20054496, 20054496]" 0.0367 5454 0.6 0
2 2.2517521381378174 "[200544, 20054496, 20054496]" 0.0550 5454 0.6 0
3 4.200419187545776 "[200544, 200544, 20054496, 20054496]" 0.0733 5454 0.6 0
4 6.770047187805176 "[200544, 200544, 200544, 20054496, 20054496]" 0.0917 5454 0.6 0
5 9.9917311668396 "[20054, 200544, 200544, 200544, 20054496, 20054496]" 0.1100 5454 0.6 0
6 13.878698110580444 "[20054, 20054, 200544, 200544, 200544, 20054496, 20054496]" 0.1283 5454 0.6 0
7 15.813141107559204 "[20054, 20054, 20054, 200544, 200544, 200544, 20054496, 20054496]" 0.1283 5454 0.6 0
0 1712744282.594302 [200544972] 0.0183 5454 0.5 0
1 0.9742131233215332 "[200544972, 200544972]" 0.0367 5454 0.5 0
2 2.247304916381836 "[200544972, 200544972, 200544972]" 0.0550 5454 0.5 0
3 4.318533182144165 "[200544, 200544972, 200544972, 200544972]" 0.0733 5454 0.5 0
4 6.940928936004639 "[200544, 200544, 200544972, 200544972, 200544972]" 0.0917 5454 0.5 0
5 10.39335298538208 "[200544, 200544, 200544972, 200544972, 200544972]" 0.0917 5454 0.5 0
6 13.812003135681152 "[200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1100 5454 0.5 0
7 17.793156147003174 "[200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1100 5454 0.5 0
8 21.607649087905884 "[200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1100 5454 0.5 0
9 25.448824167251587 "[20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1283 5454 0.5 0
10 29.8802969455719 "[20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1283 5454 0.5 0
11 34.29290223121643 "[20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1283 5454 0.5 0
12 38.78030204772949 "[20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1283 5454 0.5 0
13 43.23672604560852 "[20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1283 5454 0.5 0
14 47.64949297904968 "[20054, 20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1467 5454 0.5 0
15 49.78263020515442 "[20054, 20054, 20054, 200544, 200544, 200544, 200544972, 200544972, 200544972]" 0.1467 5454 0.5 0
0 1712744334.3025029 [200544954] 0.0183 5454 0.4 0
1 0.9629571437835693 "[200544954, 200544954]" 0.0367 5454 0.4 0
2 2.2073042392730713 "[200544954, 200544954]" 0.0367 5454 0.4 0
3 3.4547011852264404 "[200544954, 200544954]" 0.0367 5454 0.4 0
4 4.72461724281311 "[200544954, 200544954]" 0.0367 5454 0.4 0
5 5.997978210449219 "[200544954, 200544954]" 0.0367 5454 0.4 0
6 7.2383270263671875 "[200544954, 200544954]" 0.0367 5454 0.4 0
7 8.496923208236694 "[200544954, 200544954]" 0.0367 5454 0.4 0
8 9.765393257141113 "[200544, 200544954, 200544954]" 0.0550 5454 0.4 0
9 11.69723916053772 "[200544, 200544954, 200544954]" 0.0550 5454 0.4 0
10 13.57478404045105 "[200544, 200544954, 200544954]" 0.0550 5454 0.4 0
11 15.456021070480347 "[200544, 200544, 200544954, 200544954]" 0.0733 5454 0.4 0
12 17.994301319122314 "[200544, 200544, 200544, 200544954, 200544954]" 0.0917 5454 0.4 0
13 21.15782904624939 "[200544, 200544, 200544, 200544954, 200544954]" 0.0917 5454 0.4 0
14 24.296582221984863 "[200544, 200544, 200544, 200544954, 200544954]" 0.0917 5454 0.4 0
15 27.440264225006104 "[20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1100 5454 0.4 0
16 31.33949112892151 "[20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1100 5454 0.4 0
17 35.2640540599823 "[20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1100 5454 0.4 0
18 39.11613321304321 "[20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.4 0
19 43.63892412185669 "[20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.4 0
20 48.23737907409668 "[20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.4 0
21 50.1307430267334 "[20054, 20054, 20054, 200544, 200544, 200544, 200544954, 200544954]" 0.1283 5454 0.4 0
0 1712744386.184989 [200544496] 0.0183 5454 0.3 0
1 0.95815110206604 [200544496] 0.0183 5454 0.3 0
