Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711641071.4489658 "[1009832, 10098322]" 0.1319 1516 1.0 0
2 1711641072.4489658 "[1009832, 1009832, 10098322]" 0.1979 1516 1.0 0
3 1711641073.4489658 "[1009832, 1009832, 1009832, 10098322]" 0.2639 1516 1.0 0
4 1711641074.4489658 "[10098, 1009832, 1009832, 1009832, 10098322]" 0.2639 1516 1.0 0
1 1711641080.737537 "[1009832, 10098322]" 0.1319 1516 0.9 0
2 1711641081.737537 "[1009832, 1009832, 10098322]" 0.1979 1516 0.9 0
3 1711641082.737537 "[1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.9 0
4 1711641083.737537 "[10098, 1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.9 0
1 1711641089.843821 "[1009832, 10098322]" 0.1319 1516 0.8 0
2 1711641090.843821 "[1009832, 1009832, 10098322]" 0.1979 1516 0.8 0
3 1711641091.843821 "[1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.8 0
4 1711641092.843821 "[1009832, 1009832, 1009832, 10098322, 10098324, 10098326]" 0.3958 1516 0.8 0
5 1711641093.843821 "[10098, 1009832, 1009832, 1009832, 10098322, 10098324, 10098326]" 0.3958 1516 0.8 0
1 1711641104.429098 "[1009832, 10098322]" 0.1319 1516 0.7 0
2 1711641105.429098 "[1009832, 10098322]" 0.1319 1516 0.7 0
3 1711641106.429098 "[1009832, 10098322]" 0.1319 1516 0.7 0
4 1711641107.429098 "[1009832, 1009832, 10098322]" 0.1979 1516 0.7 0
5 1711641108.429098 "[1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.7 0
6 1711641109.429098 "[10098, 1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.7 0
1 1711641117.5019789 [10098322] 0.0660 1516 0.6 0
2 1711641118.5019789 "[1009832, 10098322]" 0.1319 1516 0.6 0
3 1711641119.5019789 "[1009832, 1009832, 10098322]" 0.1979 1516 0.6 0
4 1711641120.5019789 "[1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.6 0
5 1711641121.5019789 "[10098, 1009832, 1009832, 1009832, 10098322]" 0.2639 1516 0.6 0
1 1711641127.9185731 [10098322] 0.0660 1516 0.5 0
2 1711641128.9185731 "[1009832, 10098322]" 0.1319 1516 0.5 0
