Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712577897.594639 [1004926584] 0.0015 66735 1.0 0
1 1.7684009075164795 "[1004926584, 1004926584]" 0.0030 66735 1.0 0
2 3.583296775817871 "[100492658, 1004926584, 1004926584]" 0.0045 66735 1.0 0
3 6.161836862564087 "[100492658, 100492658, 1004926584, 1004926584]" 0.0060 66735 1.0 0
4 9.309213876724243 "[100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0075 66735 1.0 0
5 13.50284194946289 "[1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0090 66735 1.0 0
6 18.404736757278442 "[1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0105 66735 1.0 0
7 24.168914079666138 "[1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0120 66735 1.0 0
8 32.06945490837097 "[100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0135 66735 1.0 0
9 39.67716193199158 "[100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0150 66735 1.0 0
10 47.744194746017456 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0165 66735 1.0 0
11 56.573094844818115 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0180 66735 1.0 0
12 66.13286781311035 "[1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0195 66735 1.0 0
13 69.9065089225769 "[1004, 1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492658, 100492658, 100492658, 1004926584, 1004926584]" 0.0195 66735 1.0 0
0 1712577971.0426922 [10049266512] 0.0015 66735 0.9 0
1 1.2270708084106445 "[10049266512, 10049266512]" 0.0030 66735 0.9 0
2 2.8352959156036377 "[10049266, 10049266512, 10049266512]" 0.0045 66735 0.9 0
3 5.115124940872192 "[10049266, 10049266, 10049266512, 10049266512]" 0.0060 66735 0.9 0
4 8.289922714233398 "[10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0075 66735 0.9 0
5 12.11603569984436 "[1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0090 66735 0.9 0
6 16.79177498817444 "[1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0090 66735 0.9 0
7 21.61004900932312 "[1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0090 66735 0.9 0
8 26.282018661499023 "[1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0105 66735 0.9 0
9 31.995789766311646 "[1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0120 66735 0.9 0
10 38.39423060417175 "[100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0135 66735 0.9 0
11 45.843183755874634 "[100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0150 66735 0.9 0
12 54.45228385925293 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0165 66735 0.9 0
13 63.4623167514801 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0180 66735 0.9 0
14 75.23353290557861 "[1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0195 66735 0.9 0
15 79.38509893417358 "[1004, 1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 10049266512, 10049266512]" 0.0195 66735 0.9 0
0 1712578054.283444 [10049265422] 0.0015 66735 0.8 0
1 1.2850120067596436 [10049265422] 0.0015 66735 0.8 0
2 2.1018459796905518 "[10049265422, 10049265422]" 0.0030 66735 0.8 0
3 3.810098886489868 "[10049265422, 10049265422, 10049265422]" 0.0045 66735 0.8 0
4 6.202410936355591 "[1004926542, 10049265422, 10049265422, 10049265422]" 0.0060 66735 0.8 0
5 9.386920928955078 "[1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0075 66735 0.8 0
6 13.745435953140259 "[1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0090 66735 0.8 0
7 18.70045304298401 "[100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0105 66735 0.8 0
8 24.736851930618286 "[100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0120 66735 0.8 0
9 31.494067907333374 "[100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0135 66735 0.8 0
10 39.81341314315796 "[1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0150 66735 0.8 0
11 49.76463794708252 "[1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0165 66735 0.8 0
12 62.78894114494324 "[1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0180 66735 0.8 0
13 85.96839189529419 "[100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0195 66735 0.8 0
14 105.33530402183533 "[100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0210 66735 0.8 0
15 123.3285779953003 "[100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0210 66735 0.8 0
16 138.13334202766418 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0225 66735 0.8 0
17 153.09435319900513 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0240 66735 0.8 0
18 167.71780824661255 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0240 66735 0.8 0
19 185.3601348400116 "[1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0255 66735 0.8 0
20 191.0071301460266 "[1004, 1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 100492654, 100492654, 100492654, 1004926542, 1004926542, 1004926542, 10049265422, 10049265422, 10049265422]" 0.0255 66735 0.8 0
0 1712578251.206804 [100492658652] 0.0015 66735 0.7 0
1 1.7309069633483887 [100492658652] 0.0015 66735 0.7 0
2 2.880300998687744 "[100492658652, 100492658652]" 0.0030 66735 0.7 0
