Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711655522.585817 "[2004286, 200428612]" 0.0024 82307 1.0 0
2 1711655523.585817 "[2004286, 2004286, 200428612]" 0.0036 82307 1.0 0
3 1711655524.585817 "[2004286, 2004286, 2004286, 200428612]" 0.0049 82307 1.0 0
4 1711655525.585817 "[200428, 2004286, 2004286, 2004286, 200428612, 20042868, 2004286732]" 0.0085 82307 1.0 0
5 1711655526.585817 "[200428, 200428, 2004286, 2004286, 2004286, 20042868, 200428612, 2004286732, 20042868, 200428686, 2004286732]" 0.0134 82307 1.0 0
6 1711655527.585817 "[200428, 200428, 200428, 2004286, 2004286, 2004286, 200428686, 20042868, 200428612, 2004286732, 20042868, 200428686, 2004286732]" 0.0158 82307 1.0 0
7 1711655528.585817 "[20042, 200428, 200428, 200428, 2004286, 2004286, 2004286, 200428686, 2004288, 20042868, 200428612, 2004286732, 20042868, 20042878, 200428686, 2004286732]" 0.0194 82307 1.0 0
8 1711655529.585817 "[20042, 20042, 200428, 200428, 200428, 2004286, 2004288, 20042878, 2004286, 2004286, 200428686, 2004288, 20042868, 200428612, 2004286732, 20042868, 20042878, 200428686, 2004286732]" 0.0231 82307 1.0 0
9 1711655530.585817 "[20042, 20042, 20042, 200428, 200428, 200428, 2004286, 2004288, 20042878, 2004286, 2004286, 200428686, 2004288, 20042868, 200428612, 2004286732, 20042868, 20042878, 20042888, 200428686, 200428872, 2004286732]" 0.0267 82307 1.0 0
10 1711655531.585817 "[2004, 20042, 20042, 20042, 200428, 200428, 200428, 2004286, 2004288, 20042878, 2004286, 2004286, 200428686, 2004288, 20042868, 200428612, 2004286732, 20042868, 20042878, 20042888, 200428686, 200428872, 2004286732]" 0.0267 82307 1.0 0
1 1711655619.702728 "[2004286, 200428612]" 0.0024 82307 0.9 0
2 1711655620.702728 "[2004286, 2004286, 200428612]" 0.0036 82307 0.9 0
3 1711655621.702728 "[2004286, 2004286, 2004286, 200428612]" 0.0049 82307 0.9 0
4 1711655622.702728 "[200428, 2004286, 2004286, 2004286, 200428612, 20042868, 2004286732]" 0.0085 82307 0.9 0
5 1711655623.702728 "[200428, 200428, 2004286, 2004286, 2004286, 20042868, 200428612, 2004286732, 20042868, 200428686, 2004286732]" 0.0134 82307 0.9 0
