Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712583814.0247371 [1003499822] 0.1626 615 1.0 0
1 1.2521116733551025 "[100349982, 1003499822]" 0.3252 615 1.0 0
2 2.8974080085754395 "[100349982, 100349982, 1003499822]" 0.4878 615 1.0 0
3 5.176475763320923 "[100349982, 100349982, 100349982, 1003499822]" 0.6504 615 1.0 0
0 1712583820.232876 [10034999472] 0.1626 615 0.9 0
1 1.2101349830627441 "[10034999472, 10034999472]" 0.3252 615 0.9 0
2 2.8365907669067383 "[10034999472, 10034999472, 10034999472]" 0.4878 615 0.9 0
3 5.782538890838623 "[100349994, 10034999472, 10034999472, 10034999472]" 0.6504 615 0.9 0
0 1712583827.048864 [10034999472] 0.1626 615 0.8 0
1 1.1873531341552734 "[100349994, 10034999472]" 0.3252 615 0.8 0
2 2.77302622795105 "[100349994, 100349994, 10034999472]" 0.4878 615 0.8 0
3 5.5116050243377686 "[100349994, 100349994, 100349994, 10034999472]" 0.6504 615 0.8 0
0 1712583833.775993 [10034999454] 0.1626 615 0.7 0
1 1.9439449310302734 [10034999454] 0.1626 615 0.7 0
2 2.7058420181274414 "[10034999454, 10034999454]" 0.3252 615 0.7 0
3 4.212800025939941 "[10034999454, 10034999454, 10034999454]" 0.4878 615 0.7 0
4 6.386312961578369 "[100349994, 10034999454, 10034999454, 10034999454]" 0.6504 615 0.7 0
0 1712583841.1259289 [1003499976732] 0.1626 615 0.6 0
1 1.1426870822906494 [1003499976732] 0.1626 615 0.6 0
2 1.8630893230438232 "[1003499976732, 1003499976732]" 0.3252 615 0.6 0
3 3.360236167907715 "[1003499976, 1003499976732, 1003499976732]" 0.4878 615 0.6 0
4 5.598238945007324 "[1003499976, 1003499976, 1003499976732, 1003499976732]" 0.6504 615 0.6 0
0 1712583847.69106 [10034998622] 0.1626 615 0.5 0
1 1.1205699443817139 [10034998622] 0.1626 615 0.5 0
2 1.8557260036468506 "[1003499862, 10034998622]" 0.3252 615 0.5 0
3 3.332113742828369 "[1003499862, 1003499862, 10034998622]" 0.4878 615 0.5 0
4 5.641568899154663 "[1003499862, 1003499862, 10034998622]" 0.4878 615 0.5 0
5 7.890298128128052 "[1003499862, 1003499862, 1003499862, 10034998622]" 0.6504 615 0.5 0
0 1712583856.5420978 [1003499864] 0.1626 615 0.4 0
1 1.149564266204834 "[1003499864, 1003499864]" 0.3252 615 0.4 0
2 2.6633071899414062 "[100349986, 1003499864, 1003499864]" 0.4878 615 0.4 0
3 4.907047271728516 "[100349986, 100349986, 1003499864, 1003499864]" 0.6504 615 0.4 0
0 1712583862.411508 [100349984] 0.1626 615 0.3 0
1 1.1984529495239258 "[100349984, 100349984]" 0.3252 615 0.3 0
2 3.5017318725585938 "[100349984, 100349984, 1003499842]" 0.4878 615 0.3 0
3 6.504420042037964 "[10034998, 100349984, 100349984, 1003499842, 1003499842]" 0.8130 615 0.3 0
0 1712583870.10464 [100349997676] 0.1626 615 0.2 0
1 1.1427640914916992 [100349997676] 0.1626 615 0.2 0
2 1.8816041946411133 [100349997676] 0.1626 615 0.2 0
3 2.615054130554199 [100349997676] 0.1626 615 0.2 0
4 3.3714518547058105 [100349997676] 0.1626 615 0.2 0
5 4.080069065093994 [100349997676] 0.1626 615 0.2 0
