Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711640166.261153 "[100943882, 1009438828]" 0.0031 63815 1.0 0
2 1711640167.261153 "[100943882, 100943882, 1009438828]" 0.0047 63815 1.0 0
3 1711640168.261153 "[100943882, 100943882, 100943882, 1009438828]" 0.0063 63815 1.0 0
4 1711640169.261153 "[1009438, 100943882, 100943882, 100943882, 1009438828, 1009438828, 10094388272]" 0.0110 63815 1.0 0
5 1711640170.261153 "[10094, 1009438, 100943882, 100943882, 100943882, 1009438828, 1009438828, 10094388272]" 0.0110 63815 1.0 0
1 1711640182.08029 "[100943882, 1009438828]" 0.0031 63815 0.9 0
2 1711640183.08029 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.9 0
3 1711640184.08029 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.9 0
4 1711640185.08029 "[100943882, 100943882, 100943882, 1009438828]" 0.0063 63815 0.9 0
5 1711640186.08029 "[1009438, 100943882, 100943882, 100943882, 1009438828, 1009438828, 10094388272]" 0.0110 63815 0.9 0
6 1711640187.08029 "[10094, 1009438, 100943882, 100943882, 100943882, 1009438828, 1009438828, 10094388272]" 0.0110 63815 0.9 0
1 1711640199.780792 "[100943882, 1009438828]" 0.0031 63815 0.8 0
2 1711640200.780792 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.8 0
3 1711640201.780792 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.8 0
4 1711640202.780792 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.8 0
5 1711640203.780792 "[100943882, 100943882, 100943882, 1009438828]" 0.0063 63815 0.8 0
6 1711640204.780792 "[1009438, 100943882, 100943882, 100943882, 1009438828, 10094388272]" 0.0094 63815 0.8 0
7 1711640205.780792 "[10094, 1009438, 100943882, 100943882, 100943882, 1009438828, 10094388272]" 0.0094 63815 0.8 0
1 1711640219.780117 "[100943882, 1009438828]" 0.0031 63815 0.7 0
2 1711640220.780117 "[100943882, 100943882, 1009438828]" 0.0047 63815 0.7 0
3 1711640221.780117 "[100943882, 100943882, 100943882, 1009438828]" 0.0063 63815 0.7 0
4 1711640222.780117 "[100943882, 100943882, 100943882, 1009438828, 1009438828, 10094388272]" 0.0094 63815 0.7 0
