Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711651478.383893 "[10084642, 1008464276]" 0.0041 48735 1.0 0
2 1711651479.383893 "[10084642, 10084642, 1008464276]" 0.0062 48735 1.0 0
3 1711651480.383893 "[10084642, 10084642, 10084642, 1008464276]" 0.0082 48735 1.0 0
4 1711651481.383893 "[1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0103 48735 1.0 0
5 1711651482.383893 "[1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0123 48735 1.0 0
6 1711651483.383893 "[1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0144 48735 1.0 0
7 1711651484.383893 "[100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 1008464276]" 0.0205 48735 1.0 0
8 1711651485.383893 "[100846, 100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276]" 0.0267 48735 1.0 0
9 1711651486.383893 "[100846, 100846, 100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466, 100846468]" 0.0328 48735 1.0 0
10 1711651487.383893 "[10084, 100846, 100846, 100846, 1008464, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0431 48735 1.0 0
11 1711651488.383893 "[10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0492 48735 1.0 0
12 1711651489.383893 "[10084, 10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986, 100846988]" 0.0554 48735 1.0 0
13 1711651490.383893 "[1008, 10084, 10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986, 100846988]" 0.0554 48735 1.0 0
1 1711651604.917757 "[10084642, 1008464276]" 0.0041 48735 0.9 0
2 1711651605.917757 "[10084642, 10084642, 1008464276]" 0.0062 48735 0.9 0
3 1711651606.917757 "[10084642, 10084642, 1008464276]" 0.0062 48735 0.9 0
4 1711651607.917757 "[10084642, 10084642, 10084642, 1008464276]" 0.0082 48735 0.9 0
5 1711651608.917757 "[1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0103 48735 0.9 0
6 1711651609.917757 "[1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0123 48735 0.9 0
7 1711651610.917757 "[1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0144 48735 0.9 0
8 1711651611.917757 "[1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 1008464276]" 0.0185 48735 0.9 0
9 1711651612.917757 "[1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276]" 0.0226 48735 0.9 0
10 1711651613.917757 "[100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466, 100846468]" 0.0287 48735 0.9 0
11 1711651614.917757 "[100846, 100846, 1008464, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466, 100846468]" 0.0349 48735 0.9 0
12 1711651615.917757 "[100846, 100846, 100846, 1008464, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466, 100846468]" 0.0369 48735 0.9 0
13 1711651616.917757 "[10084, 100846, 100846, 100846, 1008464, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466, 100846468, 100846978]" 0.0410 48735 0.9 0
14 1711651617.917757 "[10084, 10084, 100846, 100846, 100846, 1008464, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0451 48735 0.9 0
15 1711651618.917757 "[10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0492 48735 0.9 0
16 1711651619.917757 "[10084, 10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986]" 0.0533 48735 0.9 0
17 1711651620.917757 "[1008, 10084, 10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986]" 0.0533 48735 0.9 0
1 1711651795.070736 "[10084642, 1008464276]" 0.0041 48735 0.8 0
2 1711651796.070736 "[10084642, 10084642, 1008464276]" 0.0062 48735 0.8 0
3 1711651797.070736 "[10084642, 10084642, 1008464276]" 0.0062 48735 0.8 0
4 1711651798.070736 "[10084642, 10084642, 10084642, 1008464276]" 0.0082 48735 0.8 0
5 1711651799.070736 "[1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0103 48735 0.8 0
6 1711651800.070736 "[1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0123 48735 0.8 0
7 1711651801.070736 "[1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0144 48735 0.8 0
8 1711651802.070736 "[100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 1008464276]" 0.0185 48735 0.8 0
9 1711651803.070736 "[100846, 100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084646, 10084648, 1008464276]" 0.0246 48735 0.8 0
10 1711651804.070736 "[100846, 100846, 100846, 1008464, 1008464, 1008464, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 1008464276, 100846466]" 0.0308 48735 0.8 0
11 1711651805.070736 "[10084, 100846, 100846, 100846, 1008464, 1008464, 1008464, 100846466, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0410 48735 0.8 0
12 1711651806.070736 "[10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978]" 0.0472 48735 0.8 0
13 1711651807.070736 "[10084, 10084, 100846, 100846, 100846, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986, 100846988]" 0.0533 48735 0.8 0
14 1711651808.070736 "[10084, 10084, 10084, 100846, 100846, 100846, 100846986, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986, 100846988]" 0.0575 48735 0.8 0
15 1711651809.070736 "[1008, 10084, 10084, 10084, 100846, 100846, 100846, 100846986, 1008464, 10084698, 100846978, 1008464, 1008464, 100846466, 100846468, 10084642, 10084642, 10084642, 10084646, 10084648, 10084646, 10084648, 10084698, 1008464276, 100846466, 100846468, 100846978, 100846986, 100846988]" 0.0575 48735 0.8 0
1 1711651998.683102 "[10084642, 1008464276]" 0.0041 48735 0.7 0
2 1711651999.683102 "[10084642, 10084642, 1008464276]" 0.0062 48735 0.7 0
3 1711652000.683102 "[10084642, 10084642, 10084642, 1008464276]" 0.0082 48735 0.7 0
4 1711652001.683102 "[1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0103 48735 0.7 0
5 1711652002.683102 "[1008464, 1008464, 10084642, 10084642, 10084642, 1008464276]" 0.0123 48735 0.7 0
