Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711699333.642231 "[200276, 20027664]" 0.0112 17804 1.0 0
2 1711699334.642231 "[2002, 200276, 20027664]" 0.0112 17804 1.0 0
1 1711699337.5550349 [20027664] 0.0056 17804 0.9 0
2 1711699338.5550349 "[200276, 20027664]" 0.0112 17804 0.9 0
3 1711699339.5550349 "[2002, 200276, 20027664]" 0.0112 17804 0.9 0
1 1711699342.597152 [20027664] 0.0056 17804 0.8 0
2 1711699343.597152 "[200276, 20027664]" 0.0112 17804 0.8 0
3 1711699344.597152 "[2002, 200276, 20027664]" 0.0112 17804 0.8 0
1 1711699347.12375 "[200276, 20027664]" 0.0112 17804 0.7 0
2 1711699348.12375 "[200276, 20027664, 2002766, 2002768]" 0.0225 17804 0.7 0
3 1711699349.12375 "[2002, 200276, 20027664, 2002766, 2002768]" 0.0225 17804 0.7 0
1 1711699354.086431 "[200276, 20027664]" 0.0112 17804 0.6 0
2 1711699355.086431 "[2002, 200276, 20027664]" 0.0112 17804 0.6 0
1 1711699357.5458822 "[200276, 20027664]" 0.0112 17804 0.5 0
2 1711699358.5458822 "[200276, 20027664, 2002768]" 0.0169 17804 0.5 0
3 1711699359.5458822 "[2002, 200276, 20027664, 2002768]" 0.0169 17804 0.5 0
1 1711699364.098469 [20027664] 0.0056 17804 0.4 0
2 1711699365.098469 [20027664] 0.0056 17804 0.4 0
3 1711699366.098469 [20027664] 0.0056 17804 0.4 0
4 1711699367.098469 [20027664] 0.0056 17804 0.4 0
5 1711699368.098469 "[200276, 20027664]" 0.0112 17804 0.4 0
6 1711699369.098469 "[200276, 20027664, 2002766]" 0.0169 17804 0.4 0
7 1711699370.098469 "[200276, 20027664, 2002766]" 0.0169 17804 0.4 0
8 1711699371.098469 "[200276, 20027664, 2002766, 2002766]" 0.0225 17804 0.4 0
9 1711699372.098469 "[200276, 200276, 20027664, 2002766, 2002766]" 0.0281 17804 0.4 0
10 1711699373.098469 "[200276, 200276, 200276, 20027664, 2002766, 2002766, 2002768]" 0.0393 17804 0.4 0
11 1711699374.098469 "[2002, 200276, 200276, 200276, 20027664, 2002766, 2002766, 2002768]" 0.0393 17804 0.4 0
1 1711699394.388075 [20027664] 0.0056 17804 0.3 0
2 1711699395.388075 [20027664] 0.0056 17804 0.3 0
3 1711699396.388075 [20027664] 0.0056 17804 0.3 0
4 1711699397.388075 [20027664] 0.0056 17804 0.3 0
5 1711699398.388075 "[200276, 20027664]" 0.0112 17804 0.3 0
6 1711699399.388075 "[200276, 20027664, 2002768]" 0.0169 17804 0.3 0
7 1711699400.388075 "[200276, 20027664, 2002768]" 0.0169 17804 0.3 0
8 1711699401.388075 "[200276, 20027664, 2002768, 2002768]" 0.0225 17804 0.3 0
9 1711699402.388075 "[2002, 200276, 20027664, 2002768, 2002768]" 0.0225 17804 0.3 0
1 1711699413.6412601 "[200276, 20027664]" 0.0112 17804 0.2 0
2 1711699414.6412601 "[200276, 20027664, 2002766, 2002768]" 0.0225 17804 0.2 0
3 1711699415.6412601 "[200276, 20027664, 2002766, 2002768]" 0.0225 17804 0.2 0
4 1711699416.6412601 "[2002, 200276, 20027664, 2002766, 2002768]" 0.0225 17804 0.2 0
1 1711699425.3002381 [20027664] 0.0056 17804 0.1 0
2 1711699426.3002381 [20027664] 0.0056 17804 0.1 0
3 1711699427.3002381 [20027664] 0.0056 17804 0.1 0
4 1711699428.3002381 [20027664] 0.0056 17804 0.1 0
5 1711699429.3002381 [20027664] 0.0056 17804 0.1 0
6 1711699430.3002381 [20027664] 0.0056 17804 0.1 0
7 1711699431.3002381 [20027664] 0.0056 17804 0.1 0
8 1711699432.3002381 [20027664] 0.0056 17804 0.1 0
9 1711699433.3002381 [20027664] 0.0056 17804 0.1 0
10 1711699434.3002381 [20027664] 0.0056 17804 0.1 0
11 1711699435.3002381 [20027664] 0.0056 17804 0.1 0
12 1711699436.3002381 [20027664] 0.0056 17804 0.1 0
13 1711699437.3002381 [20027664] 0.0056 17804 0.1 0
14 1711699438.3002381 [20027664] 0.0056 17804 0.1 0
15 1711699439.3002381 [20027664] 0.0056 17804 0.1 0
16 1711699440.3002381 [20027664] 0.0056 17804 0.1 0
17 1711699441.3002381 [20027664] 0.0056 17804 0.1 0
18 1711699442.3002381 [20027664] 0.0056 17804 0.1 0
19 1711699443.3002381 [20027664] 0.0056 17804 0.1 0
20 1711699444.3002381 [20027664] 0.0056 17804 0.1 0
21 1711699445.3002381 [20027664] 0.0056 17804 0.1 0
22 1711699446.3002381 [20027664] 0.0056 17804 0.1 0
23 1711699447.3002381 [20027664] 0.0056 17804 0.1 0
24 1711699448.3002381 [20027664] 0.0056 17804 0.1 0
25 1711699449.3002381 [20027664] 0.0056 17804 0.1 0
26 1711699450.3002381 [20027664] 0.0056 17804 0.1 0
27 1711699451.3002381 [20027664] 0.0056 17804 0.1 0
28 1711699452.3002381 [20027664] 0.0056 17804 0.1 0
29 1711699453.3002381 [20027664] 0.0056 17804 0.1 0
30 1711699454.3002381 [20027664] 0.0056 17804 0.1 0
31 1711699455.3002381 [20027664] 0.0056 17804 0.1 0
32 1711699456.3002381 [20027664] 0.0056 17804 0.1 0
33 1711699457.3002381 "[200276, 20027664]" 0.0112 17804 0.1 0
34 1711699458.3002381 "[200276, 20027664]" 0.0112 17804 0.1 0
35 1711699459.3002381 "[200276, 20027664]" 0.0112 17804 0.1 0
36 1711699460.3002381 "[200276, 20027664]" 0.0112 17804 0.1 0
37 1711699461.3002381 "[200276, 20027664, 2002766]" 0.0169 17804 0.1 0
38 1711699462.3002381 "[2002, 200276, 20027664, 2002766]" 0.0169 17804 0.1 0
