Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711961900.826884 "[200522, 200522172]" 0.0306 6537 1.0 0
2 1711961901.826884 "[200522, 200522, 200522172]" 0.0459 6537 1.0 0
3 1711961902.826884 "[200522, 200522, 200522, 200522172]" 0.0612 6537 1.0 0
4 1711961903.826884 "[20052, 200522, 200522, 200522, 200522172]" 0.0612 6537 1.0 0
1 1711961910.8533702 "[200522, 200522172]" 0.0306 6537 0.9 0
2 1711961911.8533702 "[200522, 200522, 200522172]" 0.0459 6537 0.9 0
3 1711961912.8533702 "[200522, 200522, 200522, 200522172]" 0.0612 6537 0.9 0
4 1711961913.8533702 "[20052, 200522, 200522, 200522, 200522172]" 0.0612 6537 0.9 0
1 1711961920.784309 "[200522, 200522172]" 0.0306 6537 0.8 0
2 1711961921.784309 "[200522, 200522, 200522172]" 0.0459 6537 0.8 0
3 1711961922.784309 "[200522, 200522, 200522, 200522172]" 0.0612 6537 0.8 0
4 1711961923.784309 "[20052, 200522, 200522, 200522, 200522172]" 0.0612 6537 0.8 0
1 1711961930.645775 [200522172] 0.0153 6537 0.7 0
2 1711961931.645775 "[200522, 200522172]" 0.0306 6537 0.7 0
3 1711961932.645775 "[200522, 200522, 200522172]" 0.0459 6537 0.7 0
4 1711961933.645775 "[200522, 200522, 200522172]" 0.0459 6537 0.7 0
5 1711961934.645775 "[200522, 200522, 200522, 200522172]" 0.0612 6537 0.7 0
6 1711961935.645775 "[20052, 200522, 200522, 200522, 200522172]" 0.0612 6537 0.7 0
1 1711961945.103776 "[200522, 200522172]" 0.0306 6537 0.6 0
2 1711961946.103776 "[200522, 200522, 200522172]" 0.0459 6537 0.6 0
3 1711961947.103776 "[200522, 200522, 200522172]" 0.0459 6537 0.6 0
4 1711961948.103776 "[200522, 200522, 200522, 200522172]" 0.0612 6537 0.6 0
5 1711961949.103776 "[20052, 200522, 200522, 200522, 200522172]" 0.0612 6537 0.6 0
1 1711961958.242389 [200522172] 0.0153 6537 0.5 0
2 1711961959.242389 [200522172] 0.0153 6537 0.5 0
3 1711961960.242389 [200522172] 0.0153 6537 0.5 0
4 1711961961.242389 "[200522, 200522172]" 0.0306 6537 0.5 0
5 1711961962.242389 "[200522, 200522, 200522172]" 0.0459 6537 0.5 0
6 1711961963.242389 "[200522, 200522, 200522172]" 0.0459 6537 0.5 0
