Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712611824.549628 [100383918] 0.0057 17464 1.0 0
1 1.4992640018463135 "[100383918, 100383918]" 0.0115 17464 1.0 0
2 3.4804351329803467 "[10038, 100383918, 100383918]" 0.0172 17464 1.0 0
3 5.676694869995117 "[10038, 10038, 100383918, 100383918]" 0.0229 17464 1.0 0
4 7.099305868148804 "[10038, 10038, 10038, 100383918, 100383918]" 0.0229 17464 1.0 0
0 1712611832.8634071 [10038362422] 0.0057 17464 0.9 0
1 1.0836539268493652 "[10038362422, 10038362422]" 0.0115 17464 0.9 0
2 2.558008909225464 "[1003836242, 10038362422, 10038362422]" 0.0172 17464 0.9 0
3 4.68193793296814 "[1003836242, 1003836242, 10038362422, 10038362422]" 0.0229 17464 0.9 0
4 7.582589864730835 "[1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0286 17464 0.9 0
5 11.097715854644775 "[100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0344 17464 0.9 0
6 15.528387784957886 "[100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0401 17464 0.9 0
7 20.704940795898438 "[100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0458 17464 0.9 0
8 26.676039934158325 "[10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0515 17464 0.9 0
9 33.318909883499146 "[10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0573 17464 0.9 0
10 40.8037588596344 "[10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0630 17464 0.9 0
11 48.91477680206299 "[1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0687 17464 0.9 0
12 57.61427307128906 "[1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0744 17464 0.9 0
13 67.19180083274841 "[1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0802 17464 0.9 0
14 77.69433689117432 "[1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0802 17464 0.9 0
15 88.3114058971405 "[1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0802 17464 0.9 0
16 98.93696284294128 "[10038, 1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0859 17464 0.9 0
17 110.2237389087677 "[10038, 10038, 1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0916 17464 0.9 0
18 122.2824478149414 "[10038, 10038, 1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0916 17464 0.9 0
19 126.72656583786011 "[10038, 10038, 10038, 1003836, 1003836, 1003836, 10038362, 10038362, 10038362, 100383624, 100383624, 100383624, 1003836242, 1003836242, 1003836242, 10038362422, 10038362422]" 0.0916 17464 0.9 0
0 1712611963.7910771 [1003835742] 0.0057 17464 0.8 0
1 1.1290879249572754 "[100383574, 1003835742]" 0.0115 17464 0.8 0
2 2.635718822479248 "[100383574, 100383574, 1003835742]" 0.0172 17464 0.8 0
3 4.7891106605529785 "[100383574, 100383574, 100383574, 1003835742]" 0.0229 17464 0.8 0
4 7.68431282043457 "[10038, 100383574, 100383574, 100383574, 1003835742]" 0.0286 17464 0.8 0
5 11.252552032470703 "[10038, 10038, 100383574, 100383574, 100383574, 1003835742]" 0.0344 17464 0.8 0
