Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712575344.947716 [2003696264] 0.0939 1065 1.0 0
1 1.456341028213501 "[200369626, 2003696264]" 0.1878 1065 1.0 0
2 3.031722068786621 "[200369626, 200369626, 2003696264]" 0.2817 1065 1.0 0
3 5.421256065368652 "[200369626, 200369626, 200369626, 2003696264]" 0.3756 1065 1.0 0
4 8.950868129730225 "[20036962, 200369626, 200369626, 200369626, 2003696264]" 0.4695 1065 1.0 0
5 12.773064136505127 "[20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.5634 1065 1.0 0
6 17.80758786201477 "[20036962, 20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.6573 1065 1.0 0
0 1712575364.470782 [2003696264] 0.0939 1065 0.9 0
1 1.1869518756866455 "[200369626, 2003696264]" 0.1878 1065 0.9 0
2 2.782341957092285 "[200369626, 200369626, 2003696264]" 0.2817 1065 0.9 0
3 5.096389055252075 "[200369626, 200369626, 200369626, 2003696264]" 0.3756 1065 0.9 0
4 8.170919179916382 "[20036962, 200369626, 200369626, 200369626, 2003696264]" 0.4695 1065 0.9 0
5 11.741372108459473 "[20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.5634 1065 0.9 0
6 16.38516592979431 "[20036962, 20036962, 20036962, 200369626, 200369626, 200369626, 2003696264]" 0.6573 1065 0.9 0
0 1712575382.6822689 [20036882] 0.0939 1065 0.8 0
1 1.4119820594787598 "[20036882, 20036882]" 0.1878 1065 0.8 0
2 2.9957010746002197 "[20036882, 20036882, 20036882]" 0.2817 1065 0.8 0
3 5.2856409549713135 "[2003688, 20036882, 20036882, 20036882]" 0.3756 1065 0.8 0
4 8.823361158370972 "[2003688, 2003688, 20036882, 20036882, 20036882]" 0.4695 1065 0.8 0
5 13.066394090652466 "[2003688, 2003688, 20036882, 20036882, 20036882]" 0.4695 1065 0.8 0
6 16.92143201828003 "[2003688, 2003688, 20036882, 20036882, 20036882]" 0.4695 1065 0.8 0
7 20.921410083770752 "[2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.5634 1065 0.8 0
8 25.755019187927246 "[200368, 2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.6573 1065 0.8 0
0 1712575410.51118 [2003696264] 0.0939 1065 0.7 0
1 1.3875138759613037 "[2003696264, 2003696264]" 0.1878 1065 0.7 0
2 3.082548141479492 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.7 0
3 5.621423006057739 "[200369626, 2003696264, 2003696264, 2003696264]" 0.3756 1065 0.7 0
4 9.20815896987915 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 0.7 0
5 13.814975023269653 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.7 0
6 18.847058057785034 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.7 0
7 23.655357122421265 "[20036962, 200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.6573 1065 0.7 0
0 1712575435.976115 [20036882] 0.0939 1065 0.6 0
1 1.55794095993042 "[20036882, 20036882]" 0.1878 1065 0.6 0
2 3.6785881519317627 "[20036882, 20036882, 20036882]" 0.2817 1065 0.6 0
3 6.251775026321411 "[20036882, 20036882, 20036882]" 0.2817 1065 0.6 0
4 8.82425594329834 "[2003688, 20036882, 20036882, 20036882]" 0.3756 1065 0.6 0
5 11.958495855331421 "[2003688, 2003688, 20036882, 20036882, 20036882]" 0.4695 1065 0.6 0
6 15.923966884613037 "[2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.5634 1065 0.6 0
7 20.377481937408447 "[200368, 2003688, 2003688, 2003688, 20036882, 20036882, 20036882]" 0.6573 1065 0.6 0
0 1712575458.1282828 [2003696264] 0.0939 1065 0.5 0
1 1.8848621845245361 "[2003696264, 2003696264]" 0.1878 1065 0.5 0
2 3.91459321975708 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.5 0
3 6.473732233047485 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.5 0
4 10.101567268371582 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.5 0
5 12.782309293746948 "[2003696264, 2003696264, 2003696264]" 0.2817 1065 0.5 0
6 15.525957107543945 "[200369626, 2003696264, 2003696264, 2003696264]" 0.3756 1065 0.5 0
7 20.537163019180298 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 0.5 0
8 26.444324254989624 "[200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.4695 1065 0.5 0
9 32.823116064071655 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.5 0
10 41.52584218978882 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.5 0
11 49.87897610664368 "[200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.5634 1065 0.5 0
12 57.850974321365356 "[20036962, 200369626, 200369626, 200369626, 2003696264, 2003696264, 2003696264]" 0.6573 1065 0.5 0
0 1712575518.690155 [2003696264] 0.0939 1065 0.4 0
1 1.9485869407653809 [2003696264] 0.0939 1065 0.4 0
2 3.2672970294952393 [2003696264] 0.0939 1065 0.4 0
3 4.4411399364471436 "[2003696264, 2003696264]" 0.1878 1065 0.4 0
4 7.184049844741821 "[2003696264, 2003696264]" 0.1878 1065 0.4 0
5 9.697094917297363 "[2003696264, 2003696264]" 0.1878 1065 0.4 0
6 12.058660745620728 "[2003696264, 2003696264]" 0.1878 1065 0.4 0
7 14.09229302406311 "[200369626, 2003696264, 2003696264]" 0.2817 1065 0.4 0
8 17.2396080493927 "[200369626, 2003696264, 2003696264]" 0.2817 1065 0.4 0
9 20.25791096687317 "[200369626, 200369626, 2003696264, 2003696264]" 0.3756 1065 0.4 0
10 24.290918827056885 "[200369626, 200369626, 200369626, 2003696264, 2003696264]" 0.4695 1065 0.4 0
11 29.441751956939697 "[200369626, 200369626, 200369626, 2003696264, 2003696264]" 0.4695 1065 0.4 0
