Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711641383.3808599 "[2001624444, 20016244442]" 0.0127 15758 1.0 0
2 1711641384.3808599 "[2001624444, 2001624444, 20016244442]" 0.0190 15758 1.0 0
3 1711641385.3808599 "[2001624444, 2001624444, 2001624444, 20016244442]" 0.0254 15758 1.0 0
4 1711641386.3808599 "[200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0317 15758 1.0 0
5 1711641387.3808599 "[200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0381 15758 1.0 0
6 1711641388.3808599 "[200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0444 15758 1.0 0
7 1711641389.3808599 "[20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0508 15758 1.0 0
8 1711641390.3808599 "[20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0571 15758 1.0 0
9 1711641391.3808599 "[20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0635 15758 1.0 0
10 1711641392.3808599 "[2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0698 15758 1.0 0
11 1711641393.3808599 "[2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0762 15758 1.0 0
12 1711641394.3808599 "[2001624, 2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0825 15758 1.0 0
13 1711641395.3808599 "[200162, 2001624, 2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0888 15758 1.0 0
14 1711641396.3808599 "[200162, 200162, 2001624, 2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0952 15758 1.0 0
15 1711641397.3808599 "[200162, 200162, 200162, 2001624, 2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.1015 15758 1.0 0
16 1711641398.3808599 "[20016, 200162, 200162, 200162, 2001624, 2001624, 2001624, 20016244, 20016244, 20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.1015 15758 1.0 0
1 1711641506.064607 "[2001624444, 20016244442]" 0.0127 15758 0.9 0
2 1711641507.064607 "[2001624444, 2001624444, 20016244442]" 0.0190 15758 0.9 0
3 1711641508.064607 "[2001624444, 2001624444, 20016244442]" 0.0190 15758 0.9 0
4 1711641509.064607 "[2001624444, 2001624444, 2001624444, 20016244442]" 0.0254 15758 0.9 0
5 1711641510.064607 "[200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0317 15758 0.9 0
6 1711641511.064607 "[200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0381 15758 0.9 0
7 1711641512.064607 "[200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0444 15758 0.9 0
8 1711641513.064607 "[20016244, 200162444, 200162444, 200162444, 2001624444, 2001624444, 2001624444, 20016244442]" 0.0508 15758 0.9 0
