Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711702107.8003578 "[1006722, 100672274]" 0.0036 55410 1.0 0
2 1711702108.8003578 "[1006722, 1006722, 100672274]" 0.0054 55410 1.0 0
3 1711702109.8003578 "[1006722, 1006722, 1006722, 100672274]" 0.0072 55410 1.0 0
4 1711702110.8003578 "[100672, 1006722, 1006722, 1006722, 100672274, 10067228, 100672278]" 0.0126 55410 1.0 0
5 1711702111.8003578 "[100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0180 55410 1.0 0
6 1711702112.8003578 "[100672, 100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0199 55410 1.0 0
7 1711702113.8003578 "[1006, 100672, 100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0199 55410 1.0 0
1 1711702141.3954291 "[1006722, 100672274]" 0.0036 55410 0.9 0
2 1711702142.3954291 "[1006722, 1006722, 100672274]" 0.0054 55410 0.9 0
3 1711702143.3954291 "[1006722, 1006722, 1006722, 100672274]" 0.0072 55410 0.9 0
4 1711702144.3954291 "[100672, 1006722, 1006722, 1006722, 100672274, 10067228]" 0.0108 55410 0.9 0
5 1711702145.3954291 "[100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 10067228, 100672278]" 0.0162 55410 0.9 0
6 1711702146.3954291 "[100672, 100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0199 55410 0.9 0
7 1711702147.3954291 "[1006, 100672, 100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0199 55410 0.9 0
1 1711702172.7003572 "[1006722, 100672274]" 0.0036 55410 0.8 0
2 1711702173.7003572 "[1006722, 1006722, 100672274]" 0.0054 55410 0.8 0
3 1711702174.7003572 "[1006722, 1006722, 1006722, 100672274]" 0.0072 55410 0.8 0
4 1711702175.7003572 "[100672, 1006722, 1006722, 1006722, 100672274, 100672278]" 0.0108 55410 0.8 0
5 1711702176.7003572 "[100672, 100672, 1006722, 1006722, 1006722, 100672274, 100672278, 10067228, 100672278]" 0.0162 55410 0.8 0
6 1711702177.7003572 "[100672, 100672, 100672, 1006722, 1006722, 1006722, 100672274, 100672278, 10067228, 100672278]" 0.0180 55410 0.8 0
7 1711702178.7003572 "[1006, 100672, 100672, 100672, 1006722, 1006722, 1006722, 100672274, 100672278, 10067228, 100672278]" 0.0180 55410 0.8 0
1 1711702203.708726 "[1006722, 100672274]" 0.0036 55410 0.7 0
2 1711702204.708726 "[1006722, 1006722, 100672274]" 0.0054 55410 0.7 0
3 1711702205.708726 "[1006722, 1006722, 1006722, 100672274]" 0.0072 55410 0.7 0
4 1711702206.708726 "[100672, 1006722, 1006722, 1006722, 100672274, 10067228]" 0.0108 55410 0.7 0
5 1711702207.708726 "[100672, 1006722, 1006722, 1006722, 100672274, 10067228, 100672278]" 0.0126 55410 0.7 0
6 1711702208.708726 "[100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0180 55410 0.7 0
7 1711702209.708726 "[100672, 100672, 100672, 1006722, 1006722, 1006722, 10067228, 100672274, 100672278, 10067228, 100672278]" 0.0199 55410 0.7 0
