Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711902852.636653 "[2005422, 2005422]" 0.0367 5454 1.0 0
2 1711902853.636653 "[200542, 2005422, 2005422]" 0.0550 5454 1.0 0
3 1711902854.636653 "[200542, 200542, 2005422, 2005422]" 0.0733 5454 1.0 0
4 1711902855.636653 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 1.0 0
5 1711902856.636653 "[20054, 200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 1.0 0
1 1711902866.3261929 "[2005422, 2005422]" 0.0367 5454 0.9 0
2 1711902867.3261929 "[200542, 2005422, 2005422]" 0.0550 5454 0.9 0
3 1711902868.3261929 "[200542, 200542, 2005422, 2005422]" 0.0733 5454 0.9 0
4 1711902869.3261929 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.9 0
5 1711902870.3261929 "[20054, 200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.9 0
1 1711902879.982709 "[2005422, 2005422]" 0.0367 5454 0.8 0
2 1711902880.982709 "[200542, 2005422, 2005422]" 0.0550 5454 0.8 0
3 1711902881.982709 "[200542, 200542, 2005422, 2005422]" 0.0733 5454 0.8 0
4 1711902882.982709 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.8 0
5 1711902883.982709 "[20054, 200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.8 0
1 1711902893.6797051 "[2005422, 2005422]" 0.0367 5454 0.7 0
2 1711902894.6797051 "[200542, 2005422, 2005422]" 0.0550 5454 0.7 0
3 1711902895.6797051 "[200542, 200542, 2005422, 2005422]" 0.0733 5454 0.7 0
4 1711902896.6797051 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.7 0
5 1711902897.6797051 "[20054, 200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.7 0
1 1711902907.0787451 [2005422] 0.0183 5454 0.6 0
2 1711902908.0787451 [2005422] 0.0183 5454 0.6 0
3 1711902909.0787451 "[2005422, 2005422]" 0.0367 5454 0.6 0
4 1711902910.0787451 "[200542, 2005422, 2005422]" 0.0550 5454 0.6 0
5 1711902911.0787451 "[200542, 2005422, 2005422]" 0.0550 5454 0.6 0
6 1711902912.0787451 "[200542, 2005422, 2005422]" 0.0550 5454 0.6 0
7 1711902913.0787451 "[200542, 2005422, 2005422]" 0.0550 5454 0.6 0
8 1711902914.0787451 "[200542, 2005422, 2005422]" 0.0550 5454 0.6 0
9 1711902915.0787451 "[200542, 200542, 2005422, 2005422]" 0.0733 5454 0.6 0
10 1711902916.0787451 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.6 0
11 1711902917.0787451 "[200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.6 0
12 1711902918.0787451 "[20054, 200542, 200542, 200542, 2005422, 2005422]" 0.0917 5454 0.6 0
