Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712428415.327102 [100496992] 0.0015 66735 1.0 0
1 1.0850942134857178 "[100496992, 100496992]" 0.0030 66735 1.0 0
2 2.618685007095337 "[100496992, 100496992, 100496992]" 0.0045 66735 1.0 0
3 4.827008008956909 "[100496, 100496992, 100496992, 100496992]" 0.0060 66735 1.0 0
4 7.689167022705078 "[100496, 100496, 100496992, 100496992, 100496992]" 0.0075 66735 1.0 0
5 11.31852912902832 "[100496, 100496, 100496, 100496992, 100496992, 100496992]" 0.0090 66735 1.0 0
6 15.450133085250854 "[1004, 100496, 100496, 100496, 100496992, 100496992, 100496992]" 0.0105 66735 1.0 0
7 20.2845618724823 "[1004, 1004, 100496, 100496, 100496, 100496992, 100496992, 100496992]" 0.0120 66735 1.0 0
8 22.543642044067383 "[1004, 1004, 1004, 100496, 100496, 100496, 100496992, 100496992, 100496992]" 0.0120 66735 1.0 0
0 1712428439.930478 [100494962] 0.0015 66735 0.9 0
1 1.0600440502166748 "[100494962, 100494962]" 0.0030 66735 0.9 0
2 2.4749608039855957 "[10049496, 100494962, 100494962]" 0.0045 66735 0.9 0
3 4.515376806259155 "[10049496, 10049496, 100494962, 100494962]" 0.0060 66735 0.9 0
4 7.238300800323486 "[10049496, 10049496, 10049496, 100494962, 100494962]" 0.0075 66735 0.9 0
5 10.675283908843994 "[100494, 10049496, 10049496, 10049496, 100494962, 100494962]" 0.0090 66735 0.9 0
6 14.81002688407898 "[100494, 100494, 10049496, 10049496, 10049496, 100494962, 100494962]" 0.0105 66735 0.9 0
7 19.67914080619812 "[100494, 100494, 100494, 10049496, 10049496, 10049496, 100494962, 100494962]" 0.0120 66735 0.9 0
8 25.945863008499146 "[100494, 100494, 100494, 10049496, 10049496, 10049496, 100494962, 100494962, 100494996, 100494998]" 0.0150 66735 0.9 0
9 33.759636878967285 "[1004, 100494, 100494, 100494, 10049496, 100494996, 100494998, 10049496, 10049496, 100494962, 100494962, 100494996, 100494998]" 0.0195 66735 0.9 0
10 43.67131185531616 "[1004, 1004, 100494, 100494, 100494, 10049496, 100494996, 100494998, 10049496, 10049496, 100494962, 100494962, 100494996, 100494998]" 0.0210 66735 0.9 0
11 47.250463008880615 "[1004, 1004, 1004, 100494, 100494, 100494, 10049496, 100494996, 100494998, 10049496, 10049496, 100494962, 100494962, 100494996, 100494998]" 0.0210 66735 0.9 0
0 1712428490.595339 [1004991862] 0.0015 66735 0.8 0
1 1.0630440711975098 "[100499186, 1004991862]" 0.0030 66735 0.8 0
2 2.44449782371521 "[100499186, 100499186, 1004991862]" 0.0045 66735 0.8 0
3 4.50143575668335 "[100499186, 100499186, 1004991862]" 0.0045 66735 0.8 0
4 6.583047866821289 "[100499186, 100499186, 100499186, 1004991862]" 0.0060 66735 0.8 0
5 9.314706802368164 "[10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0075 66735 0.8 0
6 12.777966022491455 "[10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0090 66735 0.8 0
7 16.96664595603943 "[10049918, 10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0105 66735 0.8 0
8 21.859960079193115 "[1004, 10049918, 10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0120 66735 0.8 0
9 27.522547960281372 "[1004, 10049918, 10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0120 66735 0.8 0
10 33.230756998062134 "[1004, 1004, 10049918, 10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0135 66735 0.8 0
11 35.74477291107178 "[1004, 1004, 1004, 10049918, 10049918, 10049918, 100499186, 100499186, 100499186, 1004991862]" 0.0135 66735 0.8 0
0 1712428528.6489458 [1004629652] 0.0015 66735 0.7 0
1 1.0628433227539062 "[10046296, 1004629652]" 0.0030 66735 0.7 0
2 2.469811201095581 "[10046296, 10046296, 1004629652]" 0.0045 66735 0.7 0
3 4.55901312828064 "[10046296, 10046296, 1004629652]" 0.0045 66735 0.7 0
4 6.67020320892334 "[10046296, 10046296, 10046296, 1004629652]" 0.0060 66735 0.7 0
5 9.430214166641235 "[10046296, 10046296, 10046296, 1004629652]" 0.0060 66735 0.7 0
6 12.179401159286499 "[10046296, 10046296, 10046296, 1004629652]" 0.0060 66735 0.7 0
7 14.908676147460938 "[100462, 10046296, 10046296, 10046296, 1004629652]" 0.0075 66735 0.7 0
8 18.37740421295166 "[100462, 100462, 10046296, 10046296, 10046296, 1004629652]" 0.0090 66735 0.7 0
9 22.543943166732788 "[100462, 100462, 10046296, 10046296, 10046296, 1004629652]" 0.0090 66735 0.7 0
10 26.758663177490234 "[100462, 100462, 10046296, 10046296, 10046296, 1004629652]" 0.0090 66735 0.7 0
11 31.002719163894653 "[100462, 100462, 100462, 10046296, 10046296, 10046296, 1004629652]" 0.0105 66735 0.7 0
12 36.56852412223816 "[10046, 100462, 100462, 100462, 10046296, 10046296, 10046296, 10046298, 1004629652]" 0.0135 66735 0.7 0
13 43.548872232437134 "[10046, 10046, 100462, 100462, 100462, 10046296, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0165 66735 0.7 0
14 51.9946391582489 "[10046, 10046, 100462, 100462, 100462, 10046296, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0180 66735 0.7 0
15 61.228883266448975 "[10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0195 66735 0.7 0
16 71.27693629264832 "[10046, 10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0210 66735 0.7 0
17 82.04166913032532 "[10046, 10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0210 66735 0.7 0
18 92.7392201423645 "[10046, 10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0210 66735 0.7 0
19 103.48122429847717 "[1004, 10046, 10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0225 66735 0.7 0
20 115.01132822036743 "[1004, 1004, 10046, 10046, 10046, 100462, 100462, 100462, 10046296, 10046298, 1004629792, 10046296, 10046296, 10046298, 1004629652, 1004629792]" 0.0240 66735 0.7 0
