Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712941660.6250381 [1004929324] 0.0015 66735 1.0 0
1 1.1811308860778809 "[100492932, 1004929324]" 0.0030 66735 1.0 0
2 2.657144784927368 "[100492932, 100492932, 1004929324]" 0.0045 66735 1.0 0
3 4.753330945968628 "[100492932, 100492932, 100492932, 1004929324]" 0.0060 66735 1.0 0
4 7.610466003417969 "[100492, 100492932, 100492932, 100492932, 1004929324]" 0.0075 66735 1.0 0
5 11.21456003189087 "[100492, 100492, 100492932, 100492932, 100492932, 1004929324]" 0.0090 66735 1.0 0
6 15.556941747665405 "[100492, 100492, 100492, 100492932, 100492932, 100492932, 1004929324]" 0.0105 66735 1.0 0
7 20.5018789768219 "[1004, 100492, 100492, 100492, 100492932, 100492932, 100492932, 1004929324]" 0.0120 66735 1.0 0
8 26.27974581718445 "[1004, 1004, 100492, 100492, 100492, 100492932, 100492932, 100492932, 1004929324]" 0.0135 66735 1.0 0
9 28.95693802833557 "[1004, 1004, 1004, 100492, 100492, 100492, 100492932, 100492932, 100492932, 1004929324]" 0.0135 66735 1.0 0
0 1712941691.9498508 [100499184] 0.0015 66735 0.9 0
1 1.154029130935669 "[10049918, 100499184]" 0.0030 66735 0.9 0
2 2.6420531272888184 "[10049918, 10049918, 100499184]" 0.0045 66735 0.9 0
3 4.754031181335449 "[10049918, 10049918, 10049918, 100499184]" 0.0060 66735 0.9 0
4 7.6529600620269775 "[1004, 10049918, 10049918, 10049918, 100499184]" 0.0075 66735 0.9 0
5 11.08332109451294 "[1004, 1004, 10049918, 10049918, 10049918, 100499184]" 0.0090 66735 0.9 0
6 12.976266384124756 "[1004, 1004, 1004, 10049918, 10049918, 10049918, 100499184]" 0.0090 66735 0.9 0
0 1712941706.491675 [1004926634] 0.0015 66735 0.8 0
1 1.046349048614502 "[1004926634, 1004926634]" 0.0030 66735 0.8 0
2 2.382078170776367 "[1004926634, 1004926634, 1004926634]" 0.0045 66735 0.8 0
3 4.386576175689697 "[10049266, 1004926634, 1004926634, 1004926634]" 0.0060 66735 0.8 0
4 7.228988170623779 "[10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0075 66735 0.8 0
5 10.951442241668701 "[10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0090 66735 0.8 0
6 15.342037200927734 "[1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0105 66735 0.8 0
7 20.61905026435852 "[1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0120 66735 0.8 0
8 26.93955707550049 "[1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0135 66735 0.8 0
9 33.30714702606201 "[100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0150 66735 0.8 0
10 40.96764421463013 "[100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0165 66735 0.8 0
11 49.32371401786804 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0180 66735 0.8 0
12 58.88211131095886 "[1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0195 66735 0.8 0
13 69.16327214241028 "[1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0210 66735 0.8 0
14 73.38153004646301 "[1004, 1004, 1004, 100492, 100492, 100492, 1004926, 1004926, 1004926, 10049266, 10049266, 10049266, 1004926634, 1004926634, 1004926634]" 0.0210 66735 0.8 0
0 1712941783.5414872 [10049265142] 0.0015 66735 0.7 0
1 1.0557146072387695 [10049265142] 0.0015 66735 0.7 0
2 1.7631659507751465 "[10049265142, 10049265142]" 0.0030 66735 0.7 0
3 3.318103790283203 "[10049265142, 10049265142]" 0.0030 66735 0.7 0
4 4.882774591445923 "[1004926514, 10049265142, 10049265142]" 0.0045 66735 0.7 0
5 7.098161697387695 "[1004926514, 10049265142, 10049265142]" 0.0045 66735 0.7 0
6 9.19166374206543 "[1004926514, 10049265142, 10049265142]" 0.0045 66735 0.7 0
7 11.21806788444519 "[1004926514, 1004926514, 10049265142, 10049265142]" 0.0060 66735 0.7 0
8 14.210195779800415 "[1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0075 66735 0.7 0
9 17.805962800979614 "[1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0090 66735 0.7 0
10 22.004719734191895 "[1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0090 66735 0.7 0
11 26.537372827529907 "[1004926, 1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0105 66735 0.7 0
12 32.037633657455444 "[1004926, 1004926, 1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0120 66735 0.7 0
13 38.189626693725586 "[100492, 1004926, 1004926, 1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0135 66735 0.7 0
14 44.728259801864624 "[100492, 100492, 1004926, 1004926, 1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0150 66735 0.7 0
15 52.22306776046753 "[100492, 100492, 100492, 1004926, 1004926, 1004926, 1004926514, 1004926514, 1004926514, 10049265142, 10049265142]" 0.0165 66735 0.7 0
