Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712392770.9837708 [20048656214] 0.0012 82307 1.0 0
1 1.0874443054199219 "[20048656, 20048656214]" 0.0024 82307 1.0 0
2 3.08853816986084 "[200486, 20048656, 20048656214, 200486562, 200486564]" 0.0061 82307 1.0 0
3 7.1249542236328125 "[200486, 200486, 20048656, 20048656214, 200486562, 200486562, 200486564, 200486564]" 0.0097 82307 1.0 0
4 13.398534059524536 "[200486, 200486, 200486, 20048656, 20048656, 20048656214, 200486562, 200486562, 200486564, 200486564]" 0.0121 82307 1.0 0
5 21.977819204330444 "[20048, 200486, 200486, 200486, 20048656, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564]" 0.0170 82307 1.0 0
6 34.026886224746704 "[20048, 20048, 200486, 200486, 200486, 20048656, 20048696, 20048698, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564]" 0.0207 82307 1.0 0
7 49.54631233215332 "[20048, 20048, 20048, 200486, 200486, 200486, 20048656, 20048696, 20048698, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564, 200486966, 200486968]" 0.0243 82307 1.0 0
8 67.83126330375671 "[2004, 20048, 20048, 20048, 200486, 200486, 200486, 200486966, 200486968, 20048656, 20048696, 20048698, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564, 200486966, 200486968, 200489996, 200489998]" 0.0304 82307 1.0 0
9 91.94384002685547 "[2004, 2004, 20048, 20048, 20048, 200486, 200489996, 200489998, 200486, 200486, 200486966, 200486968, 20048656, 20048696, 20048698, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564, 200486966, 200486968, 200489996, 200489998, 20048696892, 20048696894]" 0.0364 82307 1.0 0
10 99.833731174469 "[2004, 2004, 2004, 20048, 20048, 20048, 200486, 200489996, 200489998, 200486, 200486, 200486966, 200486968, 20048656, 20048696, 20048698, 20048656, 20048656, 20048656214, 20048696, 20048698, 200486562, 200486562, 200486564, 200486564, 200486966, 200486968, 200489996, 200489998, 20048696892, 20048696894]" 0.0364 82307 1.0 0
0 1712392878.9129841 [20048667112] 0.0012 82307 0.9 0
1 1.1104059219360352 "[20048667112, 20048667112]" 0.0024 82307 0.9 0
2 2.6000120639801025 "[2004866, 20048667112, 20048667112]" 0.0036 82307 0.9 0
3 4.953552722930908 "[2004866, 20048667112, 20048667112]" 0.0036 82307 0.9 0
4 7.334228992462158 "[2004866, 2004866, 20048667112, 20048667112]" 0.0049 82307 0.9 0
5 11.05490779876709 "[2004866, 2004866, 2004866, 20048667112, 20048667112]" 0.0061 82307 0.9 0
6 15.271536827087402 "[200486, 2004866, 2004866, 2004866, 20048667112, 20048668, 2004866798, 20048667112]" 0.0097 82307 0.9 0
7 21.580557823181152 "[200486, 200486, 2004866, 2004866, 2004866, 20048668, 2004866798, 20048667112, 20048668, 2004866798, 20048667112]" 0.0134 82307 0.9 0
8 31.140284776687622 "[200486, 200486, 200486, 2004866, 2004866, 2004866, 20048668, 2004866798, 20048667112, 20048668, 200486684, 2004866798, 20048667112]" 0.0158 82307 0.9 0
9 44.056580781936646 "[20048, 200486, 200486, 200486, 2004866, 2004866, 2004866, 200486684, 20048668, 2004866798, 20048667112, 20048668, 20048698, 200486684, 200486686, 2004866798, 20048667112]" 0.0207 82307 0.9 0
10 60.96936583518982 "[20048, 20048, 200486, 200486, 200486, 2004866, 20048698, 2004866, 2004866, 200486684, 200486686, 20048668, 2004866798, 20048667112, 20048668, 20048698, 200486684, 200486686, 2004866798, 20048667112]" 0.0243 82307 0.9 0
11 80.19360089302063 "[20048, 20048, 20048, 200486, 200486, 200486, 2004866, 20048698, 2004866, 2004866, 200486684, 200486686, 20048668, 2004866798, 20048667112, 20048668, 20048696, 20048698, 200486684, 200486686, 2004866798, 20048667112]" 0.0267 82307 0.9 0
12 100.18775486946106 "[2004, 20048, 20048, 20048, 200486, 200486, 200486, 2004866, 20048696, 20048698, 2004866, 2004866, 200486684, 200486686, 20048668, 2004866798, 20048667112, 20048668, 20048696, 20048698, 200486684, 200486686, 200489998, 2004866798, 20048667112]" 0.0304 82307 0.9 0
13 123.24465084075928 "[2004, 2004, 20048, 20048, 20048, 200486, 200489998, 200486, 200486, 2004866, 20048696, 20048698, 2004866, 2004866, 200486684, 200486686, 20048668, 2004866798, 20048667112, 20048668, 20048696, 20048698, 200486684, 200486686, 200486966, 200486968, 200489996, 200489998, 2004866798, 20048667112]" 0.0364 82307 0.9 0
14 130.45256876945496 "[2004, 2004, 2004, 20048, 20048, 20048, 200486, 200489998, 200486, 200486, 2004866, 20048696, 20048698, 2004866, 2004866, 200486684, 200486686, 20048668, 2004866798, 20048667112, 20048668, 20048696, 20048698, 200486684, 200486686, 200486966, 200486968, 200489996, 200489998, 2004866798, 20048667112]" 0.0364 82307 0.9 0
0 1712393016.751223 [2004862148] 0.0012 82307 0.8 0
1 1.242232084274292 [2004862148] 0.0012 82307 0.8 0
2 2.0765938758850098 "[200486214, 2004862148]" 0.0024 82307 0.8 0
3 3.799520969390869 "[200486214, 200486214, 2004862148]" 0.0036 82307 0.8 0
4 6.486010789871216 "[200486214, 200486214, 200486214, 2004862148]" 0.0049 82307 0.8 0
5 10.059761762619019 "[2004862, 200486214, 200486214, 200486214, 2004862148]" 0.0061 82307 0.8 0
6 14.488012075424194 "[2004862, 2004862, 200486214, 200486214, 200486214, 2004862148]" 0.0073 82307 0.8 0
7 19.196299076080322 "[2004862, 2004862, 2004862, 200486214, 200486214, 200486214, 2004862148]" 0.0085 82307 0.8 0
8 25.754960775375366 "[2004862, 2004862, 2004862, 200486214, 20048628, 200486214, 200486214, 2004862148]" 0.0097 82307 0.8 0
9 32.764857053756714 "[2004862, 2004862, 2004862, 20048628, 200486214, 20048628, 200486214, 200486214, 200486278, 2004862148]" 0.0121 82307 0.8 0
10 40.68052101135254 "[2004862, 2004862, 2004862, 20048628, 200486214, 200486278, 20048628, 200486214, 200486214, 200486278, 2004862148]" 0.0134 82307 0.8 0
11 49.62193489074707 "[200486, 2004862, 2004862, 2004862, 20048628, 200486214, 200486278, 20048628, 200486214, 200486214, 200486278, 2004862148]" 0.0146 82307 0.8 0
12 59.178937911987305 "[200486, 200486, 2004862, 2004862, 2004862, 20048628, 200486214, 200486278, 20048628, 200486214, 200486214, 200486278, 2004862148]" 0.0158 82307 0.8 0
13 69.6256058216095 "[200486, 200486, 200486, 2004862, 2004862, 2004862, 20048628, 200486214, 200486278, 20048628, 200486214, 200486214, 200486278, 2004862148]" 0.0170 82307 0.8 0
14 81.60559105873108 "[20048, 200486, 200486, 200486, 2004862, 2004862, 2004862, 20048628, 200486214, 200486278, 20048628, 20048696, 20048698, 200486214, 200486214, 200486278, 2004862148]" 0.0207 82307 0.8 0
15 95.73321795463562 "[20048, 200486, 200486, 200486, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048698, 200486214, 200486214, 200486278, 2004862148]" 0.0231 82307 0.8 0
16 112.14507484436035 "[20048, 20048, 200486, 200486, 200486, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048698, 200486214, 200486214, 200486278, 200486966, 200486968, 2004862148]" 0.0267 82307 0.8 0
17 130.95350289344788 "[20048, 20048, 20048, 200486, 200486, 200486, 200486966, 200486968, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048698, 200486214, 200486214, 200486278, 200486966, 200486968, 2004862148]" 0.0304 82307 0.8 0
18 154.15510892868042 "[2004, 20048, 20048, 20048, 200486, 200486, 200486, 200486966, 200486968, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048698, 200486214, 200486214, 200486278, 200486966, 200486968, 200489996, 200489998, 2004862148, 20048696892, 20048696894]" 0.0364 82307 0.8 0
19 181.5110399723053 "[2004, 2004, 20048, 20048, 20048, 200486, 200489998, 200486, 200486, 200486966, 200486968, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048696892, 20048696894, 20048698, 200486214, 200486214, 200486278, 200486966, 200486968, 200489996, 200489998, 2004862148, 20048696892, 20048696894]" 0.0413 82307 0.8 0
20 189.64989805221558 "[2004, 2004, 2004, 20048, 20048, 20048, 200486, 200489998, 200486, 200486, 200486966, 200486968, 2004862, 2004862, 2004862, 20048696, 20048698, 20048628, 200486214, 200486278, 20048628, 20048696, 20048696892, 20048696894, 20048698, 200486214, 200486214, 200486278, 200486966, 200486968, 200489996, 200489998, 2004862148, 20048696892, 20048696894]" 0.0413 82307 0.8 0
0 1712393214.9867551 [2004828] 0.0012 82307 0.7 0
1 1.6302080154418945 "[200482, 2004828, 200482892, 200482894]" 0.0049 82307 0.7 0
2 5.047717809677124 "[200482, 200482, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0085 82307 0.7 0
3 10.672693014144897 "[200482, 200482, 2004828, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0097 82307 0.7 0
4 17.345837831497192 "[200482, 200482, 2004828, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0097 82307 0.7 0
5 23.894434690475464 "[200482, 200482, 200482, 2004828, 2004828, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0121 82307 0.7 0
6 31.989378690719604 "[20048, 200482, 200482, 200482, 2004828, 2004828, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0134 82307 0.7 0
7 41.35352277755737 "[20048, 20048, 200482, 200482, 200482, 2004828, 2004828, 2004828, 200482892, 200482894, 200482892, 200482894]" 0.0146 82307 0.7 0
