Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712956025.097027 [2004862424] 0.0012 82307 1.0 0
1 1.4453997611999512 "[200486242, 2004862424]" 0.0024 82307 1.0 0
2 2.99161696434021 "[200486242, 200486242, 2004862424]" 0.0036 82307 1.0 0
3 5.312696933746338 "[200486242, 200486242, 200486242, 2004862424]" 0.0049 82307 1.0 0
4 8.26000690460205 "[20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0061 82307 1.0 0
5 11.994784116744995 "[20048624, 20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0073 82307 1.0 0
6 16.38963007926941 "[20048624, 20048624, 20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0085 82307 1.0 0
7 21.754581928253174 "[2004862, 20048624, 20048624, 20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0097 82307 1.0 0
8 27.9111807346344 "[2004862, 2004862, 20048624, 20048624, 20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0109 82307 1.0 0
9 34.468798875808716 "[2004862, 2004862, 2004862, 20048624, 20048624, 20048624, 200486242, 200486242, 200486242, 2004862424]" 0.0121 82307 1.0 0
10 42.966349840164185 "[200486, 2004862, 2004862, 2004862, 20048624, 20048624, 20048624, 20048628, 200486242, 200486242, 200486242, 200486278, 2004862424]" 0.0158 82307 1.0 0
11 53.679486989974976 "[200486, 200486, 2004862, 2004862, 2004862, 20048624, 20048628, 200486278, 20048624, 20048624, 20048628, 200486242, 200486242, 200486242, 200486278, 2004862424]" 0.0194 82307 1.0 0
12 66.56186604499817 "[200486, 200486, 200486, 2004862, 2004862, 2004862, 20048624, 20048628, 200486278, 20048624, 20048624, 20048628, 200486242, 200486242, 200486242, 200486278, 2004862424]" 0.0207 82307 1.0 0
13 82.6556248664856 "[20048, 200486, 200486, 200486, 2004862, 2004862, 2004862, 20048624, 20048628, 200486278, 20048624, 20048624, 20048628, 20048696, 20048698, 200486242, 200486242, 200486242, 200486278, 2004862424]" 0.0243 82307 1.0 0
14 100.27466177940369 "[20048, 20048, 200486, 200486, 200486, 2004862, 2004862, 2004862, 20048696, 20048698, 20048624, 20048628, 200486278, 20048624, 20048624, 20048628, 20048696, 20048698, 200486242, 200486242, 200486242, 200486278, 2004862424]" 0.0279 82307 1.0 0
