Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712442064.061043 [1003499852] 0.1626 615 1.0 0
1 1.4228878021240234 "[1003499852, 1003499852]" 0.3252 615 1.0 0
2 3.3137588500976562 "[10034998, 1003499852, 1003499852]" 0.4878 615 1.0 0
3 6.122621774673462 "[10034998, 10034998, 1003499852, 1003499852]" 0.6504 615 1.0 0
0 1712442071.0720131 [100349992394] 0.1626 615 0.9 0
1 1.1309428215026855 "[100349992394, 100349992394]" 0.3252 615 0.9 0
2 2.5795888900756836 "[100349992, 100349992394, 100349992394]" 0.4878 615 0.9 0
3 4.945583820343018 "[100349992, 100349992, 100349992394, 100349992394]" 0.6504 615 0.9 0
0 1712442077.329485 [10034999152] 0.1626 615 0.8 0
1 1.3353092670440674 [10034999152] 0.1626 615 0.8 0
2 2.0986692905426025 "[10034999152, 10034999152]" 0.3252 615 0.8 0
3 3.755204916000366 "[10034999152, 10034999152]" 0.3252 615 0.8 0
4 5.465951204299927 "[10034999152, 10034999152, 10034999152]" 0.4878 615 0.8 0
5 7.626269102096558 "[10034999152, 10034999152, 10034999152]" 0.4878 615 0.8 0
6 9.814592123031616 "[10034999152, 10034999152, 10034999152]" 0.4878 615 0.8 0
7 12.16228699684143 "[10034, 10034999152, 10034999152, 10034999152]" 0.6504 615 0.8 0
0 1712442090.420568 [100349964] 0.1626 615 0.7 0
1 1.1579821109771729 "[100349964, 100349964]" 0.3252 615 0.7 0
2 2.565836191177368 "[10034996, 100349964, 100349964]" 0.4878 615 0.7 0
3 4.740921974182129 "[10034996, 100349964, 100349964]" 0.4878 615 0.7 0
4 7.045500993728638 "[10034996, 10034996, 100349964, 100349964]" 0.6504 615 0.7 0
0 1712442098.387687 [100349992312] 0.1626 615 0.6 0
1 1.1199569702148438 "[100349992312, 100349992312]" 0.3252 615 0.6 0
2 2.6450750827789307 "[100349992, 100349992312, 100349992312]" 0.4878 615 0.6 0
3 5.07206392288208 "[100349992, 100349992, 100349992312, 100349992312]" 0.6504 615 0.6 0
0 1712442104.457383 [10034999152] 0.1626 615 0.5 0
1 1.2368481159210205 "[10034999152, 10034999152]" 0.3252 615 0.5 0
2 2.6239311695098877 "[10034, 10034999152, 10034999152]" 0.4878 615 0.5 0
3 4.824096918106079 "[10034, 10034, 10034999152, 10034999152]" 0.6504 615 0.5 0
0 1712442110.231692 [1003499912] 0.1626 615 0.4 0
1 1.8465619087219238 "[10034, 1003499912]" 0.3252 615 0.4 0
2 3.8800208568573 "[10034, 1003499912, 10034999124, 10034999126]" 0.6504 615 0.4 0
0 1712442115.063185 [10034] 0.1626 615 0.3 0
1 1.084568977355957 "[10034, 10034]" 0.1626 615 0.3 0
0 1712442116.6471722 [1003499856] 0.1626 615 0.2 0
1 1.078737735748291 [1003499856] 0.1626 615 0.2 0
2 1.8038346767425537 [1003499856] 0.1626 615 0.2 0
3 2.550449848175049 "[10034998, 1003499856]" 0.3252 615 0.2 0
4 4.19645881652832 "[10034998, 1003499856]" 0.3252 615 0.2 0
5 5.734365940093994 "[10034998, 1003499856]" 0.3252 615 0.2 0
6 7.417849779129028 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
7 9.600372791290283 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
8 11.82311487197876 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
9 13.923459768295288 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
10 16.00973677635193 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
11 18.108720779418945 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
12 20.30925679206848 "[10034998, 10034998, 1003499856]" 0.4878 615 0.2 0
