Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712953606.3885598 [1003499914] 0.1626 615 1.0 0
1 1.8491342067718506 "[10034, 1003499914, 10034999142, 10034999144]" 0.6504 615 1.0 0
0 1712953609.218969 [100349995634] 0.1626 615 0.9 0
1 1.115123987197876 "[100349995634, 100349995634]" 0.3252 615 0.9 0
2 2.6203598976135254 "[100349995634, 100349995634, 100349995634]" 0.4878 615 0.9 0
3 4.711043834686279 "[1003499956, 100349995634, 100349995634, 100349995634]" 0.6504 615 0.9 0
0 1712953614.82545 [100349995266] 0.1626 615 0.8 0
1 1.0882821083068848 "[10034999526, 100349995266]" 0.3252 615 0.8 0
2 2.438382148742676 "[10034999526, 100349995266]" 0.3252 615 0.8 0
3 3.7582788467407227 "[10034999526, 10034999526, 100349995266]" 0.4878 615 0.8 0
4 5.88927698135376 "[10034999526, 10034999526, 100349995266]" 0.4878 615 0.8 0
5 7.931591987609863 "[10034999526, 10034999526, 100349995266]" 0.4878 615 0.8 0
6 9.928784132003784 "[10034999526, 10034999526, 10034999526, 100349995266]" 0.6504 615 0.8 0
0 1712953625.680392 [100349995264] 0.1626 615 0.7 0
1 1.030522108078003 "[10034999526, 100349995264]" 0.3252 615 0.7 0
2 2.4096920490264893 "[10034999526, 10034999526, 100349995264]" 0.4878 615 0.7 0
3 4.400079011917114 "[10034999526, 10034999526, 10034999526, 100349995264]" 0.6504 615 0.7 0
0 1712953631.018869 [100349992316] 0.1626 615 0.6 0
1 1.0470001697540283 "[100349992316, 100349992316]" 0.3252 615 0.6 0
2 2.368881940841675 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.6 0
3 4.542768239974976 "[100349992, 100349992316, 100349992316, 100349992316]" 0.6504 615 0.6 0
0 1712953636.498095 [1003499942] 0.1626 615 0.5 0
1 1.0237128734588623 [1003499942] 0.1626 615 0.5 0
2 1.6988089084625244 [1003499942] 0.1626 615 0.5 0
3 2.3721859455108643 "[100349994, 1003499942]" 0.3252 615 0.5 0
4 3.755906820297241 "[100349994, 100349994, 1003499942]" 0.4878 615 0.5 0
