Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712397869.628754 [200293822] 0.0056 17804 1.0 0
1 1.0844910144805908 "[200293822, 200293822]" 0.0112 17804 1.0 0
2 2.579569101333618 "[20029382, 200293822, 200293822]" 0.0169 17804 1.0 0
3 4.779165267944336 "[20029382, 20029382, 200293822, 200293822]" 0.0225 17804 1.0 0
4 7.956977128982544 "[20029382, 20029382, 20029382, 200293822, 200293822]" 0.0281 17804 1.0 0
5 11.919432163238525 "[2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0337 17804 1.0 0
6 16.63959813117981 "[2002938, 2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0393 17804 1.0 0
7 22.53958296775818 "[2002938, 2002938, 2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0449 17804 1.0 0
8 28.783786058425903 "[2002, 2002938, 2002938, 2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0506 17804 1.0 0
9 35.642784118652344 "[2002, 2002, 2002938, 2002938, 2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0562 17804 1.0 0
10 38.829222202301025 "[2002, 2002, 2002, 2002938, 2002938, 2002938, 20029382, 20029382, 20029382, 200293822, 200293822]" 0.0562 17804 1.0 0
0 1712397911.399202 [200293594] 0.0056 17804 0.9 0
1 1.155486822128296 "[2002, 200293594]" 0.0112 17804 0.9 0
2 2.7951629161834717 "[2002, 2002, 200293594]" 0.0169 17804 0.9 0
3 4.101925849914551 "[2002, 2002, 2002, 200293594]" 0.0169 17804 0.9 0
0 1712397916.5948522 [20029382] 0.0056 17804 0.8 0
1 1.1760377883911133 "[2002938, 20029382]" 0.0112 17804 0.8 0
2 3.3777737617492676 "[2002938, 2002938, 20029382]" 0.0169 17804 0.8 0
3 5.810727834701538 "[2002938, 2002938, 2002938, 20029382]" 0.0225 17804 0.8 0
4 9.06112790107727 "[2002, 2002938, 2002938, 2002938, 20029382]" 0.0281 17804 0.8 0
5 12.635841608047485 "[2002, 2002, 2002938, 2002938, 2002938, 20029382]" 0.0337 17804 0.8 0
6 14.67864179611206 "[2002, 2002, 2002, 2002938, 2002938, 2002938, 20029382]" 0.0337 17804 0.8 0
0 1712397933.6568189 [200293562] 0.0056 17804 0.7 0
1 1.5981051921844482 "[20029356, 200293562]" 0.0112 17804 0.7 0
2 3.423038959503174 "[20029356, 20029356, 200293562]" 0.0169 17804 0.7 0
3 5.702795028686523 "[20029356, 20029356, 20029356, 200293562]" 0.0225 17804 0.7 0
4 8.638921022415161 "[2002, 20029356, 20029356, 20029356, 200293562]" 0.0281 17804 0.7 0
5 12.621435165405273 "[2002, 20029356, 20029356, 20029356, 200293562]" 0.0281 17804 0.7 0
6 16.13836431503296 "[2002, 20029356, 20029356, 20029356, 200293562]" 0.0281 17804 0.7 0
7 19.978777170181274 "[2002, 2002, 20029356, 20029356, 20029356, 200293562]" 0.0337 17804 0.7 0
8 22.238898277282715 "[2002, 2002, 2002, 20029356, 20029356, 20029356, 200293562]" 0.0337 17804 0.7 0
0 1712397957.877679 [200293396] 0.0056 17804 0.6 0
1 1.1481049060821533 [200293396] 0.0056 17804 0.6 0
2 1.9086437225341797 [200293396] 0.0056 17804 0.6 0
3 2.7310538291931152 [200293396] 0.0056 17804 0.6 0
4 3.455683946609497 "[200293396, 200293396]" 0.0112 17804 0.6 0
5 4.937699794769287 "[2002, 200293396, 200293396]" 0.0169 17804 0.6 0
6 7.081234931945801 "[2002, 2002, 200293396, 200293396]" 0.0225 17804 0.6 0
7 8.56218695640564 "[2002, 2002, 2002, 200293396, 200293396]" 0.0225 17804 0.6 0
0 1712397967.700748 [2002938] 0.0056 17804 0.5 0
1 1.163167953491211 [2002938] 0.0056 17804 0.5 0
2 1.9219560623168945 "[2002938, 2002938]" 0.0112 17804 0.5 0
3 3.4208672046661377 "[2002938, 2002938]" 0.0112 17804 0.5 0
4 4.946484088897705 "[2002938, 2002938]" 0.0112 17804 0.5 0
5 6.469666004180908 "[2002938, 2002938]" 0.0112 17804 0.5 0
6 8.019284009933472 "[2002, 2002938, 2002938]" 0.0169 17804 0.5 0
7 10.364847898483276 "[2002, 2002, 2002938, 2002938]" 0.0225 17804 0.5 0
8 11.852590084075928 "[2002, 2002, 2002, 2002938, 2002938]" 0.0225 17804 0.5 0
0 1712397980.755245 [20029022] 0.0056 17804 0.4 0
1 1.0965681076049805 [20029022] 0.0056 17804 0.4 0
