Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712955378.499418 [2002939122] 0.0056 17804 1.0 0
1 1.1848211288452148 "[200293912, 2002939122]" 0.0112 17804 1.0 0
2 2.6958038806915283 "[200293912, 200293912, 2002939122]" 0.0169 17804 1.0 0
3 4.8283820152282715 "[200293912, 200293912, 200293912, 2002939122]" 0.0225 17804 1.0 0
4 7.552685976028442 "[2002, 200293912, 200293912, 200293912, 2002939122]" 0.0281 17804 1.0 0
5 11.15674901008606 "[2002, 2002, 200293912, 200293912, 200293912, 2002939122]" 0.0337 17804 1.0 0
6 13.244372129440308 "[2002, 2002, 2002, 200293912, 200293912, 200293912, 2002939122]" 0.0337 17804 1.0 0
0 1712955393.625437 [20029358] 0.0056 17804 0.9 0
1 1.0845139026641846 "[20029358, 20029358]" 0.0112 17804 0.9 0
2 2.4690768718719482 "[2002, 20029358, 20029358]" 0.0169 17804 0.9 0
3 4.469121932983398 "[2002, 2002, 20029358, 20029358]" 0.0225 17804 0.9 0
4 5.812612056732178 "[2002, 2002, 2002, 20029358, 20029358]" 0.0225 17804 0.9 0
0 1712955400.6113012 [2002902] 0.0056 17804 0.8 0
1 1.1892907619476318 "[2002, 2002902]" 0.0112 17804 0.8 0
2 2.6365439891815186 "[2002, 2002, 2002902]" 0.0169 17804 0.8 0
3 3.877920627593994 "[2002, 2002, 2002, 2002902]" 0.0169 17804 0.8 0
0 1712955405.373543 [20029042] 0.0056 17804 0.7 0
1 1.0658090114593506 "[20029042, 20029042]" 0.0112 17804 0.7 0
2 2.431180000305176 "[20029042, 20029042]" 0.0112 17804 0.7 0
3 3.841493844985962 "[20029042, 20029042, 20029042]" 0.0169 17804 0.7 0
4 6.119047164916992 "[20029042, 20029042, 20029042]" 0.0169 17804 0.7 0
5 8.359232902526855 "[20029042, 20029042, 20029042]" 0.0169 17804 0.7 0
6 10.529214143753052 "[2002902, 20029042, 20029042, 20029042]" 0.0225 17804 0.7 0
7 13.407126903533936 "[2002902, 2002902, 2002904, 20029042, 20029042, 20029042]" 0.0337 17804 0.7 0
8 17.763064861297607 "[2002902, 2002902, 2002902, 2002904, 20029042, 20029042, 20029042]" 0.0393 17804 0.7 0
9 22.825273036956787 "[2002, 2002902, 2002904, 2002902, 2002902, 2002904, 20029042, 20029042, 20029042]" 0.0506 17804 0.7 0
