Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711963112.477568 "[20052, 2005236]" 0.0153 6537 1.0 0
1 1711963114.506739 "[2005218322, 20052183222]" 0.0306 6537 0.9 0
2 1711963115.506739 "[2005218322, 2005218322, 20052183222]" 0.0459 6537 0.9 0
3 1711963116.506739 "[2005218322, 2005218322, 2005218322, 20052183222]" 0.0612 6537 0.9 0
4 1711963117.506739 "[200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.0765 6537 0.9 0
5 1711963118.506739 "[200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.0918 6537 0.9 0
6 1711963119.506739 "[200521832, 200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.1071 6537 0.9 0
7 1711963120.506739 "[2005218, 200521832, 200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.1224 6537 0.9 0
8 1711963121.506739 "[2005218, 2005218, 200521832, 200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.1377 6537 0.9 0
9 1711963122.506739 "[2005218, 2005218, 2005218, 200521832, 200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.1530 6537 0.9 0
10 1711963123.506739 "[20052, 2005218, 2005218, 2005218, 200521832, 200521832, 200521832, 2005218322, 2005218322, 2005218322, 20052183222]" 0.1530 6537 0.9 0

