Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712417444.219008 [100384896] 0.0057 17464 1.0 0
1 1.0921621322631836 "[1003848, 100384896]" 0.0115 17464 1.0 0
2 2.4459891319274902 "[1003848, 1003848, 100384896]" 0.0172 17464 1.0 0
3 4.881380081176758 "[1003848, 1003848, 1003848, 100384896]" 0.0229 17464 1.0 0
4 7.7644689083099365 "[100384, 1003848, 1003848, 1003848, 100384896]" 0.0286 17464 1.0 0
5 11.217310905456543 "[100384, 100384, 1003848, 1003848, 1003848, 100384896]" 0.0344 17464 1.0 0
6 15.36263394355774 "[100384, 100384, 100384, 1003848, 1003848, 1003848, 100384896]" 0.0401 17464 1.0 0
7 20.0785710811615 "[10038, 100384, 100384, 100384, 1003848, 1003848, 1003848, 100384896]" 0.0458 17464 1.0 0
8 25.524981021881104 "[10038, 10038, 100384, 100384, 100384, 1003848, 1003848, 1003848, 100384896]" 0.0515 17464 1.0 0
9 28.03193187713623 "[10038, 10038, 10038, 100384, 100384, 100384, 1003848, 1003848, 1003848, 100384896]" 0.0515 17464 1.0 0
0 1712417474.4858 [1003855758] 0.0057 17464 0.9 0
1 1.0697240829467773 "[10038, 1003855758]" 0.0115 17464 0.9 0
2 2.467392921447754 "[10038, 1003855758]" 0.0115 17464 0.9 0
3 3.83357572555542 "[10038, 10038, 1003855758]" 0.0172 17464 0.9 0
4 5.864563941955566 "[10038, 10038, 1003855758]" 0.0172 17464 0.9 0
5 7.009460926055908 "[10038, 10038, 10038, 1003855758]" 0.0172 17464 0.9 0
0 1712417482.409886 [100386762] 0.0057 17464 0.8 0
1 1.081484079360962 "[100386762, 100386762]" 0.0115 17464 0.8 0
2 2.8863391876220703 "[100386762, 100386762]" 0.0115 17464 0.8 0
3 4.374809265136719 "[10038676, 100386762, 100386762]" 0.0172 17464 0.8 0
4 6.477196216583252 "[10038676, 10038676, 100386762, 100386762]" 0.0229 17464 0.8 0
5 9.191890954971313 "[10038676, 10038676, 100386762, 100386762]" 0.0229 17464 0.8 0
6 11.898593187332153 "[10038676, 10038676, 10038676, 100386762, 100386762]" 0.0286 17464 0.8 0
7 15.290357112884521 "[100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0344 17464 0.8 0
8 19.36492609977722 "[100386, 100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0401 17464 0.8 0
9 24.112389087677002 "[100386, 100386, 100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0458 17464 0.8 0
10 29.515428066253662 "[10038, 100386, 100386, 100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0515 17464 0.8 0
11 35.63115310668945 "[10038, 10038, 100386, 100386, 100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0573 17464 0.8 0
12 38.357858180999756 "[10038, 10038, 10038, 100386, 100386, 100386, 10038676, 10038676, 10038676, 100386762, 100386762]" 0.0573 17464 0.8 0
0 1712417523.254256 [100386446] 0.0057 17464 0.7 0
1 1.5341567993164062 "[100386446, 1003864466]" 0.0115 17464 0.7 0
2 3.362346887588501 "[10038644, 100386446, 1003864466, 1003864468]" 0.0229 17464 0.7 0
3 6.547537088394165 "[10038644, 100386446, 1003864466, 1003864466, 1003864468]" 0.0286 17464 0.7 0
4 10.448779821395874 "[10038644, 10038644, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0458 17464 0.7 0
5 16.385287046432495 "[10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0515 17464 0.7 0
6 23.12180209159851 "[10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0573 17464 0.7 0
7 30.367135047912598 "[10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0573 17464 0.7 0
8 37.65143585205078 "[1003864, 10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0630 17464 0.7 0
9 45.584028005599976 "[1003864, 10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0630 17464 0.7 0
10 53.52953886985779 "[1003864, 1003864, 10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0687 17464 0.7 0
11 62.152010917663574 "[1003864, 1003864, 1003864, 10038644, 10038644, 10038644, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468]" 0.0744 17464 0.7 0
12 72.8729100227356 "[100386, 1003864, 1003864, 1003864, 10038644, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.0916 17464 0.7 0
13 325.4759600162506 "[100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1088 17464 0.7 0
14 342.49823093414307 "[100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1145 17464 0.7 0
15 358.5192449092865 "[100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1145 17464 0.7 0
16 374.4248569011688 "[10038, 100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1202 17464 0.7 0
17 394.00844407081604 "[10038, 100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1202 17464 0.7 0
18 412.3969519138336 "[10038, 10038, 100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1260 17464 0.7 0
19 418.1799359321594 "[10038, 10038, 10038, 100386, 100386, 100386, 1003864, 1003864, 1003864, 10038644, 10038648, 1003864798, 10038644, 10038644, 10038648, 100386446, 100386446, 100386446, 1003864466, 1003864468, 1003864466, 1003864468, 1003864798]" 0.1260 17464 0.7 0
0 1712417946.69325 [10038451122] 0.0057 17464 0.6 0
1 1.160689115524292 [10038451122] 0.0057 17464 0.6 0
2 1.9351410865783691 [10038451122] 0.0057 17464 0.6 0
3 2.671928882598877 "[1003845112, 10038451122]" 0.0115 17464 0.6 0
4 4.11128306388855 "[1003845112, 1003845112, 10038451122]" 0.0172 17464 0.6 0
5 6.2655370235443115 "[1003845112, 1003845112, 10038451122]" 0.0172 17464 0.6 0
6 8.364173889160156 "[1003845112, 1003845112, 1003845112, 10038451122]" 0.0229 17464 0.6 0
7 11.110430002212524 "[100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0286 17464 0.6 0
8 14.567697048187256 "[100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0344 17464 0.6 0
9 18.72629690170288 "[100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0401 17464 0.6 0
10 23.558835983276367 "[10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0458 17464 0.6 0
11 29.1095929145813 "[10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0458 17464 0.6 0
12 34.814359188079834 "[10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0458 17464 0.6 0
13 40.51786804199219 "[10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0458 17464 0.6 0
14 46.1634681224823 "[10038, 10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0515 17464 0.6 0
15 48.72056818008423 "[10038, 10038, 10038, 100384, 100384, 100384, 1003845112, 1003845112, 1003845112, 10038451122]" 0.0515 17464 0.6 0
0 1712417997.724436 [10038462862] 0.0057 17464 0.5 0
1 1.0450160503387451 "[10038462862, 10038462862]" 0.0115 17464 0.5 0
2 2.4594368934631348 "[10038462862, 10038462862, 10038462862]" 0.0172 17464 0.5 0
3 4.544809818267822 "[1003846286, 10038462862, 10038462862, 10038462862]" 0.0229 17464 0.5 0
4 7.3871169090271 "[1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0286 17464 0.5 0
5 10.905465126037598 "[1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0344 17464 0.5 0
6 15.101533889770508 "[100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0401 17464 0.5 0
7 20.02765989303589 "[100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0458 17464 0.5 0
8 26.135820865631104 "[100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0458 17464 0.5 0
9 32.5536208152771 "[100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0458 17464 0.5 0
10 38.87352800369263 "[100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0515 17464 0.5 0
11 45.67121195793152 "[10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0573 17464 0.5 0
12 52.53307485580444 "[10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0573 17464 0.5 0
13 59.7265899181366 "[10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0573 17464 0.5 0
14 67.66570377349854 "[10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0573 17464 0.5 0
15 75.51436591148376 "[10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0573 17464 0.5 0
16 84.64889097213745 "[10038462, 10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0630 17464 0.5 0
17 92.71162009239197 "[10038462, 10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0630 17464 0.5 0
18 100.72587203979492 "[10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0687 17464 0.5 0
19 108.88343906402588 "[10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0687 17464 0.5 0
20 117.28390908241272 "[1003845992, 10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0744 17464 0.5 0
21 127.33805418014526 "[1003845992, 10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003845992, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0802 17464 0.5 0
22 137.52168703079224 "[1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003845992, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0916 17464 0.5 0
23 150.3682680130005 "[1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003845992, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.0973 17464 0.5 0
24 163.9782350063324 "[100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384628, 100384628, 100384628, 1003845992, 1003846286, 1003846286, 1003846286, 10038462862, 10038462862, 10038462862]" 0.1031 17464 0.5 0
