Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712994009.095799 [100389686] 0.0057 17464 1.0 0
1 1.3989582061767578 "[100389686, 100389686]" 0.0115 17464 1.0 0
2 2.8424301147460938 "[100389686, 100389686, 100389686]" 0.0172 17464 1.0 0
3 5.084146022796631 "[1003896, 100389686, 100389686, 100389686]" 0.0229 17464 1.0 0
4 8.921306848526001 "[10038, 1003896, 100389686, 10038966, 10038968, 100389686, 100389686]" 0.0401 17464 1.0 0
5 15.054721117019653 "[10038, 10038, 1003896, 100389686, 10038966, 10038968, 10038966, 10038968, 100389686, 100389686]" 0.0573 17464 1.0 0
6 18.197444915771484 "[10038, 10038, 10038, 1003896, 100389686, 10038966, 10038968, 10038966, 10038968, 100389686, 100389686]" 0.0573 17464 1.0 0
0 1712994030.379889 [10038462428] 0.0057 17464 0.9 0
1 1.1337487697601318 "[1003846242, 10038462428]" 0.0115 17464 0.9 0
2 2.6237740516662598 "[1003846242, 1003846242, 10038462428]" 0.0172 17464 0.9 0
3 4.875900030136108 "[1003846242, 1003846242, 1003846242, 10038462428]" 0.0229 17464 0.9 0
4 8.04688286781311 "[100384624, 1003846242, 1003846242, 1003846242, 10038462428]" 0.0286 17464 0.9 0
5 11.895156860351562 "[100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462428]" 0.0344 17464 0.9 0
6 16.563896894454956 "[100384624, 100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462428]" 0.0401 17464 0.9 0
7 22.497550010681152 "[10038462, 100384624, 100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462428, 10038462498, 100384624972]" 0.0573 17464 0.9 0
8 30.727210998535156 "[10038462, 10038462, 100384624, 100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.0744 17464 0.9 0
9 41.33185696601868 "[10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.0802 17464 0.9 0
10 52.007598876953125 "[1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.0859 17464 0.9 0
11 63.6722309589386 "[1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.0973 17464 0.9 0
12 78.9436469078064 "[1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1088 17464 0.9 0
13 94.95063495635986 "[100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1145 17464 0.9 0
14 110.01494097709656 "[100384, 100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1202 17464 0.9 0
15 127.37249183654785 "[100384, 100384, 100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1260 17464 0.9 0
16 145.04178404808044 "[10038, 100384, 100384, 100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1317 17464 0.9 0
17 162.9208369255066 "[10038, 10038, 100384, 100384, 100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1374 17464 0.9 0
18 169.32563281059265 "[10038, 10038, 10038, 100384, 100384, 100384, 1003846, 1003845992, 1003846, 1003845992, 10038462, 10038462, 10038462, 100384624, 100384624, 100384624, 1003845992, 1003846242, 1003846242, 1003846242, 10038462498, 100384624972, 10038462428, 10038462498, 100384624972]" 0.1374 17464 0.9 0
0 1712994205.64924 [100384374472] 0.0057 17464 0.8 0
1 1.1901190280914307 "[100384374472, 100384374472]" 0.0115 17464 0.8 0
2 2.671873092651367 "[100384374472, 100384374472]" 0.0115 17464 0.8 0
3 4.0961830615997314 "[100384374472, 100384374472, 100384374472]" 0.0172 17464 0.8 0
4 6.430388927459717 "[1003843744, 100384374472, 100384374472, 100384374472]" 0.0229 17464 0.8 0
5 9.30933690071106 "[1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0286 17464 0.8 0
6 13.224220991134644 "[1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0344 17464 0.8 0
7 17.900248765945435 "[100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0401 17464 0.8 0
8 23.31537103652954 "[100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0458 17464 0.8 0
9 29.332440853118896 "[100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0515 17464 0.8 0
10 35.955180168151855 "[100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0573 17464 0.8 0
11 43.51537489891052 "[100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0630 17464 0.8 0
12 51.40156078338623 "[100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0630 17464 0.8 0
13 59.93517017364502 "[100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0630 17464 0.8 0
14 68.3698000907898 "[100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0630 17464 0.8 0
15 77.21465492248535 "[100384, 100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0687 17464 0.8 0
16 85.96004295349121 "[10038, 100384, 100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0744 17464 0.8 0
17 94.94686913490295 "[10038, 10038, 100384, 100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0802 17464 0.8 0
18 104.62171196937561 "[10038, 10038, 100384, 100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0802 17464 0.8 0
19 108.35261297225952 "[10038, 10038, 10038, 100384, 100384, 100384, 100384374, 100384374, 100384374, 1003843744, 1003843744, 1003843744, 100384374472, 100384374472, 100384374472]" 0.0802 17464 0.8 0
0 1712994317.519187 [100384885492] 0.0057 17464 0.7 0
1 1.0246119499206543 "[100384885492, 100384885492]" 0.0115 17464 0.7 0
2 2.3733229637145996 "[100384885492, 100384885492]" 0.0115 17464 0.7 0
3 3.7179372310638428 "[100384885492, 100384885492, 100384885492]" 0.0172 17464 0.7 0
4 5.88872218132019 "[100384885492, 100384885492, 100384885492]" 0.0172 17464 0.7 0
5 7.914561986923218 "[100384885492, 100384885492, 100384885492]" 0.0172 17464 0.7 0
6 9.917086839675903 "[1003848854, 100384885492, 100384885492, 100384885492]" 0.0229 17464 0.7 0
7 12.614256143569946 "[1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0286 17464 0.7 0
8 16.14438509941101 "[1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0286 17464 0.7 0
9 19.663806915283203 "[1003848854, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0344 17464 0.7 0
10 23.802759170532227 "[10038488, 1003848854, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0401 17464 0.7 0
11 28.627844095230103 "[10038488, 10038488, 1003848854, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0458 17464 0.7 0
12 34.208471059799194 "[10038488, 10038488, 1003848854, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0458 17464 0.7 0
13 39.884790897369385 "[10038488, 10038488, 10038488, 1003848854, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0515 17464 0.7 0
14 46.64747500419617 "[1003848, 10038488, 10038488, 10038488, 1003848854, 100384888, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0630 17464 0.7 0
15 54.98439908027649 "[1003848, 1003848, 10038488, 10038488, 10038488, 100384888, 1003848854, 100384888, 1003848854, 1003848854, 100384885492, 100384885492, 100384885492]" 0.0744 17464 0.7 0
16 64.87640118598938 "[1003848, 1003848, 10038488, 10038488, 10038488, 100384888, 1003848854, 100384888, 1003848854, 1003848854, 1003848874, 1003848882, 100384885492, 100384885492, 100384885492]" 0.0859 17464 0.7 0
17 76.43956398963928 "[1003848, 1003848, 1003848, 10038488, 10038488, 10038488, 1003848882, 100384888, 1003848854, 100384888, 1003848854, 1003848854, 1003848874, 1003848882, 1003848884, 100384885492, 100384885492, 100384885492]" 0.1031 17464 0.7 0
