Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712426844.392898 [200361122] 0.0939 1065 1.0 0
1 1.073563814163208 "[200361122, 200361122]" 0.1878 1065 1.0 0
2 2.4011409282684326 "[200361122, 200361122, 200361122]" 0.2817 1065 1.0 0
3 4.8547539710998535 "[20036112, 200361122, 200361122, 200361122]" 0.3756 1065 1.0 0
4 7.906973838806152 "[20036112, 20036112, 200361122, 200361122, 200361122]" 0.4695 1065 1.0 0
5 11.374493837356567 "[20036112, 20036112, 20036112, 200361122, 200361122, 200361122]" 0.5634 1065 1.0 0
6 15.436940908432007 "[20036, 20036112, 20036112, 20036112, 200361122, 200361122, 200361122]" 0.6573 1065 1.0 0
0 1712426861.3630168 [20036146222] 0.0939 1065 0.9 0
1 1.017496109008789 "[200361462, 20036146222]" 0.1878 1065 0.9 0
2 2.8295490741729736 "[2003614, 200361462, 20036146222, 2003614622, 2003614624]" 0.4695 1065 0.9 0
3 7.038819074630737 "[20036, 2003614, 200361462, 20036146, 20036148, 20036146222, 2003614622, 2003614622, 2003614624, 2003614624]" 0.9390 1065 0.9 0
0 1712426870.5661561 [200361194] 0.0939 1065 0.8 0
1 1.0261318683624268 "[20036, 200361194]" 0.1878 1065 0.8 0
2 2.357104778289795 "[20036, 20036, 200361194]" 0.2817 1065 0.8 0
3 4.412951946258545 "[20036, 20036, 200361194]" 0.2817 1065 0.8 0
4 5.519841909408569 "[20036, 20036, 20036, 200361194]" 0.2817 1065 0.8 0
0 1712426876.964152 [200361444] 0.0939 1065 0.7 0
1 1.0134849548339844 [200361444] 0.0939 1065 0.7 0
2 1.6985259056091309 "[200361444, 200361444]" 0.1878 1065 0.7 0
3 3.0315639972686768 "[20036144, 200361444, 200361444]" 0.2817 1065 0.7 0
4 5.035211086273193 "[20036144, 20036144, 200361444, 200361444]" 0.3756 1065 0.7 0
5 7.683326005935669 "[20036144, 20036144, 20036144, 200361444, 200361444]" 0.4695 1065 0.7 0
6 10.975578784942627 "[20036144, 20036144, 20036144, 200361444, 200361444]" 0.4695 1065 0.7 0
7 14.320649862289429 "[20036144, 20036144, 20036144, 200361444, 200361444]" 0.4695 1065 0.7 0
8 17.657145738601685 "[20036144, 20036144, 20036144, 200361444, 200361444]" 0.4695 1065 0.7 0
9 20.970138788223267 "[2003614, 20036144, 20036144, 20036144, 200361444, 200361444]" 0.5634 1065 0.7 0
10 24.991772890090942 "[2003614, 20036144, 20036144, 20036144, 200361444, 200361444]" 0.5634 1065 0.7 0
11 29.0293607711792 "[2003614, 20036144, 20036144, 20036144, 200361444, 200361444]" 0.5634 1065 0.7 0
12 33.04666805267334 "[2003614, 2003614, 20036144, 20036144, 20036144, 200361444, 200361444]" 0.6573 1065 0.7 0
0 1712426911.562746 [200362292] 0.0939 1065 0.6 0
1 1.0232501029968262 "[200362, 200362292]" 0.1878 1065 0.6 0
2 2.819453001022339 "[20036, 200362, 200362292]" 0.2817 1065 0.6 0
3 5.2258899211883545 "[20036, 20036, 200362, 200362292, 2003624]" 0.4695 1065 0.6 0
4 9.016825914382935 "[20036, 20036, 200362, 200362292, 2003622, 2003624, 2003624]" 0.6573 1065 0.6 0
0 1712426922.134038 [200361184] 0.0939 1065 0.5 0
1 1.0320961475372314 "[200361184, 200361184]" 0.1878 1065 0.5 0
2 2.3674139976501465 "[200361184, 200361184]" 0.1878 1065 0.5 0
3 3.7243189811706543 "[20036118, 200361184, 200361184]" 0.2817 1065 0.5 0
4 5.75487494468689 "[20036118, 200361184, 200361184]" 0.2817 1065 0.5 0
5 7.75963020324707 "[20036118, 200361184, 200361184]" 0.2817 1065 0.5 0
6 9.743328094482422 "[20036118, 200361184, 200361184]" 0.2817 1065 0.5 0
7 11.756030082702637 "[20036118, 20036118, 200361184, 200361184]" 0.3756 1065 0.5 0
8 14.438938856124878 "[20036118, 20036118, 200361184, 200361184]" 0.3756 1065 0.5 0
9 17.127649068832397 "[20036118, 20036118, 20036118, 200361184, 200361184]" 0.4695 1065 0.5 0
10 20.479614973068237 "[20036118, 20036118, 20036118, 200361184, 200361184]" 0.4695 1065 0.5 0
11 23.82915687561035 "[20036118, 20036118, 20036118, 200361184, 200361184]" 0.4695 1065 0.5 0
12 27.191807985305786 "[20036, 20036118, 20036118, 20036118, 200361184, 200361184]" 0.5634 1065 0.5 0
13 31.233067989349365 "[20036, 20036, 20036118, 20036118, 20036118, 200361184, 200361184]" 0.6573 1065 0.5 0
0 1712426954.914455 [200362292] 0.0939 1065 0.4 0
