Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712940223.149893 [200361188] 0.0939 1065 1.0 0
1 1.1273508071899414 "[20036118, 200361188]" 0.1878 1065 1.0 0
2 2.429054021835327 "[20036118, 20036118, 200361188]" 0.2817 1065 1.0 0
3 4.5274598598480225 "[20036118, 20036118, 20036118, 200361188]" 0.3756 1065 1.0 0
4 7.5345330238342285 "[20036, 20036118, 20036118, 20036118, 200361188]" 0.4695 1065 1.0 0
5 11.12888789176941 "[20036, 20036, 20036118, 20036118, 20036118, 200361188]" 0.5634 1065 1.0 0
6 13.221710920333862 "[20036, 20036, 20036, 20036118, 20036118, 20036118, 200361188]" 0.5634 1065 1.0 0
0 1712940237.8897002 [2003612422] 0.0939 1065 0.9 0
1 1.0193967819213867 "[2003612422, 2003612422]" 0.1878 1065 0.9 0
2 2.3435215950012207 "[20036124, 2003612422, 2003612422]" 0.2817 1065 0.9 0
3 4.765257835388184 "[2003612, 20036124, 2003612422, 200361242, 200361244, 2003612422]" 0.5634 1065 0.9 0
4 9.121811866760254 "[2003612, 2003612, 20036124, 2003612422, 200361242, 200361242, 200361244, 200361244, 2003612422]" 0.8451 1065 0.9 0
0 1712940248.9248278 [20036118] 0.0939 1065 0.8 0
1 0.995537281036377 "[20036118, 20036118]" 0.1878 1065 0.8 0
2 2.265411138534546 "[20036118, 20036118]" 0.1878 1065 0.8 0
3 3.5644123554229736 "[20036118, 20036118]" 0.1878 1065 0.8 0
4 4.844677209854126 "[20036, 20036118, 20036118]" 0.2817 1065 0.8 0
5 6.756247043609619 "[20036, 20036, 20036118, 20036118]" 0.3756 1065 0.8 0
6 8.048457384109497 "[20036, 20036, 20036, 20036118, 20036118]" 0.3756 1065 0.8 0
0 1712940258.067531 [200361142] 0.0939 1065 0.7 0
1 0.9750819206237793 [200361142] 0.0939 1065 0.7 0
2 1.6080408096313477 [200361142] 0.0939 1065 0.7 0
3 2.244849920272827 "[20036114, 200361142]" 0.1878 1065 0.7 0
