Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712422469.10247 [2005432634] 0.0183 5454 1.0 0
1 1.436819076538086 "[2005432634, 2005432634]" 0.0367 5454 1.0 0
2 3.0536351203918457 "[2005432634, 2005432634, 2005432634]" 0.0550 5454 1.0 0
3 5.469225168228149 "[20054326, 2005432634, 2005432634, 2005432634]" 0.0733 5454 1.0 0
4 8.703885078430176 "[20054326, 20054326, 2005432634, 2005432634, 2005432634]" 0.0917 5454 1.0 0
5 12.611264944076538 "[20054326, 20054326, 20054326, 2005432634, 2005432634, 2005432634]" 0.1100 5454 1.0 0
6 17.700803995132446 "[2005432, 20054326, 20054326, 20054326, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.1650 5454 1.0 0
7 25.17255997657776 "[2005432, 2005432, 20054326, 20054326, 20054326, 200543266, 200543268, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.2200 5454 1.0 0
8 35.233120918273926 "[2005432, 2005432, 2005432, 20054326, 20054326, 20054326, 200543266, 200543268, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.2384 5454 1.0 0
9 45.36868500709534 "[20054, 2005432, 2005432, 2005432, 20054326, 20054326, 20054326, 200543266, 200543268, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.2567 5454 1.0 0
10 57.023391246795654 "[20054, 20054, 2005432, 2005432, 2005432, 20054326, 20054326, 20054326, 200543266, 200543268, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.2750 5454 1.0 0
11 61.23516893386841 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 20054326, 20054326, 20054326, 200543266, 200543268, 2005432634, 200543266, 200543268, 2005432634, 2005432634]" 0.2750 5454 1.0 0
0 1712422534.194138 [2005432772] 0.0183 5454 0.9 0
1 1.2147819995880127 "[2005432, 2005432772]" 0.0367 5454 0.9 0
2 2.775843858718872 "[2005432, 2005432, 2005432772]" 0.0550 5454 0.9 0
3 4.912515878677368 "[2005432, 2005432, 2005432, 2005432772]" 0.0733 5454 0.9 0
4 7.80292010307312 "[20054, 2005432, 2005432, 2005432, 2005432772]" 0.0917 5454 0.9 0
5 11.356880903244019 "[20054, 20054, 2005432, 2005432, 2005432, 2005432772]" 0.1100 5454 0.9 0
6 13.347568988800049 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 2005432772]" 0.1100 5454 0.9 0
0 1712422549.4693272 [20054522] 0.0183 5454 0.8 0
1 1.3099427223205566 [20054522] 0.0183 5454 0.8 0
2 2.1297128200531006 "[20054522, 20054522]" 0.0367 5454 0.8 0
3 3.9923698902130127 "[20054522, 20054522, 20054522]" 0.0550 5454 0.8 0
4 6.714692831039429 "[2005452, 20054522, 20054522, 20054522]" 0.0733 5454 0.8 0
5 10.431391954421997 "[2005452, 2005452, 20054522, 20054522, 20054522]" 0.0917 5454 0.8 0
6 14.343687772750854 "[2005452, 2005452, 20054522, 20054522, 20054522]" 0.0917 5454 0.8 0
7 18.442514896392822 "[2005452, 2005452, 2005452, 20054522, 20054522, 20054522]" 0.1100 5454 0.8 0
8 23.127607583999634 "[20054, 2005452, 2005452, 2005452, 20054522, 20054522, 20054522]" 0.1283 5454 0.8 0
9 29.191603899002075 "[20054, 2005452, 2005452, 2005452, 20054522, 20054522, 20054522]" 0.1283 5454 0.8 0
10 35.23204779624939 "[20054, 20054, 2005452, 2005452, 2005452, 20054522, 20054522, 20054522]" 0.1467 5454 0.8 0
11 38.05471897125244 "[20054, 20054, 20054, 2005452, 2005452, 2005452, 20054522, 20054522, 20054522]" 0.1467 5454 0.8 0
0 1712422589.811229 [2005433244] 0.0183 5454 0.7 0
1 1.7884740829467773 "[2005433244, 2005433244]" 0.0367 5454 0.7 0
2 4.188760995864868 "[2005433244, 2005433244, 2005433244]" 0.0550 5454 0.7 0
3 6.930455923080444 "[200543324, 2005433244, 2005433244, 2005433244]" 0.0733 5454 0.7 0
4 11.364175081253052 "[200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.0917 5454 0.7 0
5 15.524868965148926 "[200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1100 5454 0.7 0
6 21.339781999588013 "[20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1283 5454 0.7 0
7 27.9841890335083 "[20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1283 5454 0.7 0
8 33.803877115249634 "[20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1467 5454 0.7 0
9 40.72245502471924 "[20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1467 5454 0.7 0
10 47.793153047561646 "[20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1650 5454 0.7 0
11 56.8514301776886 "[20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1650 5454 0.7 0
12 64.82555317878723 "[20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1650 5454 0.7 0
13 72.51766896247864 "[20054, 20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.1834 5454 0.7 0
14 81.37662887573242 "[20054, 20054, 20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.2017 5454 0.7 0
15 84.55414605140686 "[20054, 20054, 20054, 20054332, 20054332, 20054332, 200543324, 200543324, 200543324, 2005433244, 2005433244, 2005433244]" 0.2017 5454 0.7 0
0 1712422677.125534 [2005433542] 0.0183 5454 0.6 0
1 1.6409728527069092 [2005433542] 0.0183 5454 0.6 0
2 2.487751007080078 [2005433542] 0.0183 5454 0.6 0
3 3.391129970550537 [2005433542] 0.0183 5454 0.6 0
4 4.1444408893585205 "[200543354, 2005433542]" 0.0367 5454 0.6 0
5 5.768267869949341 "[200543354, 200543354, 2005433542]" 0.0550 5454 0.6 0
6 8.374614953994751 "[200543354, 200543354, 200543354, 2005433542]" 0.0733 5454 0.6 0
7 11.782216787338257 "[20054, 200543354, 200543354, 200543354, 2005433542]" 0.0917 5454 0.6 0
8 16.34714102745056 "[20054, 200543354, 200543354, 200543354, 2005433542]" 0.0917 5454 0.6 0
9 20.954954862594604 "[20054, 20054, 200543354, 200543354, 200543354, 2005433542]" 0.1100 5454 0.6 0
10 26.526578903198242 "[20054, 20054, 200543354, 200543354, 200543354, 2005433542]" 0.1100 5454 0.6 0
11 28.747995138168335 "[20054, 20054, 20054, 200543354, 200543354, 200543354, 2005433542]" 0.1100 5454 0.6 0
