Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712997509.663198 [200543372] 0.0183 5454 1.0 0
1 1.2648351192474365 "[200543372, 200543372]" 0.0367 5454 1.0 0
2 2.6755549907684326 "[200543372, 200543372, 200543372]" 0.0550 5454 1.0 0
3 4.837392091751099 "[20054, 200543372, 200543372, 200543372]" 0.0733 5454 1.0 0
4 7.575246095657349 "[20054, 20054, 200543372, 200543372, 200543372]" 0.0917 5454 1.0 0
5 9.334709882736206 "[20054, 20054, 20054, 200543372, 200543372, 200543372]" 0.0917 5454 1.0 0
0 1712997520.899381 [20054751522] 0.0183 5454 0.9 0
1 1.3341069221496582 [20054751522] 0.0183 5454 0.9 0
2 2.0495500564575195 "[20054751522, 20054751522]" 0.0367 5454 0.9 0
3 3.4232242107391357 "[2005475152, 20054751522, 20054751522]" 0.0550 5454 0.9 0
4 5.466565847396851 "[2005475152, 2005475152, 20054751522, 20054751522]" 0.0733 5454 0.9 0
5 8.112723112106323 "[2005475152, 2005475152, 2005475152, 20054751522, 20054751522]" 0.0917 5454 0.9 0
6 11.99312686920166 "[20054, 2005475152, 2005475152, 2005475152, 20054751522, 20054751522]" 0.1100 5454 0.9 0
7 16.37601613998413 "[20054, 20054, 2005475152, 2005475152, 2005475152, 20054751522, 20054751522]" 0.1283 5454 0.9 0
8 19.26741313934326 "[20054, 20054, 20054, 2005475152, 2005475152, 2005475152, 20054751522, 20054751522]" 0.1283 5454 0.9 0
0 1712997542.783415 [200543646] 0.0183 5454 0.8 0
1 1.0602350234985352 [200543646] 0.0183 5454 0.8 0
2 1.7917518615722656 "[200543646, 200543646]" 0.0367 5454 0.8 0
3 3.257307767868042 "[200543646, 200543646]" 0.0367 5454 0.8 0
4 5.074790954589844 "[200543646, 200543646, 200543646]" 0.0550 5454 0.8 0
5 7.320878028869629 "[200543646, 200543646, 200543646]" 0.0550 5454 0.8 0
