Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712829706.75186 [200434156] 0.0012 82307 1.0 0
1 1.1703071594238281 "[200434156, 200434156]" 0.0024 82307 1.0 0
2 2.694871187210083 "[200434156, 200434156, 200434156]" 0.0036 82307 1.0 0
3 4.8179731369018555 "[200434, 200434156, 200434156, 200434156]" 0.0049 82307 1.0 0
4 7.602218151092529 "[200434, 200434, 200434156, 200434156, 200434156]" 0.0061 82307 1.0 0
5 11.03110408782959 "[200434, 200434, 200434, 200434156, 200434156, 200434156]" 0.0073 82307 1.0 0
6 15.440629005432129 "[2004, 200434, 200434, 200434, 200434156, 200434156, 200434156]" 0.0085 82307 1.0 0
7 20.66292715072632 "[2004, 2004, 200434, 200434, 200434, 200434156, 200434156, 200434156]" 0.0097 82307 1.0 0
8 23.00451111793518 "[2004, 2004, 2004, 200434, 200434, 200434, 200434156, 200434156, 200434156]" 0.0097 82307 1.0 0
0 1712829731.942955 [2004341574] 0.0012 82307 0.9 0
1 1.1403319835662842 "[2004341574, 2004341574]" 0.0024 82307 0.9 0
2 2.649332046508789 "[200434, 2004341574, 2004341574]" 0.0036 82307 0.9 0
3 4.874574184417725 "[200434, 200434, 2004341574, 2004341574]" 0.0049 82307 0.9 0
4 7.807025909423828 "[200434, 200434, 200434, 2004341574, 2004341574]" 0.0061 82307 0.9 0
5 11.566994905471802 "[2004, 200434, 200434, 200434, 2004341574, 2004341574]" 0.0073 82307 0.9 0
6 16.465644121170044 "[2004, 2004, 200434, 200434, 200434, 2004341574, 2004341574]" 0.0085 82307 0.9 0
7 18.580053091049194 "[2004, 2004, 2004, 200434, 200434, 200434, 2004341574, 2004341574]" 0.0085 82307 0.9 0
0 1712829752.415458 [2004341828] 0.0012 82307 0.8 0
1 1.0949242115020752 "[2004341828, 2004341828]" 0.0024 82307 0.8 0
2 2.5919859409332275 "[200434182, 2004341828, 2004341828]" 0.0036 82307 0.8 0
3 5.131088018417358 "[200434182, 2004341828, 2004341828]" 0.0036 82307 0.8 0
4 7.556581020355225 "[200434182, 200434182, 2004341828, 2004341828]" 0.0049 82307 0.8 0
5 10.93234896659851 "[200434182, 200434182, 200434182, 2004341828, 2004341828]" 0.0061 82307 0.8 0
6 15.42452621459961 "[20043418, 200434182, 200434182, 200434182, 2004341828, 2004341828]" 0.0073 82307 0.8 0
7 20.142159938812256 "[20043418, 20043418, 200434182, 200434182, 200434182, 2004341828, 2004341828]" 0.0085 82307 0.8 0
8 25.415836095809937 "[20043418, 20043418, 20043418, 200434182, 200434182, 200434182, 2004341828, 2004341828]" 0.0097 82307 0.8 0
9 31.33315420150757 "[200434, 20043418, 20043418, 20043418, 200434182, 200434182, 200434182, 2004341828, 2004341828]" 0.0109 82307 0.8 0
