Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712827442.163997 [100349997618] 0.1626 615 1.0 0
1 1.0585541725158691 "[100349997618, 100349997618]" 0.3252 615 1.0 0
2 2.5132200717926025 "[100349997618, 100349997618, 100349997618]" 0.4878 615 1.0 0
3 4.7329652309417725 "[1003499976, 100349997618, 100349997618, 100349997618]" 0.6504 615 1.0 0
0 1712827447.8184462 [1003499988] 0.1626 615 0.9 0
1 1.0956027507781982 "[100349998, 1003499988]" 0.3252 615 0.9 0
2 2.470951795578003 "[100349998, 100349998, 1003499988]" 0.4878 615 0.9 0
3 4.625856876373291 "[100349998, 100349998, 1003499988]" 0.4878 615 0.9 0
4 6.754264831542969 "[100349998, 100349998, 1003499988]" 0.4878 615 0.9 0
5 8.934562683105469 "[100349998, 100349998, 100349998, 1003499988]" 0.6504 615 0.9 0
0 1712827457.793259 [100349997618] 0.1626 615 0.8 0
1 1.140336036682129 "[1003499976, 100349997618]" 0.3252 615 0.8 0
2 2.680748224258423 "[1003499976, 1003499976, 100349997618]" 0.4878 615 0.8 0
3 5.054746150970459 "[1003499976, 1003499976, 1003499976, 100349997618]" 0.6504 615 0.8 0
0 1712827463.859724 [10034999784] 0.1626 615 0.7 0
1 1.3809640407562256 "[10034999784, 10034999784]" 0.3252 615 0.7 0
2 2.926162004470825 "[10034999784, 10034999784, 10034999784]" 0.4878 615 0.7 0
3 5.223905086517334 "[1003499978, 10034999784, 10034999784, 10034999784]" 0.6504 615 0.7 0
0 1712827470.136229 [1003499976732] 0.1626 615 0.6 0
1 1.8181588649749756 [1003499976732] 0.1626 615 0.6 0
2 2.6323049068450928 "[1003499976, 1003499976732]" 0.3252 615 0.6 0
3 4.160149812698364 "[1003499976, 1003499976732]" 0.3252 615 0.6 0
4 5.898784875869751 "[1003499976, 1003499976, 1003499976732]" 0.4878 615 0.6 0
5 8.602343082427979 "[1003499976, 1003499976, 1003499976732]" 0.4878 615 0.6 0
6 11.592360973358154 "[1003499976, 1003499976, 1003499976732]" 0.4878 615 0.6 0
7 13.864046812057495 "[1003499976, 1003499976, 1003499976, 1003499976732]" 0.6504 615 0.6 0
0 1712827484.920595 [100349997842] 0.1626 615 0.5 0
1 1.0485351085662842 [100349997842] 0.1626 615 0.5 0
2 1.7607481479644775 [100349997842] 0.1626 615 0.5 0
3 2.443516969680786 "[100349997842, 100349997842]" 0.3252 615 0.5 0
4 3.855102062225342 "[100349997842, 100349997842]" 0.3252 615 0.5 0
5 5.42958402633667 "[100349997842, 100349997842, 100349997842]" 0.4878 615 0.5 0
6 7.599555015563965 "[100349997842, 100349997842, 100349997842]" 0.4878 615 0.5 0
7 9.765039205551147 "[10034999784, 100349997842, 100349997842, 100349997842]" 0.6504 615 0.5 0
0 1712827495.924738 [100349997872] 0.1626 615 0.4 0
1 1.4505400657653809 [100349997872] 0.1626 615 0.4 0
