Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712828070.227731 [20022136] 0.0056 17804 1.0 0
1 1.2058570384979248 "[20022, 20022136]" 0.0112 17804 1.0 0
2 2.7162301540374756 "[20022, 20022, 20022136]" 0.0169 17804 1.0 0
3 4.741757869720459 "[20022, 20022, 20022, 20022136]" 0.0225 17804 1.0 0
4 7.7958598136901855 "[2002, 20022, 20022, 20022, 20022136, 200226, 200228]" 0.0393 17804 1.0 0
5 12.900277853012085 "[2002, 2002, 20022, 20022, 20022, 200226, 200228, 20022136, 200226, 200228]" 0.0562 17804 1.0 0
6 15.50479507446289 "[2002, 2002, 2002, 20022, 20022, 20022, 200226, 200228, 20022136, 200226, 200228]" 0.0562 17804 1.0 0
0 1712828088.13102 [20022138] 0.0056 17804 0.9 0
1 1.065640926361084 "[20022138, 20022138]" 0.0112 17804 0.9 0
2 2.5562260150909424 "[20022, 20022138, 20022138]" 0.0169 17804 0.9 0
3 4.5581018924713135 "[20022, 20022, 20022138, 20022138]" 0.0225 17804 0.9 0
4 7.167948961257935 "[20022, 20022, 20022, 20022138, 20022138]" 0.0281 17804 0.9 0
5 10.793345928192139 "[2002, 20022, 20022, 20022, 20022138, 200226, 200228, 20022138]" 0.0449 17804 0.9 0
6 16.3979709148407 "[2002, 2002, 20022, 20022, 20022, 200226, 200228, 20022138, 200226, 200228, 20022138]" 0.0618 17804 0.9 0
7 19.683929920196533 "[2002, 2002, 2002, 20022, 20022, 20022, 200226, 200228, 20022138, 200226, 200228, 20022138]" 0.0618 17804 0.9 0
0 1712828110.39244 [2002214] 0.0056 17804 0.8 0
1 0.9711790084838867 "[20022, 2002214]" 0.0112 17804 0.8 0
2 2.241811990737915 "[20022, 20022, 2002214]" 0.0169 17804 0.8 0
3 4.142446756362915 "[20022, 20022, 20022, 2002214]" 0.0225 17804 0.8 0
4 7.140627861022949 "[2002, 20022, 20022, 20022, 2002214, 200228]" 0.0337 17804 0.8 0
5 11.978034019470215 "[2002, 20022, 20022, 20022, 200228, 2002214, 200226, 200228]" 0.0449 17804 0.8 0
6 17.86493682861328 "[2002, 2002, 20022, 20022, 20022, 200226, 200228, 2002214, 200226, 200228]" 0.0562 17804 0.8 0
