Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712832412.576771 [100384446] 0.0057 17464 1.0 0
1 1.14080810546875 "[100384446, 100384446]" 0.0115 17464 1.0 0
2 2.590909957885742 "[100384446, 100384446, 100384446]" 0.0172 17464 1.0 0
3 4.607149839401245 "[10038444, 100384446, 100384446, 100384446]" 0.0229 17464 1.0 0
4 7.235493898391724 "[10038444, 10038444, 100384446, 100384446, 100384446]" 0.0286 17464 1.0 0
5 10.688626050949097 "[10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0344 17464 1.0 0
6 14.9310941696167 "[1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0401 17464 1.0 0
7 19.73774003982544 "[1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0458 17464 1.0 0
8 25.250212907791138 "[1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0515 17464 1.0 0
9 31.235458850860596 "[100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0573 17464 1.0 0
10 37.95145082473755 "[100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0630 17464 1.0 0
11 45.17998385429382 "[100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0687 17464 1.0 0
12 53.02619695663452 "[10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0744 17464 1.0 0
13 61.61435794830322 "[10038, 10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0802 17464 1.0 0
14 65.12563109397888 "[10038, 10038, 10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 100384446, 100384446, 100384446]" 0.0802 17464 1.0 0
0 1712832480.966673 [1003844474] 0.0057 17464 0.9 0
1 1.0013742446899414 "[1003844474, 1003844474]" 0.0115 17464 0.9 0
2 2.287736177444458 "[10038444, 1003844474, 1003844474]" 0.0172 17464 0.9 0
3 4.2337751388549805 "[10038444, 10038444, 1003844474, 1003844474]" 0.0229 17464 0.9 0
4 6.908066987991333 "[10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0286 17464 0.9 0
5 10.18369722366333 "[1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0344 17464 0.9 0
6 14.096221208572388 "[1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0401 17464 0.9 0
7 18.62128520011902 "[1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0458 17464 0.9 0
8 23.941277265548706 "[100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0515 17464 0.9 0
9 30.25384020805359 "[100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0573 17464 0.9 0
10 37.05671811103821 "[100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0630 17464 0.9 0
11 44.269814014434814 "[10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0687 17464 0.9 0
12 52.41722106933594 "[10038, 10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0744 17464 0.9 0
13 55.963828325271606 "[10038, 10038, 10038, 100384, 100384, 100384, 1003844, 1003844, 1003844, 10038444, 10038444, 10038444, 1003844474, 1003844474]" 0.0744 17464 0.9 0
0 1712832540.278147 [10038444886] 0.0057 17464 0.8 0
1 1.5382049083709717 "[1003844488, 10038444886, 100384448862, 100384448864]" 0.0229 17464 0.8 0
2 4.734205007553101 "[1003844488, 1003844488, 10038444886, 100384448862, 100384448862, 100384448864, 100384448864]" 0.0401 17464 0.8 0
3 10.122582197189331 "[1003844488, 1003844488, 10038444886, 10038444886, 100384448862, 100384448862, 100384448864, 100384448864]" 0.0458 17464 0.8 0
4 16.237010955810547 "[1003844488, 1003844488, 1003844488, 10038444886, 10038444886, 10038444886, 100384448862, 100384448862, 100384448864, 100384448864]" 0.0573 17464 0.8 0
5 23.97441792488098 "[100384448, 1003844488, 1003844488, 1003844488, 10038444886, 10038444886, 10038444886, 100384448862, 100384448862, 100384448864, 100384448864, 100384448872]" 0.0687 17464 0.8 0
6 32.869235038757324 "[100384448, 100384448, 1003844488, 1003844488, 1003844488, 10038444886, 100384448872, 10038444886, 10038444886, 10038444888, 100384448862, 100384448862, 100384448864, 100384448864, 100384448872]" 0.0859 17464 0.8 0
7 44.3115439414978 "[100384448, 100384448, 100384448, 1003844488, 1003844488, 1003844488, 10038444886, 10038444888, 100384448872, 10038444886, 10038444886, 10038444888, 100384448862, 100384448862, 100384448864, 100384448864, 100384448872]" 0.0973 17464 0.8 0
8 56.72460699081421 "[100384448, 100384448, 100384448, 1003844488, 1003844488, 1003844488, 10038444886, 10038444888, 100384448872, 10038444886, 10038444886, 10038444888, 100384448862, 100384448862, 100384448864, 100384448864, 100384448872]" 0.0973 17464 0.8 0
9 69.04719591140747 "[100384448, 100384448, 100384448, 1003844488, 1003844488, 1003844488, 10038444886, 10038444888, 100384448872, 10038444886, 10038444886, 10038444888, 100384448862, 100384448862, 100384448864, 100384448864, 100384448872]" 0.0973 17464 0.8 0
