Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712823292.966048 [20036118] 0.0939 1065 1.0 0
1 1.2778480052947998 "[20036118, 20036118]" 0.1878 1065 1.0 0
2 2.8125228881835938 "[20036, 20036118, 20036118]" 0.2817 1065 1.0 0
3 4.910326957702637 "[20036, 20036, 20036118, 20036118]" 0.3756 1065 1.0 0
4 6.494149923324585 "[20036, 20036, 20036, 20036118, 20036118]" 0.3756 1065 1.0 0
0 1712823300.7103848 [20036168] 0.0939 1065 0.9 0
1 1.3580100536346436 "[20036168, 20036168]" 0.1878 1065 0.9 0
2 2.793044328689575 "[2003616, 20036168, 20036168]" 0.2817 1065 0.9 0
3 4.8593831062316895 "[2003616, 2003616, 20036168, 20036168]" 0.3756 1065 0.9 0
4 7.501155138015747 "[2003616, 2003616, 2003616, 20036168, 20036168]" 0.4695 1065 0.9 0
5 11.799492120742798 "[20036, 2003616, 2003616, 2003616, 20036168, 20036168, 200361678]" 0.6573 1065 0.9 0
0 1712823314.403466 [200361362] 0.0939 1065 0.8 0
1 1.0426380634307861 "[200361362, 200361362]" 0.1878 1065 0.8 0
2 2.5299060344696045 "[20036136, 200361362, 200361362]" 0.2817 1065 0.8 0
3 4.73285698890686 "[20036136, 20036136, 200361362, 200361362]" 0.3756 1065 0.8 0
4 7.330091953277588 "[20036136, 20036136, 20036136, 200361362, 200361362]" 0.4695 1065 0.8 0
5 10.500416994094849 "[20036, 20036136, 20036136, 20036136, 200361362, 200361362]" 0.5634 1065 0.8 0
6 14.328538179397583 "[20036, 20036, 20036136, 20036136, 20036136, 200361362, 200361362]" 0.6573 1065 0.8 0
0 1712823330.231106 [200361712] 0.0939 1065 0.7 0
1 0.9985339641571045 [200361712] 0.0939 1065 0.7 0
2 1.6738381385803223 [200361712] 0.0939 1065 0.7 0
3 2.330779790878296 [200361712] 0.0939 1065 0.7 0
4 2.982210159301758 "[20036, 200361712]" 0.1878 1065 0.7 0
5 4.261318922042847 "[20036, 20036, 200361712]" 0.2817 1065 0.7 0
6 5.295835971832275 "[20036, 20036, 20036, 200361712]" 0.2817 1065 0.7 0
0 1712823336.388986 [200361788] 0.0939 1065 0.6 0
1 0.9844486713409424 "[200361788, 200361788]" 0.1878 1065 0.6 0
2 2.244417905807495 "[200361788, 200361788, 200361788]" 0.2817 1065 0.6 0
3 4.108860969543457 "[20036178, 200361788, 200361788, 200361788]" 0.3756 1065 0.6 0
4 6.653589725494385 "[20036178, 20036178, 200361788, 200361788, 200361788]" 0.4695 1065 0.6 0
5 9.880338907241821 "[20036178, 20036178, 20036178, 200361788, 200361788, 200361788]" 0.5634 1065 0.6 0
6 13.68662691116333 "[20036, 20036178, 20036178, 20036178, 200361788, 200361788, 200361788]" 0.6573 1065 0.6 0
0 1712823351.582261 [2003617892] 0.0939 1065 0.5 0
1 0.9597809314727783 "[2003617892, 2003617892]" 0.1878 1065 0.5 0
2 2.2093708515167236 "[2003617892, 2003617892]" 0.1878 1065 0.5 0
3 3.498198986053467 "[2003617892, 2003617892, 2003617892]" 0.2817 1065 0.5 0
4 5.436047077178955 "[2003617892, 2003617892, 2003617892]" 0.2817 1065 0.5 0
5 7.362309694290161 "[2003617892, 2003617892, 2003617892]" 0.2817 1065 0.5 0
6 9.277077913284302 "[20036178, 2003617892, 2003617892, 2003617892]" 0.3756 1065 0.5 0
7 11.8606538772583 "[20036178, 20036178, 2003617892, 2003617892, 2003617892]" 0.4695 1065 0.5 0
8 15.115357875823975 "[20036178, 20036178, 2003617892, 2003617892, 2003617892]" 0.4695 1065 0.5 0
9 18.375674962997437 "[20036178, 20036178, 20036178, 2003617892, 2003617892, 2003617892]" 0.5634 1065 0.5 0
10 22.252849817276 "[20036, 20036178, 20036178, 20036178, 2003617892, 2003617892, 2003617892]" 0.6573 1065 0.5 0
0 1712823375.341695 [2003616262] 0.0939 1065 0.4 0
1 0.999241828918457 "[200361626, 2003616262]" 0.1878 1065 0.4 0
2 2.2991459369659424 "[200361626, 2003616262]" 0.1878 1065 0.4 0
3 3.6549768447875977 "[200361626, 2003616262]" 0.1878 1065 0.4 0
4 5.2909181118011475 "[200361626, 2003616262]" 0.1878 1065 0.4 0
5 6.611363887786865 "[200361626, 2003616262]" 0.1878 1065 0.4 0
6 8.12155795097351 "[200361626, 2003616262]" 0.1878 1065 0.4 0
7 9.450329065322876 "[200361626, 200361626, 2003616262]" 0.2817 1065 0.4 0
8 11.586172819137573 "[200361626, 200361626, 2003616262]" 0.2817 1065 0.4 0
9 13.528934001922607 "[200361626, 200361626, 200361626, 2003616262]" 0.3756 1065 0.4 0
10 16.161000967025757 "[200361626, 200361626, 200361626, 2003616262]" 0.3756 1065 0.4 0
