Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712842250.9768362 [2005432736] 0.0183 5454 1.0 0
1 1.1296207904815674 "[2005432, 2005432736]" 0.0367 5454 1.0 0
2 2.620680809020996 "[2005432, 2005432, 2005432736]" 0.0550 5454 1.0 0
3 4.651300668716431 "[2005432, 2005432, 2005432, 2005432736]" 0.0733 5454 1.0 0
4 7.598643779754639 "[20054, 2005432, 2005432, 2005432, 2005432736]" 0.0917 5454 1.0 0
5 11.980558633804321 "[20054, 20054, 2005432, 2005432, 2005432, 2005432736]" 0.1100 5454 1.0 0
6 13.996359825134277 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 2005432736]" 0.1100 5454 1.0 0
0 1712842266.712516 [2005432952] 0.0183 5454 0.9 0
1 1.1519179344177246 "[2005432952, 2005432952]" 0.0367 5454 0.9 0
2 2.651366949081421 "[2005432, 2005432952, 2005432952]" 0.0550 5454 0.9 0
3 5.23858904838562 "[2005432, 2005432952, 2005432952]" 0.0550 5454 0.9 0
4 7.392937898635864 "[2005432, 2005432, 2005432952, 2005432952]" 0.0733 5454 0.9 0
5 10.342957735061646 "[2005432, 2005432, 2005432, 2005432952, 2005432952]" 0.0917 5454 0.9 0
6 14.239287853240967 "[20054, 2005432, 2005432, 2005432, 2005432952, 2005432952]" 0.1100 5454 0.9 0
7 18.58404779434204 "[20054, 20054, 2005432, 2005432, 2005432, 2005432952, 2005432952]" 0.1283 5454 0.9 0
8 20.953043937683105 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 2005432952, 2005432952]" 0.1283 5454 0.9 0
0 1712842289.6329641 [2005432292] 0.0183 5454 0.8 0
1 1.0955960750579834 "[20054322, 2005432292]" 0.0367 5454 0.8 0
2 2.5320568084716797 "[20054322, 2005432292]" 0.0367 5454 0.8 0
3 3.9745826721191406 "[20054322, 2005432292]" 0.0367 5454 0.8 0
4 5.415605068206787 "[20054322, 20054322, 2005432292]" 0.0550 5454 0.8 0
5 7.558486700057983 "[20054322, 20054322, 20054322, 2005432292]" 0.0733 5454 0.8 0
6 10.416528940200806 "[2005432, 20054322, 20054322, 20054322, 2005432292]" 0.0917 5454 0.8 0
7 14.174793004989624 "[2005432, 20054322, 20054322, 20054322, 2005432292]" 0.0917 5454 0.8 0
8 17.850690841674805 "[2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1100 5454 0.8 0
9 22.32406497001648 "[2005432, 2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1283 5454 0.8 0
10 27.353275775909424 "[20054, 2005432, 2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1467 5454 0.8 0
11 33.116923809051514 "[20054, 20054, 2005432, 2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1650 5454 0.8 0
12 39.76132082939148 "[20054, 20054, 2005432, 2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1650 5454 0.8 0
13 42.934072732925415 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 20054322, 20054322, 20054322, 2005432292]" 0.1650 5454 0.8 0
0 1712842335.42162 [2005436492] 0.0183 5454 0.7 0
1 1.521977186203003 [2005436492] 0.0183 5454 0.7 0
2 2.3160970211029053 "[2005436492, 2005436492]" 0.0367 5454 0.7 0
3 4.100671052932739 "[2005436492, 2005436492, 2005436492]" 0.0550 5454 0.7 0
4 6.978913068771362 "[20054364, 2005436492, 2005436492, 2005436492]" 0.0733 5454 0.7 0
5 9.960060119628906 "[20054364, 2005436492, 2005436492, 2005436492]" 0.0733 5454 0.7 0
6 12.892219305038452 "[20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.0917 5454 0.7 0
7 16.72509217262268 "[20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1100 5454 0.7 0
8 21.100184202194214 "[2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1283 5454 0.7 0
9 26.328859329223633 "[2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1283 5454 0.7 0
10 31.47788119316101 "[2005436, 2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1467 5454 0.7 0
11 37.402905225753784 "[2005436, 2005436, 2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1650 5454 0.7 0
12 43.96573209762573 "[20054, 2005436, 2005436, 2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.1834 5454 0.7 0
13 51.43523716926575 "[20054, 20054, 2005436, 2005436, 2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.2017 5454 0.7 0
14 54.65239715576172 "[20054, 20054, 20054, 2005436, 2005436, 2005436, 20054364, 20054364, 20054364, 2005436492, 2005436492, 2005436492]" 0.2017 5454 0.7 0
0 1712842393.112075 [2005432792] 0.0183 5454 0.6 0
1 1.1187787055969238 "[2005432792, 2005432792]" 0.0367 5454 0.6 0
2 2.560034990310669 "[2005432792, 2005432792]" 0.0367 5454 0.6 0
3 4.015646934509277 "[2005432792, 2005432792]" 0.0367 5454 0.6 0
4 5.393750905990601 "[2005432, 2005432792, 2005432792]" 0.0550 5454 0.6 0
5 7.430201053619385 "[2005432, 2005432792, 2005432792]" 0.0550 5454 0.6 0
6 10.072151899337769 "[2005432, 2005432792, 2005432792]" 0.0550 5454 0.6 0
7 12.150385856628418 "[2005432, 2005432, 2005432792, 2005432792]" 0.0733 5454 0.6 0
8 14.890822887420654 "[2005432, 2005432, 2005432792, 2005432792]" 0.0733 5454 0.6 0
9 17.66934585571289 "[2005432, 2005432, 2005432792, 2005432792]" 0.0733 5454 0.6 0
10 20.53923988342285 "[2005432, 2005432, 2005432, 2005432792, 2005432792]" 0.0917 5454 0.6 0
11 24.168625831604004 "[2005432, 2005432, 2005432, 2005432792, 2005432792]" 0.0917 5454 0.6 0
12 27.89245891571045 "[20054, 2005432, 2005432, 2005432, 2005432792, 2005432792]" 0.1100 5454 0.6 0
13 32.34969902038574 "[20054, 20054, 2005432, 2005432, 2005432, 2005432792, 2005432792]" 0.1283 5454 0.6 0
14 34.59542894363403 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 2005432792, 2005432792]" 0.1283 5454 0.6 0
0 1712842429.686916 [2005432734] 0.0183 5454 0.5 0
1 1.137955904006958 [2005432734] 0.0183 5454 0.5 0
2 1.927438735961914 "[2005432, 2005432734]" 0.0367 5454 0.5 0
3 3.384316921234131 "[2005432, 2005432, 2005432734]" 0.0550 5454 0.5 0
4 5.546709060668945 "[2005432, 2005432, 2005432, 2005432734]" 0.0733 5454 0.5 0
5 8.457200765609741 "[2005432, 2005432, 2005432, 2005432734]" 0.0733 5454 0.5 0
6 11.35153579711914 "[20054, 2005432, 2005432, 2005432, 2005432734]" 0.0917 5454 0.5 0
7 15.201039791107178 "[20054, 20054, 2005432, 2005432, 2005432, 2005432734]" 0.1100 5454 0.5 0
8 17.188776969909668 "[20054, 20054, 20054, 2005432, 2005432, 2005432, 2005432734]" 0.1100 5454 0.5 0
0 1712842448.690512 [200543262] 0.0183 5454 0.4 0
1 1.1008212566375732 "[200543262, 200543262]" 0.0367 5454 0.4 0
2 2.531886100769043 "[200543262, 200543262]" 0.0367 5454 0.4 0
3 3.984316110610962 "[20054326, 200543262, 200543262]" 0.0550 5454 0.4 0
4 6.659373044967651 "[20054326, 200543262, 200543262]" 0.0550 5454 0.4 0
5 9.035847187042236 "[20054326, 20054326, 200543262, 200543262]" 0.0733 5454 0.4 0
6 12.191007137298584 "[20054326, 20054326, 20054326, 200543262, 200543262]" 0.0917 5454 0.4 0
7 16.274861097335815 "[2005432, 20054326, 20054326, 20054326, 200543262, 200543262, 200543266, 200543268]" 0.1467 5454 0.4 0
8 22.80827522277832 "[2005432, 20054326, 20054326, 20054326, 200543262, 200543262, 200543266, 200543268]" 0.1467 5454 0.4 0
9 28.924896240234375 "[2005432, 2005432, 20054326, 20054326, 20054326, 200543262, 200543262, 200543266, 200543268]" 0.1650 5454 0.4 0
10 35.561903953552246 "[2005432, 2005432, 20054326, 20054326, 20054326, 200543262, 200543262, 200543268, 200543266, 200543268]" 0.1834 5454 0.4 0
11 42.8883318901062 "[2005432, 2005432, 20054326, 20054326, 20054326, 200543262, 200543262, 200543266, 200543268, 200543266, 200543268]" 0.2017 5454 0.4 0
