Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711713754.570241 "[10098, 100986]" 0.0660 1516 1.0 0
1 1711713756.540894 "[10098, 100986]" 0.0660 1516 0.9 0
1 1711713758.506525 "[10098, 100986]" 0.0660 1516 0.8 0
1 1711713760.588971 "[10098, 100986]" 0.0660 1516 0.7 0
1 1711713762.4549341 [100986] 0.0660 1516 0.6 0
2 1711713763.4549341 "[10098, 100986]" 0.0660 1516 0.6 0
1 1711713765.3637362 "[10098, 100986]" 0.0660 1516 0.5 0
1 1711713767.2201018 "[10098, 100986]" 0.0660 1516 0.4 0
1 1711713769.07319 [100986] 0.0660 1516 0.3 0
2 1711713770.07319 "[10098, 100986]" 0.0660 1516 0.3 0
1 1711713771.9531891 [100986] 0.0660 1516 0.2 0
2 1711713772.9531891 [100986] 0.0660 1516 0.2 0
3 1711713773.9531891 [100986] 0.0660 1516 0.2 0
4 1711713774.9531891 [100986] 0.0660 1516 0.2 0
5 1711713775.9531891 [100986] 0.0660 1516 0.2 0
6 1711713776.9531891 "[10098, 100986]" 0.0660 1516 0.2 0
1 1711713778.953588 "[10098, 100986]" 0.0660 1516 0.1 0
