Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711709861.895801 "[100486226, 100486226]" 0.0030 66735 1.0 0
2 1711709862.895801 "[10048622, 100486226, 100486226]" 0.0045 66735 1.0 0
3 1711709863.895801 "[10048622, 10048622, 100486226, 100486226]" 0.0060 66735 1.0 0
4 1711709864.895801 "[10048622, 10048622, 10048622, 100486226, 100486226]" 0.0075 66735 1.0 0
5 1711709865.895801 "[1004862, 10048622, 10048622, 10048622, 100486226, 100486226, 100486228]" 0.0105 66735 1.0 0
6 1711709866.895801 "[1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0135 66735 1.0 0
7 1711709867.895801 "[1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0150 66735 1.0 0
8 1711709868.895801 "[100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0165 66735 1.0 0
9 1711709869.895801 "[100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0180 66735 1.0 0
10 1711709870.895801 "[100486, 100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0195 66735 1.0 0
11 1711709871.895801 "[10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0210 66735 1.0 0
12 1711709872.895801 "[10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0225 66735 1.0 0
13 1711709873.895801 "[10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0240 66735 1.0 0
14 1711709874.895801 "[1004, 10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0240 66735 1.0 0
1 1711709975.580759 "[100486226, 100486226]" 0.0030 66735 0.9 0
2 1711709976.580759 "[10048622, 100486226, 100486226]" 0.0045 66735 0.9 0
3 1711709977.580759 "[10048622, 100486226, 100486226]" 0.0045 66735 0.9 0
4 1711709978.580759 "[10048622, 100486226, 100486226]" 0.0045 66735 0.9 0
5 1711709979.580759 "[10048622, 10048622, 100486226, 100486226]" 0.0060 66735 0.9 0
6 1711709980.580759 "[10048622, 10048622, 10048622, 100486226, 100486226]" 0.0075 66735 0.9 0
7 1711709981.580759 "[1004862, 10048622, 10048622, 10048622, 100486226, 100486226, 100486228]" 0.0105 66735 0.9 0
8 1711709982.580759 "[1004862, 10048622, 10048622, 10048622, 100486226, 100486228, 100486226, 100486228]" 0.0120 66735 0.9 0
