Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712856574.9488451 [1004862516] 0.0015 66735 1.0 0
1 1.2218286991119385 "[1004862516, 1004862516]" 0.0030 66735 1.0 0
2 2.779456853866577 "[1004862516, 1004862516, 1004862516]" 0.0045 66735 1.0 0
3 5.035654783248901 "[1004862, 1004862516, 1004862516, 1004862516]" 0.0060 66735 1.0 0
4 7.884089708328247 "[1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0075 66735 1.0 0
5 11.390110969543457 "[1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0090 66735 1.0 0
6 15.61826777458191 "[100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0105 66735 1.0 0
7 20.62210988998413 "[100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0120 66735 1.0 0
8 26.355941772460938 "[100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0135 66735 1.0 0
9 32.885217905044556 "[10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0150 66735 1.0 0
10 40.389819860458374 "[10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0165 66735 1.0 0
11 48.47985577583313 "[10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0180 66735 1.0 0
12 57.329712867736816 "[1004, 10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0195 66735 1.0 0
13 66.89625597000122 "[1004, 1004, 10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0210 66735 1.0 0
14 70.59596276283264 "[1004, 1004, 1004, 10048, 10048, 10048, 100486, 100486, 100486, 1004862, 1004862, 1004862, 1004862516, 1004862516, 1004862516]" 0.0210 66735 1.0 0
0 1712856648.94368 [1004862514482] 0.0015 66735 0.9 0
1 1.0439469814300537 "[1004862514482, 1004862514482]" 0.0030 66735 0.9 0
2 2.427057981491089 "[10048625144, 1004862514482, 1004862514482]" 0.0045 66735 0.9 0
3 5.020907878875732 "[1004862514, 10048625144, 1004862514482, 100486251446, 100486251448, 1004862514482]" 0.0090 66735 0.9 0
4 9.93087887763977 "[1004862514, 1004862514, 100486251446, 100486251448, 10048625144, 1004862514482, 100486251446, 100486251448, 1004862514482]" 0.0135 66735 0.9 0
