Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711890411.143872 "[2004224, 20042242]" 0.0024 82307 1.0 0
2 1711890412.143872 "[2004224, 2004224, 20042242]" 0.0036 82307 1.0 0
3 1711890413.143872 "[2004224, 2004224, 2004224, 20042242]" 0.0049 82307 1.0 0
4 1711890414.143872 "[200422, 2004224, 2004224, 2004224, 20042242]" 0.0061 82307 1.0 0
5 1711890415.143872 "[200422, 200422, 2004224, 2004224, 2004224, 20042242]" 0.0073 82307 1.0 0
6 1711890416.143872 "[200422, 200422, 200422, 2004224, 2004224, 2004224, 20042242]" 0.0085 82307 1.0 0
7 1711890417.143872 "[20042, 200422, 200422, 200422, 2004224, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0121 82307 1.0 0
8 1711890418.143872 "[20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0158 82307 1.0 0
9 1711890419.143872 "[20042, 20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0170 82307 1.0 0
10 1711890420.143872 "[2004, 20042, 20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0170 82307 1.0 0
1 1711890473.0161312 "[2004224, 20042242]" 0.0024 82307 0.9 0
2 1711890474.0161312 "[2004224, 2004224, 20042242]" 0.0036 82307 0.9 0
3 1711890475.0161312 "[2004224, 2004224, 2004224, 20042242]" 0.0049 82307 0.9 0
4 1711890476.0161312 "[200422, 2004224, 2004224, 2004224, 20042242]" 0.0061 82307 0.9 0
5 1711890477.0161312 "[200422, 200422, 2004224, 2004224, 2004224, 20042242]" 0.0073 82307 0.9 0
6 1711890478.0161312 "[200422, 200422, 200422, 2004224, 2004224, 2004224, 20042242]" 0.0085 82307 0.9 0
7 1711890479.0161312 "[20042, 200422, 200422, 200422, 2004224, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0121 82307 0.9 0
8 1711890480.0161312 "[20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0158 82307 0.9 0
9 1711890481.0161312 "[20042, 20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0170 82307 0.9 0
10 1711890482.0161312 "[2004, 20042, 20042, 20042, 200422, 200422, 200422, 2004224, 200422998, 2004229976, 2004224, 2004224, 20042242, 200422998, 2004229976]" 0.0170 82307 0.9 0
1 1711890530.903198 "[2004224, 20042242]" 0.0024 82307 0.8 0
