Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712477021.974126 [1003499942] 0.1626 615 1.0 0
1 1.4836108684539795 "[1003499942, 1003499942]" 0.3252 615 1.0 0
2 3.03802490234375 "[100349994, 1003499942, 1003499942]" 0.4878 615 1.0 0
3 5.311177968978882 "[100349994, 100349994, 1003499942, 1003499942]" 0.6504 615 1.0 0
0 1712477028.185803 [100349992312] 0.1626 615 0.9 0
1 1.0865259170532227 "[100349992312, 100349992312]" 0.3252 615 0.9 0
2 2.503157138824463 "[100349992312, 100349992312, 100349992312]" 0.4878 615 0.9 0
3 4.616589069366455 "[100349992, 100349992312, 100349992312, 100349992312]" 0.6504 615 0.9 0
0 1712477033.884953 [1003499952642] 0.1626 615 0.8 0
1 1.1615939140319824 [1003499952642] 0.1626 615 0.8 0
2 1.986994981765747 "[100349995264, 1003499952642]" 0.3252 615 0.8 0
3 3.4999840259552 "[100349995264, 100349995264, 1003499952642]" 0.4878 615 0.8 0
4 5.683475971221924 "[100349995264, 100349995264, 100349995264, 1003499952642]" 0.6504 615 0.8 0
0 1712477040.50412 [100349992312] 0.1626 615 0.7 0
1 1.1789748668670654 "[100349992, 100349992312]" 0.3252 615 0.7 0
2 2.757218837738037 "[100349992, 100349992, 100349992312]" 0.4878 615 0.7 0
3 4.920850992202759 "[100349992, 100349992, 100349992, 100349992312]" 0.6504 615 0.7 0
0 1712477046.317579 [100349992312] 0.1626 615 0.6 0
1 1.183804988861084 [100349992312] 0.1626 615 0.6 0
2 1.9504179954528809 "[100349992312, 100349992312]" 0.3252 615 0.6 0
3 3.3968560695648193 "[100349992312, 100349992312, 100349992312]" 0.4878 615 0.6 0
4 5.641158819198608 "[100349992312, 100349992312, 100349992312]" 0.4878 615 0.6 0
5 7.8095338344573975 "[100349992, 100349992312, 100349992312, 100349992312]" 0.6504 615 0.6 0
0 1712477055.0605829 [10034999452] 0.1626 615 0.5 0
1 1.102851152420044 "[10034999452, 10034999452]" 0.3252 615 0.5 0
2 2.5686042308807373 "[10034999452, 10034999452]" 0.3252 615 0.5 0
3 4.088696002960205 "[10034999452, 10034999452]" 0.3252 615 0.5 0
4 5.543258190155029 "[10034999452, 10034999452]" 0.3252 615 0.5 0
5 6.926890134811401 "[10034999452, 10034999452]" 0.3252 615 0.5 0
6 8.329087972640991 "[100349994, 10034999452, 10034999452]" 0.4878 615 0.5 0
7 10.355634212493896 "[100349994, 10034999452, 10034999452]" 0.4878 615 0.5 0
8 12.468894958496094 "[100349994, 10034999452, 10034999452]" 0.4878 615 0.5 0
9 14.5107741355896 "[100349994, 10034999452, 10034999452]" 0.4878 615 0.5 0
10 16.58443307876587 "[100349994, 100349994, 10034999452, 10034999452]" 0.6504 615 0.5 0
0 1712477072.54603 [1003499924] 0.1626 615 0.4 0
1 1.09407377243042 [1003499924] 0.1626 615 0.4 0
2 1.7882518768310547 "[1003499924, 1003499924]" 0.3252 615 0.4 0
3 3.1762189865112305 "[1003499924, 1003499924, 1003499924]" 0.4878 615 0.4 0
4 5.293516159057617 "[1003499924, 1003499924, 1003499924]" 0.4878 615 0.4 0
5 7.32566499710083 "[1003499924, 1003499924, 1003499924]" 0.4878 615 0.4 0
6 9.428401947021484 "[100349992, 1003499924, 1003499924, 1003499924]" 0.6504 615 0.4 0
0 1712477082.856416 [100349992314] 0.1626 615 0.3 0
1 1.0647799968719482 [100349992314] 0.1626 615 0.3 0
2 1.749082088470459 "[100349992, 100349992314]" 0.3252 615 0.3 0
3 3.1589550971984863 "[100349992, 100349992314]" 0.3252 615 0.3 0
4 4.529862880706787 "[100349992, 100349992314]" 0.3252 615 0.3 0
5 5.960222005844116 "[100349992, 100349992314]" 0.3252 615 0.3 0
6 7.34738302230835 "[100349992, 100349992314]" 0.3252 615 0.3 0
7 8.750198125839233 "[100349992, 100349992314]" 0.3252 615 0.3 0
8 10.196744918823242 "[100349992, 100349992314]" 0.3252 615 0.3 0
9 11.629456996917725 "[100349992, 100349992, 100349992314]" 0.4878 615 0.3 0
10 13.81402587890625 "[100349992, 100349992, 100349992314]" 0.4878 615 0.3 0
11 16.11187720298767 "[100349992, 100349992, 100349992314]" 0.4878 615 0.3 0
12 18.330132961273193 "[100349992, 100349992, 100349992314]" 0.4878 615 0.3 0
13 20.518674850463867 "[100349992, 100349992, 100349992, 100349992314]" 0.6504 615 0.3 0
0 1712477104.2833521 [100349991982] 0.1626 615 0.2 0
1 1.1291329860687256 [100349991982] 0.1626 615 0.2 0
2 1.8627986907958984 [100349991982] 0.1626 615 0.2 0
3 3.0453476905822754 "[100349991982, 100349991982]" 0.3252 615 0.2 0
4 4.45727276802063 "[100349991982, 100349991982, 100349991982]" 0.4878 615 0.2 0
5 7.004573822021484 "[10034999198, 100349991982, 100349991982, 100349991982]" 0.6504 615 0.2 0
0 1712477112.220593 [100349992322] 0.1626 615 0.1 0
1 1.1862280368804932 "[10034999232, 100349992322]" 0.3252 615 0.1 0
2 3.2523481845855713 "[10034999232, 100349992322]" 0.3252 615 0.1 0
3 4.822594881057739 "[10034999232, 100349992322]" 0.3252 615 0.1 0
4 6.327301979064941 "[10034999232, 10034999232, 100349992322]" 0.4878 615 0.1 0
5 8.382779121398926 "[10034999232, 10034999232, 100349992322]" 0.4878 615 0.1 0
6 10.469470024108887 "[10034999232, 10034999232, 100349992322]" 0.4878 615 0.1 0
7 12.62429404258728 "[10034999232, 10034999232, 100349992322]" 0.4878 615 0.1 0
8 15.015501022338867 "[10034999232, 10034999232, 10034999232, 100349992322]" 0.6504 615 0.1 0
0 1712477128.2612622 [100349995264] 0.1626 615 1.0 0.1
1 1.0836198329925537 "[10034999526, 100349995264]" 0.3252 615 1.0 0.1
2 2.4087460041046143 "[10034999526, 10034999526, 100349995264]" 0.4878 615 1.0 0.1
3 4.440335750579834 "[10034999526, 10034999526, 10034999526, 100349995264]" 0.6504 615 1.0 0.1
0 1712477133.664122 [100349995672] 0.1626 615 0.9 0.1
1 1.5761821269989014 "[100349995672, 100349995672]" 0.3252 615 0.9 0.1
2 3.2177207469940186 "[1003499956, 100349995672, 100349995672]" 0.4878 615 0.9 0.1
3 5.701812028884888 "[1003499956, 100349995672, 100349995672]" 0.4878 615 0.9 0.1
4 8.168500900268555 "[1003499956, 1003499956, 100349995672]" 0.4878 615 0.9 0.1
5 10.418580055236816 [1003499956] 0.1626 615 0.9 0.1
6 11.15889596939087 "[10034, 1003499956]" 0.3252 615 0.9 0.1
7 12.617348909378052 [10034] 0.1626 615 0.9 0.1
8 13.347279787063599 "[10034, 10034]" 0.3252 615 0.9 0.1
9 14.325079917907715 "[10034, 10034, 10034]" 0.3252 615 0.9 0.1
0 1712477148.70543 [100349995676] 0.1626 615 0.8 0.1
1 1.1931788921356201 [1003499956] 0.1626 615 0.8 0.1
2 2.108760118484497 [1003499956] 0.1626 615 0.8 0.1
3 3.046109914779663 [1003499956] 0.1626 615 0.8 0.1
4 3.9070138931274414 [1003499956] 0.1626 615 0.8 0.1
5 4.67184591293335 "[1003499956, 1003499956]" 0.3252 615 0.8 0.1
6 6.29161810874939 "[10034, 1003499956, 1003499956]" 0.4878 615 0.8 0.1
7 8.552664041519165 "[10034, 1003499956]" 0.3252 615 0.8 0.1
8 10.284357786178589 "[10034, 10034, 1003499956]" 0.4878 615 0.8 0.1
9 12.656271934509277 "[10034, 10034, 1003499956]" 0.4878 615 0.8 0.1
10 13.9531569480896 "[10034, 10034, 10034, 1003499956]" 0.4878 615 0.8 0.1
0 1712477163.634665 [100349995674] 0.1626 615 0.7 0.1
1 1.154646873474121 "[100349995674, 100349995674]" 0.3252 615 0.7 0.1
2 2.6621689796447754 "[100349995674, 100349995674]" 0.3252 615 0.7 0.1
3 4.134358882904053 "[100349995674, 100349995674]" 0.3252 615 0.7 0.1
4 5.506547927856445 "[1003499956, 100349995674, 100349995674]" 0.4878 615 0.7 0.1
5 7.79525089263916 "[1003499956, 1003499956, 100349995674]" 0.4878 615 0.7 0.1
6 10.104938983917236 "[1003499956, 1003499956, 1003499956, 100349995674]" 0.6504 615 0.7 0.1
0 1712477174.6668 [100349994352] 0.1626 615 0.6 0.1
1 1.1240639686584473 "[100349994352, 100349994352]" 0.3252 615 0.6 0.1
2 2.5375688076019287 "[100349994352, 100349994352, 100349994352]" 0.4878 615 0.6 0.1
3 4.74393105506897 "[100349994352, 100349994352, 100349994352]" 0.4878 615 0.6 0.1
4 7.0342371463775635 "[100349994352, 100349994352]" 0.3252 615 0.6 0.1
5 9.194018840789795 "[100349994, 100349994352, 100349994352]" 0.4878 615 0.6 0.1
6 11.518085956573486 "[100349994, 100349994, 100349994352, 100349994352]" 0.6504 615 0.6 0.1
0 1712477187.156666 [100349995676] 0.1626 615 0.5 0.1
1 1.1838490962982178 [100349995676] 0.1626 615 0.5 0.1
2 2.04524302482605 "[100349995676, 100349995676]" 0.3252 615 0.5 0.1
3 3.690859794616699 "[100349995676, 100349995676]" 0.3252 615 0.5 0.1
4 5.3158159255981445 "[1003499956, 100349995676]" 0.3252 615 0.5 0.1
5 6.804126977920532 "[1003499956, 100349995676, 100349995676]" 0.4878 615 0.5 0.1
6 8.99118185043335 "[1003499956, 1003499956, 1003499956, 100349995676]" 0.6504 615 0.5 0.1
0 1712477197.248245 [100349995264] 0.1626 615 0.4 0.1
1 1.0998120307922363 [100349995264] 0.1626 615 0.4 0.1
2 1.793510913848877 [100349995264] 0.1626 615 0.4 0.1
3 2.483798027038574 [100349995264] 0.1626 615 0.4 0.1
4 3.1757519245147705 "[100349995264, 100349995264]" 0.3252 615 0.4 0.1
5 4.561901092529297 [100349995264] 0.1626 615 0.4 0.1
6 5.268105983734131 [100349995264] 0.1626 615 0.4 0.1
7 5.968925952911377 [100349995264] 0.1626 615 0.4 0.1
8 6.738836050033569 "[100349995264, 100349995264]" 0.3252 615 0.4 0.1
9 8.473075866699219 [100349995264] 0.1626 615 0.4 0.1
10 9.279706001281738 "[100349995264, 100349995264]" 0.3252 615 0.4 0.1
11 10.783982038497925 "[100349995264, 100349995264]" 0.3252 615 0.4 0.1
12 12.628134965896606 "[100349995264, 100349995264]" 0.3252 615 0.4 0.1
13 14.364025115966797 [100349995264] 0.1626 615 0.4 0.1
14 15.11018180847168 [100349995264] 0.1626 615 0.4 0.1
15 15.917478799819946 [100349995264] 0.1626 615 0.4 0.1
16 16.616111040115356 [] 0.1626 615 0.4 0.1
0 1712477213.8683982 [10034999464] 0.1626 615 0.3 0.1
1 1.0829098224639893 "[10034999464, 10034999464]" 0.3252 615 0.3 0.1
2 3.0190677642822266 "[10034999464, 10034999464]" 0.3252 615 0.3 0.1
