Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1713006735.004941 [1003499956] 0.1626 615 1.0 0
1 1.4076600074768066 "[1003499956, 1003499956]" 0.3252 615 1.0 0
2 2.962851047515869 "[1003499956, 1003499956, 1003499956]" 0.4878 615 1.0 0
3 5.0823891162872314 "[10034, 1003499956, 1003499956, 1003499956]" 0.6504 615 1.0 0
0 1713006740.9827971 [100349992] 0.1626 615 0.9 0
1 1.4738669395446777 "[10034, 100349992, 1003499926, 1003499928]" 0.6504 615 0.9 0
0 1713006743.372952 [100349994622] 0.1626 615 0.8 0
1 1.0453729629516602 "[100349994622, 100349994622]" 0.3252 615 0.8 0
2 2.4523401260375977 "[100349994622, 100349994622, 100349994622]" 0.4878 615 0.8 0
3 4.441995143890381 "[10034999462, 100349994622, 100349994622, 100349994622]" 0.6504 615 0.8 0
0 1713006748.848028 [100349992314] 0.1626 615 0.7 0
1 1.072706937789917 [100349992314] 0.1626 615 0.7 0
2 1.7769529819488525 "[100349992, 100349992314]" 0.3252 615 0.7 0
3 3.127812147140503 "[100349992, 100349992314]" 0.3252 615 0.7 0
4 4.4831931591033936 "[100349992, 100349992, 100349992314]" 0.4878 615 0.7 0
5 6.4914631843566895 "[100349992, 100349992, 100349992, 100349992314]" 0.6504 615 0.7 0
0 1713006756.2300959 [10034999198] 0.1626 615 0.6 0
1 1.031569242477417 [10034999198] 0.1626 615 0.6 0
2 1.689427137374878 "[10034, 10034999198]" 0.3252 615 0.6 0
3 3.0232861042022705 "[10034, 10034, 10034999198]" 0.4878 615 0.6 0
4 4.131624221801758 "[10034, 10034, 10034, 10034999198]" 0.4878 615 0.6 0
0 1713006761.244482 [10034999512] 0.1626 615 0.5 0
1 1.0130188465118408 [10034999512] 0.1626 615 0.5 0
2 1.6671829223632812 [10034999512] 0.1626 615 0.5 0
3 2.3492190837860107 "[10034999512, 10034999512]" 0.3252 615 0.5 0
4 3.688736915588379 "[10034999512, 10034999512]" 0.3252 615 0.5 0
5 5.015475034713745 "[10034999512, 10034999512]" 0.3252 615 0.5 0
6 6.345987796783447 "[10034999512, 10034999512]" 0.3252 615 0.5 0
7 7.67215895652771 "[10034, 10034999512, 10034999512]" 0.4878 615 0.5 0
8 9.647111892700195 "[10034, 10034999512, 10034999512]" 0.4878 615 0.5 0
9 11.651341915130615 "[10034, 10034, 10034999512, 10034999512]" 0.6504 615 0.5 0
0 1713006773.7755551 [100349992] 0.1626 615 0.4 0
1 1.4549717903137207 "[100349992, 1003499926]" 0.3252 615 0.4 0
2 3.2342708110809326 "[10034, 100349992, 1003499926, 1003499928]" 0.6504 615 0.4 0
0 1713006777.893993 [1003499922] 0.1626 615 0.3 0
1 1.0231659412384033 "[1003499922, 1003499922]" 0.3252 615 0.3 0
2 2.3642449378967285 "[1003499922, 1003499922]" 0.3252 615 0.3 0
3 3.679708957672119 "[1003499922, 1003499922, 1003499922]" 0.4878 615 0.3 0
4 5.669857025146484 "[1003499922, 1003499922, 1003499922]" 0.4878 615 0.3 0
5 7.652594089508057 "[100349992, 1003499922, 1003499922, 1003499922]" 0.6504 615 0.3 0
0 1713006786.444362 [10034999414] 0.1626 615 0.2 0
1 1.0167429447174072 [10034999414] 0.1626 615 0.2 0
2 1.7421948909759521 [10034999414] 0.1626 615 0.2 0
3 2.5235352516174316 "[100349994, 10034999414]" 0.3252 615 0.2 0
4 3.9280519485473633 "[100349994, 10034999414]" 0.3252 615 0.2 0
5 5.420023202896118 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
6 7.609375 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
7 9.774830102920532 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
8 11.775849103927612 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
9 13.778165102005005 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
10 15.760132074356079 "[100349994, 100349994, 10034999414]" 0.4878 615 0.2 0
11 17.75669002532959 "[100349994, 100349994, 100349994, 10034999414]" 0.6504 615 0.2 0
0 1713006805.0854442 [100349992316] 0.1626 615 0.1 0
1 1.0012238025665283 [100349992316] 0.1626 615 0.1 0
2 1.6758217811584473 [100349992316] 0.1626 615 0.1 0
3 2.335035800933838 [100349992316] 0.1626 615 0.1 0
4 2.995483875274658 [100349992316] 0.1626 615 0.1 0
5 3.6757209300994873 [100349992316] 0.1626 615 0.1 0
6 4.354306697845459 "[100349992316, 100349992316]" 0.3252 615 0.1 0
7 5.673327684402466 "[100349992316, 100349992316]" 0.3252 615 0.1 0
8 6.9866249561309814 "[100349992316, 100349992316]" 0.3252 615 0.1 0
9 8.30078387260437 "[100349992316, 100349992316]" 0.3252 615 0.1 0
10 9.628734827041626 "[100349992316, 100349992316]" 0.3252 615 0.1 0
11 10.952496767044067 "[100349992316, 100349992316]" 0.3252 615 0.1 0
12 12.307713747024536 "[100349992316, 100349992316]" 0.3252 615 0.1 0
13 13.64143991470337 "[100349992316, 100349992316]" 0.3252 615 0.1 0
14 14.97819471359253 "[100349992316, 100349992316]" 0.3252 615 0.1 0
15 16.291181802749634 "[100349992316, 100349992316]" 0.3252 615 0.1 0
16 17.725517749786377 "[100349992316, 100349992316]" 0.3252 615 0.1 0
17 19.1752986907959 "[100349992316, 100349992316]" 0.3252 615 0.1 0
18 20.494266748428345 "[100349992316, 100349992316]" 0.3252 615 0.1 0
19 21.81477975845337 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
20 23.800631761550903 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
21 25.806293964385986 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
22 27.94768476486206 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
23 30.009644746780396 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
24 32.03641176223755 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
25 34.04559063911438 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
26 36.05055475234985 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
27 38.03513860702515 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
28 40.08346176147461 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
29 42.08162260055542 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
30 44.07736659049988 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
31 46.0556538105011 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
32 48.04663586616516 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
33 50.386098861694336 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
34 52.423640727996826 "[100349992316, 100349992316, 100349992316]" 0.4878 615 0.1 0
35 54.431142807006836 "[100349992, 100349992316, 100349992316, 100349992316]" 0.6504 615 0.1 0
0 1713006860.4000351 [10034998822] 0.1626 615 1.0 0.1
1 1.0138278007507324 "[1003499882, 10034998822]" 0.3252 615 1.0 0.1
2 2.3433756828308105 "[1003499882, 10034998822]" 0.3252 615 1.0 0.1
3 3.6594669818878174 "[1003499882, 10034998822]" 0.3252 615 1.0 0.1
4 5.008183717727661 "[1003499882, 10034998822]" 0.3252 615 1.0 0.1
5 6.334349870681763 "[1003499882, 1003499882, 1003499882, 10034998822]" 0.6504 615 1.0 0.1
0 1713006867.611754 [100349994622] 0.1626 615 0.9 0.1
1 1.0146849155426025 "[10034999462, 100349994622]" 0.3252 615 0.9 0.1
2 2.3470780849456787 "[10034999462, 10034999462, 100349994622]" 0.4878 615 0.9 0.1
3 4.358331918716431 "[10034999462, 10034999462, 10034999462, 100349994622]" 0.6504 615 0.9 0.1
0 1713006872.841176 [10034999438] 0.1626 615 0.8 0.1
1 1.0208020210266113 "[100349994, 10034999438]" 0.3252 615 0.8 0.1
2 2.3552358150482178 "[100349994, 100349994, 10034999438]" 0.4878 615 0.8 0.1
3 4.35247802734375 "[100349994, 100349994]" 0.3252 615 0.8 0.1
4 5.689980983734131 "[10034, 100349994, 100349994]" 0.4878 615 0.8 0.1
5 7.737412929534912 "[10034, 10034, 100349994]" 0.4878 615 0.8 0.1
6 9.731043815612793 "[10034, 100349994]" 0.3252 615 0.8 0.1
7 11.057394027709961 "[10034, 10034, 100349994]" 0.4878 615 0.8 0.1
8 13.057470083236694 "[10034, 10034, 100349994]" 0.4878 615 0.8 0.1
9 14.172940969467163 "[10034, 10034, 10034, 100349994]" 0.4878 615 0.8 0.1
0 1713006887.892194 [100349992] 0.1626 615 0.7 0.1
1 1.4457550048828125 "[10034, 1003499926]" 0.3252 615 0.7 0.1
2 2.76521897315979 "[10034, 10034, 1003499926]" 0.4878 615 0.7 0.1
3 3.869504928588867 "[10034, 10034, 10034, 1003499926]" 0.4878 615 0.7 0.1
0 1713006892.633269 [100349995674] 0.1626 615 0.6 0.1
1 1.0237019062042236 [100349995674] 0.1626 615 0.6 0.1
2 1.783775806427002 "[100349995674, 100349995674]" 0.3252 615 0.6 0.1
3 3.10296893119812 "[100349995674, 100349995674]" 0.3252 615 0.6 0.1
4 4.68686580657959 "[100349995674, 100349995674, 100349995674]" 0.4878 615 0.6 0.1
